Entry ID,[Filter],Initiative,Magic EXP,Enemy #0 ID,[JP enemy #0 name],Enemy #1 ID,[JP enemy #1 name],Enemy #2 ID,[JP enemy #2 name],Enemy #3 ID,[JP enemy #3 name],Enemy #4 ID,[JP enemy #4 name],Enemy #5 ID,[JP enemy #5 name],Enemy #6 ID,[JP enemy #6 name],Enemy #7 ID,[JP enemy #7 name]
0,a017a_ep.enp,102,2,42,フードン,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,a017a_ep.enp,102,2,42,フードン,42,フードン,255,None,255,None,255,None,255,None,255,None,255,None
2,a017a_ep.enp,102,2,42,フードン,42,フードン,42,フードン,255,None,255,None,255,None,255,None,255,None
3,a017a_ep.enp,102,2,42,フードン,42,フードン,42,フードン,42,フードン,255,None,255,None,255,None,255,None
4,a017a_ep.enp,102,2,42,フードン,42,フードン,42,フードン,42,フードン,42,フードン,255,None,255,None,255,None
5,a017a_ep.enp,102,2,42,フードン,42,フードン,42,フードン,42,フードン,42,フードン,42,フードン,255,None,255,None
0,a020b_ep.enp,154,3,71,テンコウ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,a020b_ep.enp,149,3,71,テンコウ,71,テンコウ,255,None,255,None,255,None,255,None,255,None,255,None
2,a020b_ep.enp,144,3,71,テンコウ,71,テンコウ,71,テンコウ,255,None,255,None,255,None,255,None,255,None
3,a020b_ep.enp,139,3,71,テンコウ,71,テンコウ,71,テンコウ,71,テンコウ,255,None,255,None,255,None,255,None
0,a035b_ep.enp,134,3,60,モノノフ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
1,a035b_ep.enp,134,3,60,モノノフ,60,モノノフ,255,None,255,None,255,None,255,None,255,None,255,None
2,a035b_ep.enp,134,3,60,モノノフ,60,モノノフ,60,モノノフ,255,None,255,None,255,None,255,None,255,None
3,a035b_ep.enp,134,3,60,モノノフ,60,モノノフ,60,モノノフ,60,モノノフ,255,None,255,None,255,None,255,None
4,a035b_ep.enp,144,3,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None,255,None,255,None
5,a035b_ep.enp,144,3,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None,255,None
6,a035b_ep.enp,144,3,105,ベレーザ兵,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None
7,a035b_ep.enp,144,3,105,ベレーザ兵,105,ベレーザ兵,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None
8,a035b_ep.enp,139,3,60,モノノフ,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None,255,None
9,a035b_ep.enp,144,3,60,モノノフ,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None
10,a035b_ep.enp,144,3,60,モノノフ,105,ベレーザ兵,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None
11,a035b_ep.enp,134,3,60,モノノフ,60,モノノフ,105,ベレーザ兵,255,None,255,None,255,None,255,None,255,None
12,a035b_ep.enp,139,3,60,モノノフ,60,モノノフ,105,ベレーザ兵,105,ベレーザ兵,255,None,255,None,255,None,255,None
13,a035b_ep.enp,134,3,60,モノノフ,60,モノノフ,60,モノノフ,105,ベレーザ兵,255,None,255,None,255,None,255,None
0,a099a_01ep.enp,22,1,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None,255,None,255,None
1,a099a_01ep.enp,22,1,15,ヌール,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
2,a099a_01ep.enp,22,1,15,ヌール,15,ヌール,15,ヌール,15,ヌール,15,ヌール,15,ヌール,255,None,255,None
3,a099a_01ep.enp,52,1,29,エルモ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
4,a099a_01ep.enp,52,1,29,エルモ,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None,255,None
5,a099a_01ep.enp,27,1,3,マロッカ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
6,a099a_01ep.enp,12,1,3,マロッカ,3,マロッカ,3,マロッカ,255,None,255,None,255,None,255,None,255,None
7,a099a_01ep.enp,27,1,4,アーアペプ,255,None,255,None,255,None,255,None,255,None,255,None,255,None
8,a099a_01ep.enp,12,1,4,アーアペプ,4,アーアペプ,255,None,255,None,255,None,255,None,255,None,255,None
9,a099a_01ep.enp,27,1,29,エルモ,15,ヌール,255,None,255,None,255,None,255,None,255,None,255,None
10,a099a_01ep.enp,27,1,29,エルモ,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
11,a099a_01ep.enp,22,1,3,マロッカ,15,ヌール,255,None,255,None,255,None,255,None,255,None,255,None
12,a099a_01ep.enp,22,1,3,マロッカ,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
13,a099a_01ep.enp,32,1,3,マロッカ,29,エルモ,255,None,255,None,255,None,255,None,255,None,255,None
14,a099a_01ep.enp,32,1,3,マロッカ,3,マロッカ,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None
15,a099a_01ep.enp,27,1,3,マロッカ,29,エルモ,15,ヌール,255,None,255,None,255,None,255,None,255,None
16,a099a_01ep.enp,27,1,3,マロッカ,29,エルモ,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
17,a099a_01ep.enp,22,1,4,アーアペプ,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None,255,None
18,a099a_01ep.enp,12,1,4,アーアペプ,15,ヌール,15,ヌール,15,ヌール,15,ヌール,255,None,255,None,255,None
19,a099a_01ep.enp,27,1,4,アーアペプ,29,エルモ,255,None,255,None,255,None,255,None,255,None,255,None
20,a099a_01ep.enp,27,1,4,アーアペプ,29,エルモ,29,エルモ,255,None,255,None,255,None,255,None,255,None
21,a099a_01ep.enp,22,1,4,アーアペプ,3,マロッカ,255,None,255,None,255,None,255,None,255,None,255,None
22,a099a_01ep.enp,12,1,4,アーアペプ,3,マロッカ,3,マロッカ,255,None,255,None,255,None,255,None,255,None
23,a099a_01ep.enp,27,1,4,アーアペプ,29,エルモ,15,ヌール,255,None,255,None,255,None,255,None,255,None
24,a099a_01ep.enp,22,1,4,アーアペプ,29,エルモ,15,ヌール,15,ヌール,255,None,255,None,255,None,255,None
