Entry ID,JP Entry Name,Retail Price in %,Order by Prio.,JP Order by ABC,Purchase Price,[ JP Descr. Pos.],[ JP Descr. Size],JP Descr. Str.
320,麗しき緑の月晶,0,7,2,0,0x2cd644,80,生命の息吹にあふれた緑の光を放つ、古代の宝玉。\n緑のギガスを起動させる力を持つ。
321,猛き赤の月晶,0,6,20,0,0x2cd694,76,燃えあがるような赤い光を放つ、古代の宝玉。\n赤のギガスを起動させる力を持つ。
322,澄みし紫の月晶,0,9,16,0,0x2cd6e0,68,荘厳な紫の光を放つ、古代の宝玉。\n紫のギガスを起動させる力を持つ。
323,魁けし青の月晶,0,8,14,0,0x2cd724,72,おだやかな青い光を放つ、古代の宝玉。\n青のギガスを起動させる力を持つ。
324,捷き黄の月晶,0,10,27,0,0x2cd76c,76,きらびやかな黄色の光を放つ、古代の宝玉。\n黄のギガスを起動させる力を持つ。
325,銀月晶,0,38,38,0,0x2cd7b8,12,カット。\n
326,緑の月Ж石,0,0,31,0,0x2cd7c4,68,緑の月の力を秘めた石。\n武器の属性を「緑」の色に変えることができる。
327,赤の月Ж石,0,1,1,0,0x2cd808,68,赤の月の力を秘めた石。\n武器の属性を「赤」の色に変えることができる。
328,紫の月Ж石,0,2,32,0,0x2cd84c,68,紫の月の力を秘めた石。\n武器の属性を「紫」の色に変えることができる。
329,青の月Ж石,0,3,0,0,0x2cd890,68,青の月の力を秘めた石。\n武器の属性を「青」の色に変えることができる。
330,黄の月Ж石,0,4,5,0,0x2cd8d4,68,黄の月の力を秘めた石。\n武器の属性を「黄」の色に変えることができる。
331,銀の月Ж石,0,5,8,0,0x2cd918,68,銀の月の力を秘めた石。\n武器の属性を「銀」の色に変えることができる。
332,潜水服,0,26,35,0,0x2cd95c,100,ヤフトマー特産魚ハチマイハネのうろこから作られて\nおり、着用すればフガクの水中の移動が可能になる。
333,ビンの手紙,0,12,28,0,0x2cd9c0,68,「ケチャ様……私ニ仲間くだサイ」と\nたどたどしい文字で書かれた手紙。
334,要塞砲区のカギ,0,24,33,0,0x2cda04,96,要塞砲を厳重に管理するための鋼鉄製の大きなカギ。\nバルア帝国の紋章が、精密に刻みこまれている。
335,大雲海潜航仕様書,0,28,18,0,0x2cda64,96,大雲海に潜航するために必要な造船設計と仕様が\n記された書類。設計者の欄にデ・ロッコの名がある。
336,ゴンザレスの地図,0,21,13,0,0x2cdac4,68,船乗りゴンザレスの死体から見つけた地図。\n半分に破れてしまっている。
337,ペドロの地図,0,22,30,0,0x2cdb08,68,ナスラードのペドロ老人からもらった地図。\n半分に破れてしまっている。
338,アルフォンソの鍵,0,39,39,0,0x0,0,""
339,人の目の石,0,16,26,0,0x2cdb4c,84,「黄金の人」像とともに発見された古代の遺物。\n瞳の部分にはルビーがあしらわれている。
340,鳥の目の石,0,17,22,0,0x2cdba0,92,「ダスカの地上絵」とともに発見された古代の遺物。\n瞳の部分にはサファイアがあしらわれている。
341,月Ж石の原石,0,11,34,0,0x2cdbfc,84,神殿島に落下した、月Ж石を含む岩石。\n精製されていないため、そのままでは使えない。
342,ダカットのコイン,100,23,19,20000,0x2cdc50,92,伝説の大空賊ダカットが、おのれが手に入れた黄金を\n惜しげもなく溶かして作ったといわれる金貨。
343,シシカバブ,0,35,15,0,0x2cdcac,16,コンバート。\n
344,特上ヒツジの肉,0,32,21,0,0x2cdcbc,88,ドブラからもらった、最高級のヒツジの肉。\n「究極のシシカバブ」を焼くための材料のひとつ。
345,ナツメグの実,0,33,23,500,0x2cdd14,96,こうばしい香りを漂わせる、ナスル北部特産の実。\n「究極のシシカバブ」を焼くための材料のひとつ。
346,黒コショウ,0,34,10,0,0x2cdd74,96,香辛料として高値で取り引きされる、東方原産の実。\n「究極のシシカバブ」を焼くための材料のひとつ。
347,究極のシシカバブ,0,36,6,0,0x0,0,""
348,バルア入国許可証,0,13,25,0,0x2cddd4,92,バルア帝国へ入国する際に必要な通行許可証。\nナスル商人から護送の謝礼として受け取ったもの。
349,燃料の月Ж石,0,15,24,0,0x2cde30,72,船の燃料として精製された月Ж石。\nホルテカでハンス少年からもらったもの。
350,クローネのさいふ,0,19,9,0,0x2cde78,84,クローネがせんべつのお金とともにくれたさいふ。\nハデなピンク色の布地が目にまぶしい。
351,造船の極意書,0,27,17,0,0x2cdecc,84,高空域・低空域を航行するための技術が記された\n書物。ヤフトマーに古くから伝わるもの。
352,ウンデイ鉄,0,29,3,0,0x2cdf20,92,雲海の泥の底深くに眠るという稀有な鉄鉱石。\n地上の鉄にくらべ、文字通り雲泥の差の硬度を誇る。
353,ウンデイ鉄,0,30,4,0,0x0,0,""
354,最終兵器３,0,37,37,0,0x0,0,""
355,軍港区のカギ,0,25,11,0,0x2cdf7c,96,港の施設を管理するための真ちゅう製の小さなカギ。\nバルア帝国の紋章が、精密に刻みこまれている。
356,Ж術発射装置,0,14,12,0,0x2cdfdc,88,砲撃戦で、Ж術を弾にこめて発射するための装置。\nベレーザの旗艦リンクスから奪ったもの。
357,給料袋,0,20,7,0,0x2ce034,84,アイカとファイナが、ナスラードの酒場で働いて\nもらった給料5000リッチが入っている。
358,フードンの肉,0,18,29,0,0x2ce088,96,三日月島の森だけに生息する珍魚フードンの肉。\n一見グロテスクだが、思いのほかジューシーで美味。
359,発見王認定証,0,31,36,0,0x2ce0e8,96,発見物全制覇の証しとしてドミンゴがくれたもの。\n「発見王」はドミンゴが勝手に名乗っていた通り名。
360,ムーンフィッシュ,0,43,-2,0,0x2ce148,88,特殊なレンズを通さないと姿が見えない不思議な魚。\nマリアの育てている鳥が好んで食べる。
361,ブラックスポット,0,39,-6,0,0x2ce1a0,92,真っ黒な紙に、赤字で伝言が書かれている。\n「船乗り島の西の空域にて待つ　死神のピアストル」
