Entry ID,JP entry name,Ship flags,[Little Jack #1],[Little Jack #2],[Delphinus #1],[Delphinus #2],[Delphinus #3],Feature #0 ID,[Feature #0 name],Padding #0,Feature #0 value,Feature #1 ID,[Feature #1 name],Padding #1,Feature #1 value,Feature #2 ID,[Feature #2 name],Padding #2,Feature #2 value,Feature #3 ID,[Feature #3 name],Padding #3,Feature #3 value,Purchase price,Retail price in %,Order by prio.,JP order by ABC,Padding,[JP descr. pos.],[JP descr. size],JP descr. str.
440,ドクロの船首像,62,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,800,50,0,0,0,2944816,76,空賊の象徴、ドクロがデザインされた船首像。\n空賊魂が上昇し、Ж防力が上がる。
441,鳥の船首像,62,X,X,X,X,X,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2400,50,1,1,0,2944892,84,伝説の赤い鳥がデザインされた船首像。\n飾りつけられた赤い羽根が特徴。Ж防力が上がる。
442,赤き船首像,62,X,X,X,X,X,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,4400,50,2,2,0,2944976,96,ピュラミス神殿のスフィンクスがデザインされた\n船首像。その神秘的なパワーによりЖ防力が上がる。
443,クジラの船首像,62,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,4640,50,3,3,0,2945072,84,空の守り神ともいわれるクジラがデザインされた\n船首像。その加護によりЖ防力が上がる。
444,ケチャの船首像,62,X,X,X,X,X,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,4880,50,4,4,0,2945156,92,モンテスマの神ケチャがデザインされた船首像。\n荘厳な雰囲気がかもし出され、Ж防力が上がる。
445,ライオンの船首像,62,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,5120,50,5,5,0,2945248,92,百獣の王ライオンがデザインされた船首像。\n厳然たるその威容が相手を圧倒し、Ж防力が上がる。
446,青き神鳥の船首像,62,X,X,X,X,X,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,5360,50,6,6,0,2945340,92,ヤフトマーに古くから伝わる神鳥がデザインされた\n船首像。神聖なる力がみなぎりЖ防力が上がる。
447,女神の船首像,62,X,X,X,X,X,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,6800,50,7,7,0,2945432,92,愛、勇気、勝利を呼ぶ３人の女神がデザインされた\n船首像。その友愛の力によりЖ防力が上がる。
448,ヴァイスの船首像,62,X,X,X,X,X,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,8800,50,8,8,0,2945524,84,青の空賊ヴァイスの船首像。自らモデルになる\n図々しさで相手を圧倒、Ж防力が上がる。
449,きらめく船首像,62,X,X,X,X,X,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,13500,50,9,9,0,2945608,84,朝日をあらわす光球がデザインされた船首像。\n未知なる力が船を守り、Ж防力が上がる。
450,エンジンカバー,62,X,X,X,X,X,4,Quick,0,10,6,Dodge%,0,3,-1,None,0,0,-1,None,0,0,800,50,10,10,0,2945692,88,デリケートなエンジンをゴミやチリから守るカバー。\n燃焼効率がアップしスピードを上げる。
451,ターボキット,62,X,X,X,X,X,4,Quick,0,20,6,Dodge%,0,5,-1,None,0,0,-1,None,0,0,1520,50,11,11,0,2945780,72,燃料を強制的に送り込むキット。\n爆発的な出力を確保しスピードを上げる。
452,ボアアップキット,62,X,X,X,X,X,4,Quick,0,30,6,Dodge%,0,8,-1,None,0,0,-1,None,0,0,2400,50,12,12,0,2945852,84,エンジンの容量をあげ、パワーを得るキット。\n排気量を増やすと同時にスピードも上げる。
453,ツインスクリュー,62,X,X,X,X,X,4,Quick,0,40,6,Dodge%,0,10,-1,None,0,0,-1,None,0,0,3200,50,13,13,0,2945936,80,艦尾にとりつける増設用のスクリュー。\n推進力が増すことにより、スピードが上がる。
454,エアインテーク,62,X,X,X,X,X,4,Quick,0,80,6,Dodge%,0,12,-1,None,0,0,-1,None,0,0,6800,50,14,14,0,2946016,76,クリーンな空気を送り込みエンジン内の燃料比を\n一定に保ち、スピードを上げる。
455,ツインターボ,62,X,X,X,X,X,4,Quick,0,90,6,Dodge%,0,15,-1,None,0,0,-1,None,0,0,8800,50,15,15,0,2946092,84,ターボキットを２連装にしたもの。ターボキット以上\nの能力を出してスピードを上げる。
456,タイミングバルブ,62,X,X,X,X,X,4,Quick,0,100,6,Dodge%,0,17,-1,None,0,0,-1,None,0,0,10800,50,16,16,0,2946176,88,バルブのタイミングを一定にし、エンジンの給排気を\n安定させることによりスピードを上げる。
457,トリプルターボ,62,X,X,X,X,X,4,Quick,0,130,6,Dodge%,0,20,-1,None,0,0,-1,None,0,0,12800,50,17,17,0,2946264,76,ターボキットを３連装にしたもの。\n２連装以上の能力を出してスピードを上げる。
458,ハイトルクキット,62,X,X,X,X,X,4,Quick,0,150,6,Dodge%,0,23,-1,None,0,0,-1,None,0,0,14800,50,18,18,0,2946340,96,耐久性を上げ、出力を飛躍的に上昇させるキット。\nエンジン回転数を上げる事によりスピードを上げる。
459,ツインエンジン,62,X,X,X,X,X,4,Quick,0,200,6,Dodge%,0,26,-1,None,0,0,-1,None,0,0,16640,50,19,19,0,2946436,72,エンジン内を２段階に独立させ、２倍の出力を\n可能にしスピードを上げる。
460,装甲板,62,X,X,X,X,X,2,Defense,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,1000,50,20,20,0,2946508,68,ごく普通に手に入る装甲板。\n船体に装備する事により防御力を上げる。
461,鋼装甲板,62,X,X,X,X,X,2,Defense,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,1900,50,21,21,0,2946576,72,何枚も鋼板を重ねた装甲板。\n多少の砲撃にはビクともせず、防御力も高い。
462,偏向装甲板,62,X,X,X,X,X,2,Defense,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,2200,50,22,22,0,2946648,96,通常の装甲板に偏向板を付けて敵弾を受け流す。\n直撃を避ける事でダメージを回避。防御力が上がる。
463,複合装甲板,62,X,X,X,X,X,2,Defense,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,5500,50,23,23,0,2946744,84,２種類の鋼材を交互に重ねた装甲板。\nたくみな組み合わせで効果を発揮。防御力も高い。
