Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[DE Arm 1 Name Pos],[DE Arm 1 Name Size],DE Arm 1 Name Str,[ES Arm 1 Name Pos],[ES Arm 1 Name Size],ES Arm 1 Name Str,[FR Arm 1 Name Pos],[FR Arm 1 Name Size],FR Arm 1 Name Str,[GB Arm 1 Name Pos],[GB Arm 1 Name Size],GB Arm 1 Name Str,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],[DE Arm 2 Name Pos],[DE Arm 2 Name Size],DE Arm 2 Name Str,[ES Arm 2 Name Pos],[ES Arm 2 Name Size],ES Arm 2 Name Str,[FR Arm 2 Name Pos],[FR Arm 2 Name Size],FR Arm 2 Name Str,[GB Arm 2 Name Pos],[GB Arm 2 Name Size],GB Arm 2 Name Str,Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],[DE Arm 3 Name Pos],[DE Arm 3 Name Size],DE Arm 3 Name Str,[ES Arm 3 Name Pos],[ES Arm 3 Name Size],ES Arm 3 Name Str,[FR Arm 3 Name Pos],[FR Arm 3 Name Size],FR Arm 3 Name Str,[GB Arm 3 Name Pos],[GB Arm 3 Name Size],GB Arm 3 Name Str,Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],[DE Arm 4 Name Pos],[DE Arm 4 Name Size],DE Arm 4 Name Str,[ES Arm 4 Name Pos],[ES Arm 4 Name Size],ES Arm 4 Name Str,[FR Arm 4 Name Pos],[FR Arm 4 Name Size],FR Arm 4 Name Str,[GB Arm 4 Name Pos],[GB Arm 4 Name Size],GB Arm 4 Name Str,Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
0,0x802d53b8,0x1e635,15,Valuan Warship,0x1e3a6,15,Valuan Warship,0x1e5f7,15,Valuan Warship,0x1dc7e,15,Valuan Warship,12000,20,40,20,70,5,15,10,10,10,10,7,10,0x1ee0b,14,Kleine Kanone,0x1ec0e,14,Cañón Pequeño,0x1ee27,12,Petit Canon,0x1e473,13,Small Cannon,0,Main Cannon,120,0,85,6,Neutral,0x1ee19,16,Leichte Hilfsk.,0x1ec1c,16,Subcañón Ligero,0x1ee33,15,Subcanon Léger,0x1e480,16,Light Subcannon,1,Sec Cannon,95,1,80,6,Neutral,0x1ee29,2,-,0x1ec2c,2,-,0x1ee42,2,-,0x1e490,2,-,-1,None,-1,-1,-1,-1,None,0x1ee2b,2,-,0x1ec2e,2,-,0x1ee44,2,-,0x1e492,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,401,Standard Cannon,-1,None,-1,None
1,0x802d53c8,0x1e644,17,Valuan Spellship,0x1e3b5,17,Valuan Spellship,0x1e606,17,Valuan Spellship,0x1dc8d,17,Valuan Spellship,12000,70,40,45,70,7,10,10,9,10,10,8,10,0x1ee2d,14,Kleine Kanone,0x1ec30,14,Cañón Pequeño,0x1ee46,12,Petit Canon,0x1e494,13,Small Cannon,0,Main Cannon,120,0,80,6,Neutral,0x1ee3b,16,Leichte Hilfsk.,0x1ec3e,16,Subcañón Ligero,0x1ee52,15,Subcanon Léger,0x1e4a1,16,Light Subcannon,1,Sec Cannon,95,1,85,6,Neutral,0x1ee4b,2,-,0x1ec4e,2,-,0x1ee61,2,-,0x1e4b1,2,-,-1,None,-1,-1,-1,-1,None,0x1ee4d,2,-,0x1ec50,2,-,0x1ee63,2,-,0x1e4b3,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,489,Wave Bomb,-1,None,-1,None
2,0x802d53dc,0x1e655,15,Valuan Cruiser,0x1e3c6,15,Valuan Cruiser,0x1e617,15,Valuan Cruiser,0x1dc9e,15,Valuan Cruiser,10000,30,35,15,30,5,10,10,10,10,10,7,10,0x1ee4f,15,Standardkanone,0x1ec52,15,Cañón Estándar,0x1ee65,15,Canon Standard,0x1e4b5,16,Standard Cannon,0,Main Cannon,110,0,80,6,Neutral,0x1ee5e,12,Hilfskanone,0x1ec61,9,Subcañón,0x1ee74,9,Subcanon,0x1e4c5,10,Subcannon,1,Sec Cannon,90,2,90,6,Neutral,0x1ee6a,2,-,0x1ec6a,2,-,0x1ee7d,2,-,0x1e4cf,2,-,-1,None,-1,-1,-1,-1,None,0x1ee6c,2,-,0x1ec6c,2,-,0x1ee7f,2,-,0x1e4d1,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,690,500,0,100%,490,Repair Kit,-1,None,-1,None,-1,None,-1,None
3,0x802d53ec,0x1e664,15,Valuan Phantom,0x1e3d5,15,Valuan Phantom,0x1e626,15,Valuan Phantom,0x1dcad,15,Valuan Phantom,10000,120,33,130,50,8,15,10,5,10,10,5,10,0x1ee6e,15,Standardkanone,0x1ec6e,15,Cañón Estándar,0x1ee81,15,Canon Standard,0x1e4d3,16,Standard Cannon,0,Main Cannon,110,0,80,6,Neutral,0x1ee7d,12,Hilfskanone,0x1ec7d,9,Subcañón,0x1ee90,9,Subcanon,0x1e4e3,10,Subcannon,1,Sec Cannon,90,2,90,6,Neutral,0x1ee89,2,-,0x1ec86,2,-,0x1ee99,2,-,0x1e4ed,2,-,-1,None,-1,-1,-1,-1,None,0x1ee8b,2,-,0x1ec88,2,-,0x1ee9b,2,-,0x1e4ef,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,640,400,4,50%,481,Big Bomb,3,20%,485,Frost Bomb,-1,None,-1,None
4,0x802d53fc,0x1e673,15,Valuan Gunboat,0x1e3e4,15,Valuan Gunboat,0x1e635,15,Valuan Gunboat,0x1dcbc,15,Valuan Gunboat,15000,100,100,170,70,14,10,10,5,9,10,5,10,0x1ee8d,13,Große Kanone,0x1ec8a,13,Cañón Grande,0x1ee9d,12,Canon lourd,0x1e4f1,13,Large Cannon,0,Main Cannon,150,0,70,6,Neutral,0x1ee9a,14,Schw. Hilfsk.,0x1ec97,16,Subcañón Pesado,0x1eea9,15,Subcanon Lourd,0x1e4fe,16,Heavy Subcannon,1,Sec Cannon,120,2,85,6,Neutral,0x1eea8,8,Torpedo,0x1eca7,8,Torpedo,0x1eeb8,9,Torpille,0x1e50e,8,Torpedo,2,Torpedo,180,2,40,6,Neutral,0x1eeb0,2,-,0x1ecaf,2,-,0x1eec1,2,-,0x1e516,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1220,600,3,20%,483,Shredder Bomb,3,20%,491,Deluxe Kit,-1,None,-1,None
5,0x802d540c,0x1e682,17,Valuan Mage Ship,0x1e3f3,17,Valuan Mage Ship,0x1e644,17,Valuan Mage Ship,0x1dccb,17,Valuan Mage Ship,15000,150,100,250,70,14,20,10,5,5,10,3,10,0x1eeb2,13,Große Kanone,0x1ecb1,13,Cañón Grande,0x1eec3,12,Canon lourd,0x1e518,13,Large Cannon,0,Main Cannon,140,0,70,6,Neutral,0x1eebf,14,Schw. Hilfsk.,0x1ecbe,16,Subcañón Pesado,0x1eecf,15,Subcanon lourd,0x1e525,16,Heavy Subcannon,1,Sec Cannon,120,2,85,6,Neutral,0x1eecd,8,Torpedo,0x1ecce,8,Torpedo,0x1eede,9,Torpille,0x1e535,8,Torpedo,2,Torpedo,160,2,40,6,Neutral,0x1eed5,2,-,0x1ecd6,2,-,0x1eee7,2,-,0x1e53d,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,600,0,100%,485,Frost Bomb,0,100%,487,Thunder Bomb,-1,None,-1,None
6,0x802d5420,0x1e693,17,Valuan Destroyer,0x1e404,17,Valuan Destroyer,0x1e655,17,Valuan Destroyer,0x1dcdc,17,Valuan Destroyer,38000,120,200,250,115,30,10,8,8,8,8,4,10,0x1eed7,17,Kanonen-Prototyp,0x1ecd8,16,Cañón Prototipo,0x1eee9,16,Canon Prototype,0x1e53f,17,Prototype Cannon,0,Main Cannon,250,0,80,6,Neutral,0x1eee8,16,Gr. Hilfskanone,0x1ece8,14,Gran Subcañón,0x1eef9,15,Grand Subcanon,0x1e550,17,Great Subcannon ,1,Sec Cannon,300,3,90,6,Neutral,0x1eef8,15,Großes Torpedo,0x1ecf6,13,Gran Torpedo,0x1ef08,16,Grande Torpille,0x1e561,14,Great Torpedo,2,Torpedo,400,3,50,6,Neutral,0x1ef07,2,-,0x1ed03,2,-,0x1ef18,2,-,0x1e56f,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,0,100%,417,"12"" Blaster",6,Kalifa,470,Intercom,7,Osman,476,Expensive Wheel
7,0x802d5434,0x1e6a4,15,Valuan Spectre,0x1e415,15,Valuan Spectre,0x1e666,15,Valuan Spectre,0x1dced,15,Valuan Spectre,38000,200,150,370,115,30,15,6,5,4,6,3,10,0x1ef09,11,Neo-Kanone,0x1ed05,10,Cañón Neo,0x1ef1a,10,Canon Neo,0x1e571,11,Neo Cannon,0,Main Cannon,250,0,80,6,Neutral,0x1ef14,16,Neo-Hilfskanone,0x1ed0f,13,Subcañón Neo,0x1ef24,13,Subcanon Neo,0x1e57c,14,Neo Subcannon,1,Sec Cannon,150,3,90,6,Neutral,0x1ef24,17,Größeres Torpedo,0x1ed1c,14,Torpedo Mayor,0x1ef31,16,Torpille lourde,0x1e58a,16,Greater Torpedo,2,Torpedo,350,3,50,6,Neutral,0x1ef35,2,-,0x1ed2a,2,-,0x1ef41,2,-,0x1e59a,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,6,Kalifa,472,Floor Heater,0,100%,457,Triple Turbo,-1,None,-1,None
8,0x802d5444,0x1e6b3,15,Galcians Elite,0x1e424,16,Galcian's Elite,0x1e675,16,Galcian's Elite,0x1dcfc,16,Galcian's Elite,50000,250,200,370,220,35,10,10,5,2,5,5,10,0x1ef37,16,Schlangenkanone,0x1ed2c,16,Cañón Serpiente,0x1ef43,14,Canon Serpent,0x1e59c,15,Serpent Cannon,0,Main Cannon,330,0,80,6,Neutral,0x1ef47,15,Schnellfeuerk.,0x1ed3c,13,Cañón Rápido,0x1ef51,13,Canon Rapide,0x1e5ab,13,Rapid Cannon,1,Sec Cannon,250,3,95,6,Neutral,0x1ef56,15,Schnelltorpedo,0x1ed49,14,Torpedo Veloz,0x1ef5e,16,Torpille rapide,0x1e5b8,14,Speed Torpedo,2,Torpedo,400,3,30,6,Neutral,0x1ef65,2,-,0x1ed57,2,-,0x1ef6e,2,-,0x1e5c6,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2400,0,100%,493,Complete Kit,6,Kalifa,438,Crystil Cannon,0,100%,459,Double Shaft
9,0x802d5454,0x1e6c2,17,Gregorio Cruiser,0x1e434,17,Gregorio Cruiser,0x1e685,17,Gregorio Cruiser,0x1dd0c,17,Gregorio Cruiser,25000,100,250,270,65,5,5,10,9,9,10,8,10,0x1ef67,12,Hauptkanone,0x1ed59,17,Cañón Principal ,0x1ef70,16,Canon Principal,0x1e5c8,12,Main Cannon,0,Main Cannon,250,0,90,6,Neutral,0x1ef73,15,Fragmentierung,0x1ed6a,14,Fragmentación,0x1ef80,15,Fragmentation ,0x1e5d4,15,Fragmentation ,1,Sec Cannon,200,2,80,6,Neutral,0x1ef82,2,-,0x1ed78,2,-,0x1ef8f,2,-,0x1e5e3,2,-,2,Torpedo,250,2,60,6,Neutral,0x1ef84,2,-,0x1ed7a,2,-,0x1ef91,2,-,0x1e5e5,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,499,Speed Wax,-1,None,-1,None,-1,None,-1,None
