Entry ID,EU SOT Pos,[Entry GB Name],PC Flags,[V],[A],[F],[D],[E],[G],Sell%,EU Order 1,EU Order 2,Buy,Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,[GB Descr Str]
80,0x802c6940,Vyse's Uniform,0b00110001,X,X,"","","",X,50,0,58,60,17,Defense,0,20,18,MagDef,0,20,-1,None,0,0,-1,None,0,0,0,0,"Uniform of the Blue Rogues.
Given to him by his father."
81,0x802c6950,Aika's Shorts,0b00011000,"",X,X,"","","",50,1,1,50,17,Defense,0,19,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,0,0,"Aika's favorite pair of shorts, given to her
by Vyse's mother."
82,0x802c6960,Fina's Robe,0b00011010,"",X,X,"",X,"",50,11,19,510,17,Defense,0,55,18,MagDef,0,64,-1,None,0,0,-1,None,0,0,0,0,"A traditional Silvite Dress, worn by women of
the Silver Civilization."
83,0x802c696c,Drachma's Shirt,0b00000100,"","","",X,"","",50,4,13,340,17,Defense,0,45,18,MagDef,0,42,-1,None,0,0,-1,None,0,0,0,0,"An extra large, heavy shirt that's been well
worn by years of hard work."
84,0x802c697c,Enrique's Coat,0b00000010,"","","","",X,"",50,33,15,3390,17,Defense,0,119,18,MagDef,0,119,19,Hit%,0,10,20,Dodge%,0,5,0,0,"The light armor of the Valuan Imperial Court.
It improves the wearer's agility."
85,0x802c698c,Gilder's Mail,0b00100101,X,"","",X,"",X,50,27,24,2840,17,Defense,0,116,18,MagDef,0,99,-1,None,0,0,-1,None,0,0,0,0,"Light armor, worn by Gilder under his coat.
Gilder likes to have fun, but he's no dummy."
86,0x802c699c,Light Robe,0b00011010,"",X,X,"",X,"",50,3,32,130,17,Defense,0,29,18,MagDef,0,34,-1,None,0,0,-1,None,0,0,0,0,"A lightweight robe crafted from magically
resistant fabric. "
87,0x802c69a8,Valuan Uniform,0b00110101,X,X,"",X,"",X,50,2,55,170,17,Defense,0,32,18,MagDef,0,32,-1,None,0,0,-1,None,0,0,0,0,"A uniform stolen from a low-ranking Valuan
navigator."
88,0x802c69b8,Sailor Uniform,0b00110101,X,X,"",X,"",X,50,5,49,330,17,Defense,0,44,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,0,0,"Inexpensive, light weight, and durable, this
is the preferred dress of sailors."
89,0x802c69c8,Mystic Dress,0b00011000,"",X,X,"","","",75,6,40,310,17,Defense,0,42,18,MagDef,0,46,-1,None,0,0,-1,None,0,0,0,0,"A dress made of magically resistant fabric that
enables the wearer to resist magic attacks."
90,0x802c69d8,Valuan Armor,0b00100101,X,"","",X,"",X,50,7,54,480,17,Defense,0,51,18,MagDef,0,44,-1,None,0,0,-1,None,0,0,0,0,"On old suit of armor worn by guards in the
Valuan Imperial Palace."
91,0x802c69e8,Elastamor,0b00111111,X,X,X,X,X,X,50,8,14,580,17,Defense,0,54,18,MagDef,0,54,36,Yellow,0,-2,-1,None,0,0,0,0,"A tight-fitting suit that resists damage from
yellow magic spells."
92,0x802c69f4,Raincoat,0b00110101,X,X,"",X,"",X,50,9,46,560,17,Defense,0,56,18,MagDef,0,56,-1,None,0,0,-1,None,0,0,0,0,"Durable coat worn by sailors to protect them
from the harsh elements."
93,0x802c6a00,Nasrean Mail,0b00111111,X,X,X,X,X,X,50,12,43,920,17,Defense,0,66,18,MagDef,0,66,33,Red,0,-2,-1,None,0,0,0,0,"Durable, lightweight outfit made for desert
travel. Defends the wearer against Red Magic."
94,0x802c6a10,Ceramic Armor,0b00100101,X,"","",X,"",X,50,13,8,1040,17,Defense,0,73,18,MagDef,0,62,-1,None,0,0,-1,None,0,0,0,0,"Light, but very durable armor created from
baking different types of Nasrean Clay."
95,0x802c6a20,Agile Robe,0b00001010,"","",X,"",X,"",50,14,0,930,17,Defense,0,65,18,MagDef,0,65,19,Hit%,0,10,20,Dodge%,0,5,0,0,"A lightweight robe that increases the wearer's
Agile."
96,0x802c6a2c,Miner's Overalls,0b00100111,X,"","",X,X,X,25,18,35,910,17,Defense,0,87,18,MagDef,0,80,-1,None,0,0,-1,None,0,0,0,0,"Thick overalls, worn by miners. It is very
difficult to find a pair that isn't dirty."
97,0x802c6a40,Fiber Robe,0b00011010,"",X,X,"",X,"",50,19,18,1040,17,Defense,0,77,18,MagDef,0,90,-1,None,0,0,-1,None,0,0,0,0,"Ceremonial Robe woven from plants.
Protects the user from magic attacks."
98,0x802c6a4c,Golden Armor,0b00100101,X,"","",X,"",X,100,20,25,2480,17,Defense,0,90,18,MagDef,0,77,-1,None,0,0,-1,None,0,0,0,0,"Extremely heavy armor forged from Ixa'takan
gold."
99,0x802c6a5c,Ixa'takan Armor,0b00111111,X,X,X,X,X,X,50,31,29,2790,17,Defense,0,109,18,MagDef,0,109,32,Green,0,-2,-1,None,0,0,0,0,"A cloth tunic worn in the jungle, designed to
protect the wearer from Green Magic."
100,0x802c6a6c,Naval Uniform,0b00110101,X,X,"",X,"",X,50,32,44,2470,17,Defense,0,112,18,MagDef,0,112,-1,None,0,0,-1,None,0,0,0,0,"A fairly light type of armor, designed for
stealth missions."
101,0x802c6a7c,Nasr Uniform,0b00100111,X,"","",X,X,X,50,24,42,2070,17,Defense,0,104,18,MagDef,0,96,-1,None,0,0,-1,None,0,0,0,0,"A uniform designed for the Nasr Sailors. It's
in good condition, but has no rank markings."
102,0x802c6a8c,Caravan Armor,0b00110101,X,X,"",X,"",X,50,25,7,1930,17,Defense,0,100,18,MagDef,0,100,-1,None,0,0,-1,None,0,0,0,0,"Thick armor made from the hides of the desert
animals."
103,0x802c6a9c,Holy Robe,0b00011010,"",X,X,"",X,"",50,26,27,1520,17,Defense,0,92,18,MagDef,0,108,-1,None,0,0,-1,None,0,0,0,0,"Sacred Robes worn by the Priests of Nasr.
Protects the user from magic attacks."
104,0x802c6aa8,Daccat's Tunic,0b00111111,X,X,X,X,X,X,50,34,10,3500,17,Defense,0,121,18,MagDef,0,121,35,Blue,0,-2,-1,None,0,0,0,0,"A Legendary Tunic said to have been worn by
Daccat. Protects the user from Blue Magic."
105,0x802c6ab8,Battleworn Armor,0b00100101,X,"","",X,"",X,50,35,3,3810,17,Defense,0,133,18,MagDef,0,114,-1,None,0,0,-1,None,0,0,0,0,"A well-worn suit of armor that has apparently
saved the previous owner's life many times."
106,0x802c6acc,Miracle Robe,0b00011010,"",X,X,"",X,"",50,36,36,2400,17,Defense,0,114,18,MagDef,0,133,-1,None,0,0,-1,None,0,0,0,0,"A robe worn by a monk who miraculously returned
unharmed after being lost in the Dark Rift."
107,0x802c6adc,Scale Mail,0b00100111,X,"","",X,X,X,50,39,50,3990,17,Defense,0,141,18,MagDef,0,130,-1,None,0,0,-1,None,0,0,0,0,"Extremely effective armor from the east, crafted
from the scales of large creatures."
