Entry ID,EU SOT Pos,[Entry GB Name],Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,EU Order 1,EU Order 2,Pad 1,Buy,Pad 2,Pad 3,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[GB Descr Str]
240,0x802c724c,Sacri Crystal,0b0110,X,X,"",31,Recover HP,1,Single PC,100,50,0,55,0,20,0,0,500,-1,None,-1,None,0,Poison,0,"An enchanted crystal created by Mages of the
Green Moon. Restores 500 HP for one ally."
241,0x802c725c,Sacres Crystal,0b0110,X,X,"",31,Recover HP,1,Single PC,100,50,1,53,0,60,0,0,1000,-1,None,-1,None,0,Poison,0,"An enchanted crystal created by Mages of the
Green Moon. Restores 1,000 HP for one ally."
242,0x802c726c,Sacrum Crystal,0b0110,X,X,"",31,Recover HP,2,All PCs,100,50,2,58,0,600,0,0,1000,-1,None,-1,None,0,Poison,0,"An enchanted crystal created by Mages of the
Green Moon. Restores 1,000 HP for all allies."
243,0x802c727c,Sacrulen Crystal,0b0110,X,X,"",32,Recover HP of 100%,1,Single PC,100,50,3,57,0,200,0,0,10000,-1,None,-1,None,0,Poison,0,"An enchanted crystal created by Mages of the
Green Moon. Restores all HP for one ally."
244,0x802c7290,Magic Droplet,0b0111,X,X,X,48,Recover MP,1,Single PC,100,50,4,31,0,40,0,0,1,-1,None,-1,None,0,Poison,0,"Created from the dew that forms on a magical
tree. Restores 1 MP for one ally."
245,0x802c72a0,Magic Dew,0b0111,X,X,X,48,Recover MP,1,Single PC,100,50,5,30,0,400,0,0,10,-1,None,-1,None,0,Poison,0,"A more concentrated form of the Magic Droplet.
Restores 10 MP for one ally."
246,0x802c72ac,Aura of Valor,0b0011,"",X,X,35,Recover SP,2,All PCs,100,50,6,1,0,2000,0,0,99,-1,None,-1,None,0,Poison,0,"A sacred stone that boosts the Spirit of the
entire party to heroic levels."
247,0x802c72bc,Soul Crystal,0b0000,"","","",-1,None,0,None,0,100,49,62,0,3000,0,0,0,0,Green,0,Physical,0,Poison,0,"A valuable treasure sought by Zivilyn Bane on
Daccat's Island."
248,0x802c72cc,Unholy Dagger,0b0000,"","","",-1,None,0,None,0,100,50,69,0,4000,0,0,0,0,Green,0,Physical,0,Poison,0,"A valuable treasure sought by Zivilyn Bane in
the Grand Fortress."
249,0x802c72dc,Curia Crystal,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,100,50,7,7,0,30,0,0,0,0,Green,0,Physical,7,Revival,0,"An ensorcelled crystal that cures all adverse
effects on one ally, except for Unconscious."
250,0x802c72ec,Risan Crystal,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,100,50,8,48,0,150,0,0,0,0,Green,0,Physical,7,Revival,50,"An ensorcelled crystal that has a 50% chance of
reviving one ally, with 50% of their maximum HP."
251,0x802c72fc,Riselem Crystal,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,100,50,9,50,0,450,0,0,0,0,Green,0,Physical,7,Revival,0,"An ensorcelled crystal that will revive an ally
to Max HP."
252,0x802c730c,Glyph of Might,0b0010,"",X,"",21,Incr Attack & Defense,1,Single PC,100,50,10,17,0,100,0,0,0,0,Green,0,Physical,7,Revival,0,"Developed by De Loco's Researchers.
Increases the Power of one ally."
