Entry ID,Entry JP Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop 1 ID,[Item Drop 1 Name],Item 1 ID,[Item 1 Name],Item Drop 2 ID,[Item Drop 2 Name],Item 2 ID,[Item 2 Name],Item Drop 3 ID,[Item Drop 3 Name],Item 3 ID,[Item 3 Name]
0,バルア駆逐艦,12000,20,40,20,70,5,15,10,10,10,10,7,10,0,Main Cannon,120,0,85,6,Neutral,1,Sec Cannon,95,1,80,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,爆弾,3,20%,401,汎主砲,-1,None,-1,None
1,バルアЖ駆逐艦,12000,70,40,45,70,7,10,10,9,10,10,8,10,0,Main Cannon,120,0,80,6,Neutral,1,Sec Cannon,95,1,85,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,爆弾,3,20%,489,波の爆弾,-1,None,-1,None
2,バルア巡洋艦,10000,30,35,15,30,5,10,10,10,10,10,7,10,0,Main Cannon,110,0,80,6,Neutral,1,Sec Cannon,90,2,90,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,690,500,0,100%,490,修復材,-1,None,-1,None,-1,None,-1,None
3,バルアЖ巡洋艦,10000,120,33,130,50,8,15,10,5,10,10,5,10,0,Main Cannon,110,0,80,6,Neutral,1,Sec Cannon,90,2,90,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,640,400,4,50%,481,大爆弾,3,20%,485,氷の爆弾,-1,None,-1,None
4,バルア戦艦,15000,100,100,170,70,14,10,10,5,9,10,5,10,0,Main Cannon,150,0,70,6,Neutral,1,Sec Cannon,120,2,85,6,Neutral,2,Torpedo,180,2,40,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1220,600,3,20%,483,巨大爆弾,3,20%,491,硬修復材,-1,None,-1,None
5,バルアЖ戦艦,15000,150,100,250,70,14,20,10,5,5,10,3,10,0,Main Cannon,140,0,70,6,Neutral,1,Sec Cannon,120,2,85,6,Neutral,2,Torpedo,160,2,40,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,600,0,100%,485,氷の爆弾,0,100%,487,雷の爆弾,-1,None,-1,None
6,バルア新鋭艦,38000,120,200,250,115,30,10,8,8,8,8,4,10,0,Main Cannon,250,0,80,6,Neutral,1,Sec Cannon,300,3,90,6,Neutral,2,Torpedo,400,3,50,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,0,100%,417,１２インチ副砲改,6,Kalifa,470,カラオケセット,7,Osman,476,高価な蛇輪
7,バルアЖ新鋭艦,38000,200,150,370,115,30,15,6,5,4,6,3,10,0,Main Cannon,250,0,80,6,Neutral,1,Sec Cannon,150,3,90,6,Neutral,2,Torpedo,350,3,50,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,6,Kalifa,472,床暖房,0,100%,457,トリプルターボ,-1,None,-1,None
8,ガルシアン親衛艦,50000,250,200,370,220,35,10,10,5,2,5,5,10,0,Main Cannon,330,0,80,6,Neutral,1,Sec Cannon,250,3,95,6,Neutral,2,Torpedo,400,3,30,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2400,0,100%,493,完全修復材,6,Kalifa,438,ロックキャノン,0,100%,459,ツインエンジン
9,グレゴリオ巡洋艦,25000,100,250,270,65,5,5,10,9,9,10,8,10,0,Main Cannon,250,0,90,6,Neutral,1,Sec Cannon,200,2,80,6,Neutral,2,Torpedo,250,2,60,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,499,クイッカワックス,-1,None,-1,None,-1,None,-1,None
10,グレゴリオ戦艦,30000,120,270,300,70,5,10,10,8,8,10,7,10,0,Main Cannon,270,0,90,6,Neutral,1,Sec Cannon,220,3,85,6,Neutral,2,Torpedo,250,3,70,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,483,巨大爆弾,7,Osman,508,水晶玉,-1,None,-1,None
11,リンクス,25000,130,40,150,65,30,10,10,5,5,9,3,10,0,Main Cannon,130,0,90,6,Neutral,1,Sec Cannon,110,2,88,6,Neutral,2,Torpedo,100,2,60,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3520,2400,0,100%,496,キャプテンマーク,0,100%,509,Ж術発射装置,0,100%,411,３インチ副砲改
12,カミュレオン,30000,130,100,200,60,20,15,10,10,10,20,5,10,0,Main Cannon,155,0,90,6,Neutral,1,Sec Cannon,120,1,70,6,Neutral,2,Torpedo,160,2,70,6,Neutral,3,Special,300,0,-1,6,Neutral,0,0,0,0,0,0,2900,1900,0,100%,496,キャプテンマーク,4,50%,404,重主砲Ｂ型,-1,None,-1,None
13,カミュレオン,30000,130,150,230,60,20,15,10,10,10,20,5,10,0,Main Cannon,170,0,100,6,Neutral,1,Sec Cannon,180,1,70,6,Neutral,2,Torpedo,200,2,70,6,Neutral,3,Special,350,0,-1,6,Neutral,0,0,0,0,0,0,4170,2400,4,50%,423,ホーク魚雷,-1,None,-1,None,-1,None,-1,None
14,カミュレオン,30000,200,150,380,120,20,30,3,3,3,3,0,3,0,Main Cannon,300,0,60,6,Neutral,1,Sec Cannon,250,2,70,6,Neutral,2,Torpedo,550,3,70,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,15950,7000,0,100%,496,キャプテンマーク,0,100%,455,ツインターボ,0,100%,506,ヘクサフォース
15,カット１５,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,-1,-1,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
16,アウリーガ,50000,250,300,300,80,15,5,9,5,5,9,3,9,0,Main Cannon,300,0,87,6,Neutral,1,Sec Cannon,250,2,87,6,Neutral,2,Torpedo,300,2,80,6,Neutral,3,Special,500,0,-1,6,Neutral,0,0,0,0,0,0,10290,5200,0,100%,496,キャプテンマーク,0,100%,464,重装甲板,0,100%,414,１２インチ副砲
