Entry ID,Entry JP Name,PC Flags,[V],[A],[F],[D],[E],[G],Sell%,JP Order 1,JP Order 2,Pad 1,Buy,Trait 1 ID,[Trait 1 Name],Pad 2,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 3,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 4,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 5,Trait 4 Value,[JP Descr Pos],[JP Descr Size],JP Descr Str
160,ストーンリング,0x3a,X,X,X,"",X,"",50,1,33,0,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2ca370,96,若い船乗りたちに人気がある石の装飾品で、自分で\n模様を彫ることもできる指輪。Ж防力が上昇する。
161,砂の指輪,0x3a,X,X,X,"",X,"",50,3,34,0,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2ca3d0,96,月Ж石に付着していた砂をかき集めてかたちを整え、\n高熱で焼いた素焼きの指輪。Ж防力が上昇する。
162,木彫の指輪,0x3a,X,X,X,"",X,"",50,0,16,0,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2ca430,92,神秘的な力を秘めたЖ樹の枝を加工した指輪。\nЖ術文字が彫りこんであるため、気力が上昇する。
163,星の指輪,0x3a,X,X,X,"",X,"",50,4,55,0,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2ca48c,100,こなごなに砕けた月Ж石のかけらを散りばめた指輪。\n男女を問わず人気があるデザインで気力が上昇する。
164,二連リング,0x3a,X,X,X,"",X,"",50,2,43,0,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0x2ca4f0,92,二つの輪が互いにつながっているおしゃれな指輪。\n指にそっとはめると気力とЖ防力が上昇する。
165,宝珠の指輪,0x3a,X,X,X,"",X,"",50,5,54,0,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0x2ca54c,92,二つの玉が互いに渦を巻く、不思議な模様の指輪。\n指にしっかりはめると気力とЖ防力が上昇する。
166,キュピリング,0x8,"","",X,"","","",100,6,18,0,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0x2ca5a8,96,キュピルそっくりな指輪。気力とЖ防力を跳ね上げ、\nまた銀属性の攻撃や「失神」にも高い耐性を誇る。
167,満月の指輪,0x3a,X,X,X,"",X,"",100,7,59,0,10,77,Recover SP,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2ca608,84,透きとおった真球の宝石をはめこんだ指輪。\n毎ターン、少しだけ多めにガッツが回復する。
168,セベスクのうろこ,0x35,X,X,"",X,"",X,50,8,35,0,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2ca65c,88,船乗り島の周辺に棲息するセベスクの鋭く尖った\nウロコで作った装飾品。攻撃力が上昇する。
169,ケベスクのうろこ,0x35,X,X,"",X,"",X,50,9,25,0,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2ca6b4,96,気の荒いセベスクよりも、もっと凶暴なケベスクの\n硬く鋭いウロコで作った装飾品。攻撃力が上昇する。
170,マロッカの甲羅,0x35,X,X,"",X,"",X,50,10,58,0,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x2ca714,96,太古からほとんど進化していない甲殻類、マロッカの\n外殻を漁師が加工した装飾品。防御力が上昇する。
