Entry ID,Entry JP Name,Rating,Attack,Unk,Dodge%,Run%
0,逃走王ヴァイス,5,0,0,50,200
1,青二才のヴァイス,95,-1,-1,1,10
2,したっぱ空賊のヴァイス,105,0,0,0,0
3,駆けだし空賊のヴァイス,115,1,1,-1,-1
4,いっぱしの空賊ヴァイス,125,1,1,-1,-1
5,売りだし中のヴァイス,135,1,1,-1,-1
6,最近ウワサのヴァイス,145,1,1,-1,-1
7,空賊の新星ヴァイス,155,2,2,-2,-2
8,威風堂々のヴァイス,165,2,2,-2,-2
9,神出鬼没のヴァイス,175,2,2,-2,-2
10,漢・ヴァイス,185,2,2,-2,-2
11,大航海者ヴァイス,195,3,3,-3,-3
12,大空またぎのヴァイス,205,3,3,-3,-3
13,不可能破りのヴァイス,215,3,3,-3,-3
14,男の中の男・ヴァイス,225,3,3,-3,-3
15,空賊王ヴァイス,250,4,4,4,4
16,賞金王ヴァイス,250,4,3,-4,-10
17,発見王ヴァイス,250,3,3,0,-3
18,砲撃王ヴァイス,250,3,3,-3,-3
19,大漁王ヴァイス,250,3,3,-3,-3
20,バトル王ヴァイス,250,4,3,-3,-3
21,ゴージャス王ヴァイス,250,2,2,-2,-2
22,カリスマ王ヴァイス,250,3,3,-3,-3
23,地に落ちた空賊ヴァイス,0,-2,-2,-2,200
