Entry ID,Magic EXP,PC1 ID,[PC1 Name],PC1 X,PC1 Z,PC2 ID,[PC2 Name],PC2 X,PC2 Z,PC3 ID,[PC3 Name],PC3 X,PC3 Z,PC4 ID,[PC4 Name],PC4 X,PC4 Z,EC1 ID,[JP EC1 Name],EC1 X,EC1 Z,EC2 ID,[JP EC2 Name],EC2 X,EC2 Z,EC3 ID,[JP EC3 Name],EC3 X,EC3 Z,EC4 ID,[JP EC4 Name],EC4 X,EC4 Z,EC5 ID,[JP EC5 Name],EC5 X,EC5 Z,EC6 ID,[JP EC6 Name],EC6 X,EC6 Z,EC7 ID,[JP EC7 Name],EC7 X,EC7 Z,Initiative,Defeat Cond. ID,[Defeat Cond. Name],Escape Cond. ID,[Escape Cond. Name],BGM ID
0,1,0,Vyse,4,6,1,Aika,6,6,-1,None,-1,-1,-1,None,-1,-1,0,軍艦兵,4,2,0,軍艦兵,6,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,14,0,Must Not Lose,1,Cannot Escape,58
1,1,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,1,航行士,4,2,1,航行士,6,2,1,航行士,2,3,1,航行士,8,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,14,0,Must Not Lose,1,Cannot Escape,58
2,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,128,アントニオ,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,18,1,May Try Again,1,Cannot Escape,60
3,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,129,アガタウマス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,34,1,May Try Again,1,Cannot Escape,60
4,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,-1,None,-1,-1,130,イマゴタリア,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,48,1,May Try Again,1,Cannot Escape,60
5,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,-1,None,-1,-1,131,獄長,4,2,7,煌術処刑士,2,3,7,煌術処刑士,8,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,50,1,May Try Again,1,Cannot Escape,60
6,0,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,132,ガルシアン,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,52,0,Must Not Lose,1,Cannot Escape,61
7,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,警備士,5,3,72,警備士,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,52,0,Must Not Lose,0,Can Escape,58
8,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,警備士,5,3,72,警備士,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,52,0,Must Not Lose,0,Can Escape,58
9,2,0,Vyse,4,8,1,Aika,5,9,-1,None,-1,-1,-1,None,-1,-1,133,護送将兵,4,3,133,護送将兵,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,54,1,May Try Again,1,Cannot Escape,60
10,4,0,Vyse,5,8,1,Aika,7,9,2,Fina,3,9,-1,None,-1,-1,134,ラァス,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,68,1,May Try Again,1,Cannot Escape,60
11,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,17,ツィツィ,2,4,17,ツィツィ,3,2,17,ツィツィ,4,3,17,ツィツィ,5,4,17,ツィツィ,6,2,17,ツィツィ,7,5,17,ツィツィ,8,3,0,0,Must Not Lose,0,Can Escape,58
12,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,73,採掘士,4,2,73,採掘士,6,2,73,採掘士,2,1,73,採掘士,8,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,82,0,Must Not Lose,1,Cannot Escape,58
13,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,136,アントニオＪｒ,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,84,1,May Try Again,1,Cannot Escape,60
14,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,137,ディアトリマ,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,92,1,May Try Again,1,Cannot Escape,60
15,2,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,155,ドブラ,5,1,156,ウォン三兄弟,5,3,156,ウォン三兄弟,3,1,156,ウォン三兄弟,7,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,94,1,May Try Again,1,Cannot Escape,60
16,2,0,Vyse,4,6,1,Aika,6,6,2,Fina,3,7,3,Drachma,7,7,32,調査兵,4,3,32,調査兵,6,3,32,調査兵,3,4,32,調査兵,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,98,1,May Try Again,1,Cannot Escape,58
17,4,0,Vyse,6,4,1,Aika,4,4,2,Fina,4,6,5,Gilder,6,6,138,シニストラ,1,1,139,デクストラ,7,7,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,104,1,May Try Again,1,Cannot Escape,60
18,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,140,ラミレス,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,106,2,May Lose,1,Cannot Escape,61
19,4,0,Vyse,4,8,1,Aika,5,5,5,Gilder,6,8,-1,None,-1,-1,141,ビゴロ,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,108,1,May Try Again,1,Cannot Escape,61
20,4,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,5,Gilder,8,9,142,ブラキロフス,4,1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,112,1,May Try Again,1,Cannot Escape,60
21,3,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,145,ジャオ,4,3,146,マオ,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,128,1,May Try Again,1,Cannot Escape,60
22,6,0,Vyse,4,7,1,Aika,6,7,2,Fina,2,8,4,Enrique,8,8,144,ディーゴ,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,132,1,May Try Again,1,Cannot Escape,60
23,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,147,ムラジ,5,1,60,モノノフ,5,3,60,モノノフ,4,3,60,モノノフ,6,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,134,1,May Try Again,1,Cannot Escape,60
24,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,148,ニルヴィナス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,144,1,May Try Again,1,Cannot Escape,60
25,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,4,Enrique,8,9,150,ホルシ−ド,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must Not Lose,0,Can Escape,60
26,0,0,Vyse,5,7,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,152,ラミレス,5,3,100,アサシン,3,3,100,アサシン,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,158,2,May Lose,1,Cannot Escape,61
27,8,0,Vyse,4,7,1,Aika,5,7,2,Fina,3,8,5,Gilder,6,8,149,ビゴロ,5,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,160,1,May Try Again,1,Cannot Escape,61
28,8,0,Vyse,4,7,1,Aika,6,7,2,Fina,7,9,5,Gilder,6,8,154,ラプラタヌス,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,160,1,May Try Again,1,Cannot Escape,60
29,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,151,ガルシアン,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,0,0,Must Not Lose,0,Can Escape,61
30,10,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,153,ラミレス,5,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,168,1,May Try Again,1,Cannot Escape,61
31,0,0,Vyse,4,8,1,Aika,6,8,2,Fina,2,9,3,Drachma,8,9,157,ラミレス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,170,1,May Try Again,1,Cannot Escape,62
32,2,0,Vyse,5,6,1,Aika,6,7,2,Fina,4,7,-1,None,-1,-1,14,盗掘者シモン,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,66,1,May Try Again,1,Cannot Escape,58
