Entry ID,US Entry Name,Element ID,[Element Name],Ord by 123,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str,[US Ship Descr Pos],[US Ship Descr Size],US Ship Descr Str
0,Increm,1,Red,120,0x3,"",X,X,21,Incr Attack + Defense,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,4,2,0,-1,0,0,0,0x3320b4,80,Increases power of one ally.\nOnly Vice's super move will increase power too!!,0x335c10,48,Increases the attack power of all your\ncannons.
1,アポス,1,Red,121,0x3,"",X,X,21,Incr Attack + Defense,2,All PCs,6,Magic,0,5,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,16,4,0,-1,0,0,0,0x332104,72,パワーアップЖ術の第２段階です。\nＰＣ全員の攻撃力、防御力が上がります。,0x335c40,56,全ての砲の攻撃力が上昇する。\n長時間効果が持続するぞ！
2,サイレシャ,2,Purple,20,0x3,"",X,X,12,Silence,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,0,Magic Cannon,0,116,Silence by 100%,2,2,0,-1,0,0,0,0x33214c,52,沈黙Ж術です。\nＥＣ単体のЖ術を一定確率で封じます。,0x335c78,68,沈黙の弾を発射し、敵の煌術を封じる。\n煌術を使ってくる敵に有効だ！
3,Panika,2,Purple,130,0x2,"",X,"",11,Confusion,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,60,0,0,0,-1,Never,0,65535,???,-1,-1,0,-1,0,0,0,0x332180,80,Confuses one enemy. The confused enemy will \nattack whoever is closest to him!!,0x335cbc,20,使用できません。\n
4,ダウナ,4,Yellow,140,0x3,"",X,X,26,Decr All Attr,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,3,2,0,-1,0,0,0,0x3321d0,76,能力値ダウンЖ術の第１段階です。\nＥＣ単体の全能力値を一定確率で下げます。,0x335cd0,76,能力低下弾を発射し、敵１体の能力を下げる。\n硬くて歯が立たない敵に有効だぞ！
5,ダウノス,4,Yellow,141,0x3,"",X,X,26,Decr All Attr,4,All ECs,6,Magic,0,5,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,6,4,0,-1,0,0,0,0x33221c,76,能力値ダウンЖ術の第２段階です。\nＥＣ全体の全能力値を一定確率で下げます。,0x335d1c,56,強力な能力低下弾を発射する。\n長時間効果が持続するぞ！
6,Sacri,0,Green,40,0x7,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,250,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,2,-1,400,-1,0,0,0,0x332268,80,Replenishes one ally's HP by 250p.\nIt's very useful during the early stages!,0x335d54,72,Heals a little of the ship's HP.It only uses\na small amount of Spirit
7,サプリィ,0,Green,41,0x7,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,5,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,4,-1,800,-1,0,0,0,0x3322b8,64,ＨＰ回復Ж術の第２段階です。\nＰＣ１人のＨＰを中量回復します。,0x335d9c,64,Heals a large portion of the ship's HP.\nUse it when low on HP.
8,Sacrum,0,Green,42,0x7,X,X,X,31,Recover HP,2,All PCs,6,Magic,0,5,0,0,500,0,Physical,0,Poison,0,0,0,0,-1,Never,0,65535,???,-1,-1,1000,-1,0,0,0,0x3322f8,96,Heals all allies' HP by 500p. It's a necessity \nwhen fighting enemies that use group-attacks.,0x335ddc,72,船のＨＰが一定期間回復し続ける。\n少々のダメージは気にならなくなるぞ！
9,サプローネ,0,Green,43,0x7,X,X,X,32,Recover HP of 100%,1,Single PC,6,Magic,0,12,0,0,9999,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP by 100%,6,-1,0,-1,0,0,0,0x332358,64,ＨＰ回復Ж術の第４段階です。\nＰＣ１人のＨＰを完全回復します。,0x335e24,68,船のＨＰが完全に回復する。\n撃沈されそうな時でも一気に回復するぞ！
