Entry ID,US Entry Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Attack,Hit%,Limit,SP,Feat. ID,[Feat. Name],Pad. 1,Feat. Value,Pad. 2,Pad. 3,Purchase Price,Pad. 4,Pad. 5,Retail Price in %,Order by Prio.,US Order by ABC,Pad. 6,[US Descr. Pos.],[US Descr. Size],US Descr. Str.
400,Main Cannon,0x30,X,X,"","","",0,Main Cannon,6,Neutral,70,80,0,4,-1,None,0,0,0,0,450,0,0,50,0,0,0,0x334340,60,The Little Jack's main gun. It is old\nin good condition.
401,汎主砲,0x30,X,X,"","","",0,Main Cannon,6,Neutral,40,83,0,4,-1,None,0,0,0,0,1000,0,0,50,1,1,0,0x33437c,76,リトルジャックが装備できる大砲。\nバルアからの流出品。バルアでは一般的な砲。
402,汎主砲改,0x30,X,X,"","","",0,Main Cannon,6,Neutral,45,85,0,5,-1,None,0,0,0,0,1900,0,0,50,2,2,0,0x3343c8,72,リトルジャックが装備できる大砲。\n一般的な砲を改造し、火力を上げている。
403,重主砲Ｇ型,0x30,X,X,"","","",0,Main Cannon,6,Neutral,50,85,0,5,-1,None,0,0,0,0,3000,0,0,70,3,3,0,0x334410,72,リトルジャックが装備できる大砲。\n限界まで口径を広げ、威力を上げている。
404,重主砲Ｂ型,0x30,X,X,"","","",0,Main Cannon,6,Neutral,75,90,0,6,-1,None,0,0,0,0,4000,0,0,50,4,4,0,0x334458,68,リトルジャックが装備できる大砲。\n耐久性が高く、それだけ威力も強い。
405,試験型主砲,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,100,85,0,6,-1,None,0,0,0,0,5000,0,0,50,5,5,0,0x33449c,72,バルアの新鋭艦に搭載される予定の砲。\n未完成品なのであまり威力が無い。
406,新鋭主砲,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,150,90,0,7,-1,None,0,0,0,0,5500,0,0,50,6,6,0,0x3344e4,68,戦艦タイプの旋回主砲。\nバルアの新鋭艦に装備されているものと同じ砲。
407,ヤマトダマシイ,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,250,90,0,8,-1,None,0,0,0,0,6700,0,0,70,7,7,0,0x334528,64,戦艦タイプの旋回主砲。\nヤフトマーの熟練鍛冶が特別に作った逸品。
408,古の主砲,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,300,95,0,9,-1,None,0,0,0,0,8500,0,0,50,8,8,0,0x334568,60,古の技術でつくられた砲。\n月煌石の鋼材で作られた頑丈な砲。
409,Ｘ主砲,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,400,97,0,10,-1,None,0,0,0,0,11000,0,0,0,9,9,0,0x3345a4,60,戦艦タイプの旋回主砲。\nバルアの全ての技術を注ぎ込んだ砲。
410,3-inch Cannon,0x30,X,X,"","","",1,Sec. Cannon,6,Neutral,120,80,1,2,-1,None,0,0,0,0,700,0,0,50,10,10,0,0x3345e0,68,This cannon can be equipped as asecondary gun \nfor the Little Jack.
411,３インチ副砲改,0x30,X,X,"","","",1,Sec. Cannon,6,Neutral,80,83,1,2,-1,None,0,0,0,0,1015,0,0,50,11,11,0,0x334624,52,リトルジャックが装備できる副砲。\n効果範囲が広い砲。
412,５インチ副砲,0x30,X,X,"","","",1,Sec. Cannon,6,Neutral,90,80,1,3,-1,None,0,0,0,0,1330,0,0,50,12,12,0,0x334658,56,リトルジャックが装備できる副砲。\n比較的威力が強い砲。
413,８インチ副砲,0x30,X,X,"","","",1,Sec. Cannon,6,Neutral,100,82,2,3,-1,None,0,0,0,0,2100,0,0,50,13,13,0,0x334690,76,リトルジャックが装備できる副砲。\nバルアの戦艦に装備されるはずだったもの。
414,１２インチ副砲,0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,170,77,2,4,-1,None,0,0,0,0,3500,0,0,50,14,14,0,0x3346dc,80,リトルジャックが装備できる副砲。\n特殊な合板を使用し、大口径化を実現している。
415,１０インチ副砲,0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,200,82,3,4,-1,None,0,0,0,0,3640,0,0,50,15,15,0,0x33472c,60,バルアの新鋭艦に搭載される予定の砲。\n未完成品なので弱い。
416,１０インチ副砲改,0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,220,89,3,4,-1,None,0,0,0,0,3710,0,0,50,16,16,0,0x334768,60,新鋭艦の副砲。\nバルアの新鋭艦に装備されているものと同じ。
417,１２インチ副砲改,0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,250,85,2,5,-1,None,0,0,0,0,3850,0,0,50,17,17,0,0x3347a4,48,戦艦タイプ用副砲。\n長時間の速射に耐えられる砲。
418,３尺副砲,0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,280,87,3,6,-1,None,0,0,0,0,4690,0,0,50,18,18,0,0x3347d4,44,戦艦タイプ用副砲。\n広範囲に乱射できる砲。
419,５尺副砲,0xe,"","",X,X,X,1,Sec. Cannon,6,Neutral,330,90,2,6,-1,None,0,0,0,0,5110,0,0,50,19,19,0,0x334800,40,戦艦タイプ用副砲。\n主砲並の威力がある。
420,Sparrow Torpedo,0x30,X,X,"","","",2,Torpedo,6,Neutral,180,60,2,3,-1,None,0,0,0,0,1520,0,0,50,20,20,0,0x334828,56,This topedo cannon can be equipped by the\nLittle Jack.
421,カープス魚雷,0x30,X,X,"","","",2,Torpedo,6,Neutral,120,70,2,2,-1,None,0,0,0,0,1760,0,0,50,21,21,0,0x334860,52,リトルジャックが装備できる魚雷。\n効果範囲が広い。
422,バッファロー魚雷,0x30,X,X,"","","",2,Torpedo,6,Neutral,160,55,2,3,-1,None,0,0,0,0,2000,0,0,50,22,22,0,0x334894,52,リトルジャックが装備できる魚雷。\n比較的威力が強い。
