Entry ID,Entry US Name,PC Flags,[V],[A],[F],[D],[E],[G],Sell%,US Order 1,US Order 2,Pad 1,Buy,Trait 1 ID,[Trait 1 Name],Pad 2,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 3,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 4,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 5,Trait 4 Value,[US Descr Pos],[US Descr Size],US Descr Str
160,ストーンリング,0b00111010,X,X,X,"",X,"",50,1,33,0,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x364d8c,96,"若い船乗りたちに人気がある石の装飾品で、自分で
模様を彫ることもできる指輪。Ж防力が上昇する。"
161,砂の指輪,0b00111010,X,X,X,"",X,"",50,3,34,0,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x364dec,96,"月Ж石に付着していた砂をかき集めてかたちを整え、
高熱で焼いた素焼きの指輪。Ж防力が上昇する。"
162,木彫の指輪,0b00111010,X,X,X,"",X,"",50,0,16,0,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x364e4c,92,"神秘的な力を秘めたЖ樹の枝を加工した指輪。
Ж術文字が彫りこんであるため、気力が上昇する。"
163,星の指輪,0b00111010,X,X,X,"",X,"",50,4,55,0,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x364ea8,100,"こなごなに砕けた月Ж石のかけらを散りばめた指輪。
男女を問わず人気があるデザインで気力が上昇する。"
164,二連リング,0b00111010,X,X,X,"",X,"",50,2,43,0,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0x364f0c,92,"二つの輪が互いにつながっているおしゃれな指輪。
指にそっとはめると気力とЖ防力が上昇する。"
165,宝珠の指輪,0b00111010,X,X,X,"",X,"",50,5,54,0,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0x364f68,92,"二つの玉が互いに渦を巻く、不思議な模様の指輪。
指にしっかりはめると気力とЖ防力が上昇する。"
166,キュピリング,0b00001000,"","",X,"","","",100,6,18,0,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0x364fc4,96,"キュピルそっくりな指輪。気力とЖ防力を跳ね上げ、
また銀属性の攻撃や「失神」にも高い耐性を誇る。"
167,満月の指輪,0b00111010,X,X,X,"",X,"",100,7,59,0,10,77,Recover SP,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x365024,84,"透きとおった真球の宝石をはめこんだ指輪。
毎ターン、少しだけ多めにガッツが回復する。"
168,セベスクのうろこ,0b00110101,X,X,"",X,"",X,50,8,35,0,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x365078,88,"船乗り島の周辺に棲息するセベスクの鋭く尖った
ウロコで作った装飾品。攻撃力が上昇する。"
169,ケベスクのうろこ,0b00110101,X,X,"",X,"",X,50,9,25,0,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x3650d0,96,"気の荒いセベスクよりも、もっと凶暴なケベスクの
硬く鋭いウロコで作った装飾品。攻撃力が上昇する。"
170,マロッカの甲羅,0b00110101,X,X,"",X,"",X,50,10,58,0,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x365130,96,"太古からほとんど進化していない甲殻類、マロッカの
外殻を漁師が加工した装飾品。防御力が上昇する。"
171,ブブロッカの甲羅,0b00110101,X,X,"",X,"",X,50,11,50,0,1920,17,Defense,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x365190,92,"マロッカよりも硬い外殻を持つブブロッカの甲羅を
船乗りが加工した装飾品。防御力が上昇する。"
172,ガトーのツメ,0b00110101,X,X,"",X,"",X,50,12,12,0,420,19,Hit%,0,20,16,Attack,0,2,-1,None,0,0,-1,None,0,0,0x3651ec,100,"ガトーのツメをバルアの下級市民が加工した装飾品。
命中率を高めるとともに、攻撃力を少し上昇させる。"
173,狩人の手甲,0b00110101,X,X,"",X,"",X,50,13,13,0,1010,19,Hit%,0,40,16,Attack,0,4,-1,None,0,0,-1,None,0,0,0x365250,100,"モンテスマの男が狩りの時に利き手に装着する手甲。
命中率を高めるとともに、攻撃力を少し上昇させる。"
174,エルモのわっか,0b00111101,X,X,X,X,"",X,50,14,9,0,330,20,Dodge%,0,10,17,Defense,0,2,-1,None,0,0,-1,None,0,0,0x3652b4,96,"不思議な生命体エルモが持つ、銀色に輝くわっか。
回避率を高めるとともに、防御力を少し上昇させる。"
175,ケチャの羽根飾り,0b00111101,X,X,X,X,"",X,50,15,24,0,810,20,Dodge%,0,20,17,Defense,0,4,-1,None,0,0,-1,None,0,0,0x365314,96,"ケチャ神の大いなる加護を受けた美しい羽根飾り。
回避率を高めるとともに、防御力を少し上昇させる。"
176,ビゴロチョーカー,0b00100101,X,"","",X,"",X,50,17,48,0,2890,16,Attack,0,20,19,Hit%,0,30,-1,None,0,0,-1,None,0,0,0x365374,96,"自称ファッションリーダー・ビゴロのお気に入り。
命中率を高めるとともに、攻撃力を少し上昇させる。"
177,提督の肩章,0b00110111,X,X,"",X,X,X,50,18,40,0,1930,17,Defense,0,20,20,Dodge%,0,15,-1,None,0,0,-1,None,0,0,0x3653d4,100,"提督であることを示す肩章。その誇り高き精神により
回避率を高めるとともに、防御力を少し上昇させる。"
178,謎のゆび人形,0b00111001,X,X,X,"","",X,100,19,42,0,10,16,Attack,0,10,17,Defense,0,10,19,Hit%,0,20,20,Dodge%,0,10,0x365438,80,"不気味な姿をした、小さなゆび人形。
攻撃力、防御力、命中率、回避率が上昇する。"
179,古代の腕輪,0b00110101,X,X,"",X,"",X,100,20,27,0,10,16,Attack,0,20,17,Defense,0,20,19,Hit%,0,40,20,Dodge%,0,20,0x365488,92,"闘技場で戦う屈強な戦士が、かつて身につけた腕輪。
攻撃力、防御力、命中率、回避率が上昇する。"
180,反撃の腕輪,0b00110101,X,X,"",X,"",X,100,21,47,0,10,73,Counter%,0,20,16,Attack,0,20,19,Hit%,0,20,-1,None,0,0,0x3654e4,92,"腕にはめることで身体能力が少しだけ底上げされる。
反撃率だけでなく攻撃力と命中率が上昇する。"
