Entry ID,Magic EXP,PC1 ID,[PC1 Name],PC1 X,PC1 Z,PC2 ID,[PC2 Name],PC2 X,PC2 Z,PC3 ID,[PC3 Name],PC3 X,PC3 Z,PC4 ID,[PC4 Name],PC4 X,PC4 Z,EC1 ID,[EC1 JP Name],[EC1 US Name],EC1 X,EC1 Z,EC2 ID,[EC2 JP Name],[EC2 US Name],EC2 X,EC2 Z,EC3 ID,[EC3 JP Name],[EC3 US Name],EC3 X,EC3 Z,EC4 ID,[EC4 JP Name],[EC4 US Name],EC4 X,EC4 Z,EC5 ID,[EC5 JP Name],[EC5 US Name],EC5 X,EC5 Z,EC6 ID,[EC6 JP Name],[EC6 US Name],EC6 X,EC6 Z,EC7 ID,[EC7 JP Name],[EC7 US Name],EC7 X,EC7 Z,Initiative,Defeat Cond ID,[Defeat Cond Name],Escape Cond ID,[Escape Cond Name],BGM ID
0,1,0,Vyse,4,6,1,Aika,6,6,-1,None,-1,-1,-1,None,-1,-1,0,軍艦兵,Soldier,4,2,0,軍艦兵,Soldier,6,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,14,0,Must Not Lose,1,Must Not Escape,58
1,1,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,1,航行士,Guard,4,2,1,航行士,Guard,6,2,1,航行士,Guard,2,3,1,航行士,Guard,8,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,14,0,Must Not Lose,1,Must Not Escape,58
2,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,128,アントニオ,Antonio,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,18,1,May Try Again,1,Must Not Escape,60
3,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,129,アガタウマス,Sentinel,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,34,1,May Try Again,1,Must Not Escape,60
4,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,-1,None,-1,-1,130,イマゴタリア,Bleigock,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,48,1,May Try Again,1,Must Not Escape,60
5,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,-1,None,-1,-1,131,獄長,Executioner,4,2,7,煌術処刑士,Spell Warden,2,3,7,煌術処刑士,Spell Warden,8,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,50,1,May Try Again,1,Must Not Escape,60
6,0,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,132,ガルシアン,Galcian,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,52,0,Must Not Lose,1,Must Not Escape,61
7,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,警備士,Patrol Guard,5,3,72,警備士,Patrol Guard,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,52,0,Must Not Lose,0,May Escape,58
8,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,警備士,Patrol Guard,5,3,72,警備士,Patrol Guard,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,52,0,Must Not Lose,0,May Escape,58
9,2,0,Vyse,4,8,1,Aika,5,9,-1,None,-1,-1,-1,None,-1,-1,133,護送将兵,Royal Guard,4,3,133,護送将兵,Royal Guard,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,54,1,May Try Again,1,Must Not Escape,60
