Entry ID,[Location],Item ID,[Item Name],Item Amount
0,Pirate Isle Village,240,サプの葉,3
1,Pirate Isle Village,240,サプの葉,3
2,Pirate Isle Village,244,Ж樹の玉,2
3,Pirate Isle Underground,513,Gold,150
4,Pirate Isle Underground,258,月の実,1
5,Sailors' Island,514,Gold,200
6,Sailors' Island,490,修復材,3
7,Lower City,241,サプガンの葉,2
8,Lower City,258,月の実,1
9,Maramba,244,Ж樹の玉,3
10,Maramba,281,睡眠の小箱,1
11,Maramba,515,Gold,300
12,Maramba,258,月の実,1
13,Maramba,122,昔のナスル軍服,1
14,Maramba,184,カタマンナ石,1
15,Maramba,55,発掘アーム,1
16,Horteka,258,月の実,1
17,Horteka,275,回復の小箱,1
18,Horteka,260,パワワの種,1
19,Horteka,240,サプの葉,25
20,Nasrad,264,スピィの種,1
21,Deserted Island,258,月の実,1
22,Deserted Island,520,Gold,1827
23,Nasrad,258,月の実,1
24,Esparanza,258,月の実,1
25,Esparanza,87,バルアクルー服,3
26,Esparanza,522,Gold,2248
27,Yafutoma,258,月の実,1
28,Yafutoma,524,Gold,3000
29,Great Silver Shrine,131,シルバースーツ,1
30,Great Silver Shrine,258,月の実,1
31,Great Silver Shrine,258,月の実,1
32,Great Silver Shrine,131,シルバースーツ,1
33,Delphinus,258,月の実,1
34,Valuan Battle Ship,240,サプの葉,1
35,Valuan Battle Ship,240,サプの葉,2
36,Valuan Battle Ship,512,Gold,50
37,Valuan Battle Ship,244,Ж樹の玉,2
38,Shrine Island,240,サプの葉,2
39,Shrine Island,258,月の実,1
40,Shrine Island,241,サプガンの葉,2
41,Catacombs,267,炎の小箱,1
42,Catacombs,125,清掃ツナギ,1
43,Catacombs,249,キュアリン草,3
44,Catacombs,4,処刑のカトラス,1
45,Temple of Pyrynn,516,Gold,527
46,Temple of Pyrynn,126,副葬のローブ,1
47,Temple of Pyrynn,241,サプガンの葉,3
48,Temple of Pyrynn,25,舞踏のブーメラン,1
49,Temple of Pyrynn,517,Gold,774
50,Temple of Pyrynn,258,月の実,1
51,Temple of Pyrynn,244,Ж樹の玉,5
52,Temple of Pyrynn,283,伝説のパピルス,1
53,Moonstone Mountain,518,Gold,800
54,Moonstone Mountain,127,デ・ロッコの鎧,1
55,Moonstone Mountain,258,月の実,1
56,Moonstone Mountain,262,ストレの種,1
57,Moonstone Mountain,411,３インチ副砲改,1
58,Moonstone Mountain,54,デ式ドリル,1
59,Moonstone Mountain,249,キュアリン草,4
60,Moonstone Mountain,252,アパコンデ,4
61,Moonstone Mountain,254,リゲコンデ,2
62,Moonstone Mountain,253,クイコンデ,4
63,Rixis,56,ルインアーム,1
64,Rixis,284,伝説の石仮面,1
65,Rixis,136,フレアコート,1
66,Rixis,258,月の実,1
67,Rixis,261,ウィルの種,1
68,Rixis,519,Gold,1186
69,Rixis,243,サプヤクの葉,2
70,Rixis,10,大地のカトラス,1
71,Rixis,250,ライ雑草,3
72,Daccat's Island,243,サプヤクの葉,2
73,Daccat's Island,17,ガルウィング,1
74,Daccat's Island,521,Gold,2001
75,Daccat's Island,247,伝説のパズル,1
76,Daccat's Island,128,ダカットの服,1
77,Daccat's Island,244,Ж樹の玉,4
78,Daccat's Island,124,パーティドレス,2
79,Daccat's Island,245,Ж樹の大玉,1
80,Daccat's Island,258,月の実,1
81,Daccat's Island,258,月の実,1
82,Daccat's Island,250,ライ雑草,2
83,Daccat's Island,274,稲妻の小箱,1
84,Daccat's Island,265,ヒトポの種,1
85,Grand Fortress,248,伝説の階級章,1
86,Grand Fortress,258,月の実,1
87,Mount Kazai,256,伝説の雀牌,1
88,Mount Kazai,258,月の実,1
89,The Dark Rift,11,夢追いのカトラス,1
90,The Dark Rift,266,コジポの種,1
91,The Dark Rift,129,苔むしたコート,1
92,The Dark Rift,258,月の実,1
93,The Dark Rift,255,伝説のバイオリン,1
94,The Dark Rift,246,ガツガツのキノコ,1
95,The Dark Rift,523,Gold,2731
96,The Dark Rift,258,月の実,1
97,Glacia,19,フリーズカッター,1
98,Glacia,257,伝説のユタンポ,1
99,Glacia,62,アイスソード,1
100,Glacia,258,月の実,1
101,Glacia,258,月の実,1
102,Hydra,245,Ж樹の大玉,2
103,Dangral Island,525,Gold,4000
104,Dangral Island,258,月の実,1
105,Dangral Island,242,サプハネの葉,2
106,Hydra,409,Ｘ主砲,1
107,Dangral Island,60,ロイヤルソード,1
108,Hydra,243,サプヤクの葉,3
109,Hydra,258,月の実,1
110,Soltis,293,伝説を受け継ぐ器,1
111,Soltis,258,月の実,1
112,Soltis,258,月の実,1
113,Maw of Tartas,263,アジルの種,1
114,Maw of Tartas,258,月の実,1
115,Catacombs,240,サプの葉,4
116,Catacombs,244,Ж樹の玉,4
117,Yafutoma,243,サプヤクの葉,4
118,The Dark Rift,242,サプハネの葉,3
