Entry ID,[Filter],Year,Month,Day,Version
0,ME002X.SCT,2000,6,27,0
0,ME002Y.SCT,2000,6,27,0
0,ME002Z.SCT,2000,6,27,0
0,ME090A.SCT,2000,6,27,0
0,ME099E.SCT,2000,6,27,0
0,ME103X.SCT,2000,6,27,0
0,ME103Y.SCT,2000,6,27,0
0,ME199A.SCT,2000,6,27,0
0,ME199B.SCT,2000,6,27,0
0,ME199C.SCT,2000,6,27,0
0,ME199D.SCT,2000,6,27,0
0,ME199E.SCT,2000,6,27,0
0,ME199F.SCT,2000,6,27,0
0,ME199G.SCT,2000,6,27,0
0,ME199H.SCT,2000,6,27,0
0,ME202Z.SCT,2000,6,27,0
0,ME399A.SCT,2000,6,27,0
0,ME400X.SCT,2000,6,27,0
0,ME401X.SCT,2000,6,27,0
0,ME403X.SCT,2000,6,27,0
0,ME404X.SCT,2000,6,27,0
0,ME405X.SCT,2000,6,27,0
0,ME406X.SCT,2000,6,27,0
0,ME500A.SCT,2000,6,16,10
0,ME518A.SCT,2000,6,16,14
