Entry ID,[Filter],[Enemy Ship ID],[Enemy Ship Name],Unk.,Task Rating,Task A Type ID,[Task A Type Name],Task A Arm. ID,Task A Param. ID,[Task A Param. Name],Task A Arm. Range,Task B Type ID,[Task B Type Name],Task B Arm. ID,Task B Param. ID,[Task B Param. Name],Task B Arm. Range
0,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
1,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
2,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
3,R513A.BIN,35,ロック鳥,-1,0,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
4,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
5,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
6,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
7,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
8,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
9,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
10,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
11,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
12,R513A.BIN,35,ロック鳥,3,50,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
13,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
14,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
15,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
16,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
17,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
18,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
19,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
20,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
21,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
22,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
23,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
24,R513A.BIN,35,ロック鳥,3,50,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
25,R513A.BIN,35,ロック鳥,-1,0,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
26,R513A.BIN,35,ロック鳥,3,50,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
