Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value,[Str Data]
0,0x30,17,Shift_JIS,Lib Handle Start,"""Lib Handle Start"""
1,0x577c,44,Shift_JIS,\nntInf Ver 2.00 Build:Mar 31 1999 14:13:50\n,"""\nntInf Ver 2.00 Build:Mar 31 1999 14:13:50\n"""
2,0x5d88,5,Shift_JIS,SEGA,"""SEGA"""
3,0x358ea0,46,Shift_JIS,\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n,"""\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n"""
4,0x358ed0,3,Shift_JIS,rb,"""rb"""
5,0x358ee8,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER,"""CHUNK POF IS HEAP AREA OVER"""
6,0x358f04,24,Shift_JIS,Sound Driver Read Error,"""Sound Driver Read Error"""
7,0x358f1c,21,Shift_JIS,Sound Lib Init Error,"""Sound Lib Init Error"""
8,0x358f34,29,Shift_JIS,Sound Mem Block Create Error,"""Sound Mem Block Create Error"""
9,0x358f54,28,Shift_JIS,Sound Mem Block Param Error,"""Sound Mem Block Param Error"""
10,0x358f70,21,Shift_JIS,Sound Drv Init Error,"""Sound Drv Init Error"""
11,0x358f88,30,Shift_JIS,Sound Mem Block Destroy Error,"""Sound Mem Block Destroy Error"""
12,0x358fa8,21,Shift_JIS,MIDI PORT OPEN ERROR,"""MIDI PORT OPEN ERROR"""
13,0x358fc0,21,Shift_JIS,MIDI PORT STOP ERROR,"""MIDI PORT STOP ERROR"""
14,0x358fd8,22,Shift_JIS,MIDI PORT RESET ERROR,"""MIDI PORT RESET ERROR"""
15,0x358ff0,28,Shift_JIS,Sound sdSysSetSlotMax Error,"""Sound sdSysSetSlotMax Error"""
16,0x35900c,26,Shift_JIS,Sound MLT Down Load Error,"""Sound MLT Down Load Error"""
17,0x359028,5,Shift_JIS,SMSB,"""SMSB"""
18,0x359030,5,Shift_JIS,SMPB,"""SMPB"""
19,0x359038,23,Shift_JIS,MLT File Is Illegal %s,"""MLT File Is Illegal %s"""
20,0x359050,32,Shift_JIS,Sound Bank Data Down Load Error,"""Sound Bank Data Down Load Error"""
21,0x359070,19,Shift_JIS,Sound Fx Set Error,"""Sound Fx Set Error"""
22,0x359084,20,Shift_JIS,Sound Nim Drv Error,"""Sound Nim Drv Error"""
23,0x359098,9,Shift_JIS,Drv Busy,"""Drv Busy"""
24,0x3590a4,24,Shift_JIS,MIDI RELEASE MODE ERROR,"""MIDI RELEASE MODE ERROR"""
25,0x3590bc,23,Shift_JIS,Sound SHOT Close Error,"""Sound SHOT Close Error"""
26,0x3590d4,22,Shift_JIS,Sound PCM Close Error,"""Sound PCM Close Error"""
27,0x3590ec,13,Shift_JIS,Bank 0 Error,"""Bank 0 Error"""
28,0x3590fc,23,Shift_JIS,Sound Get Status Error,"""Sound Get Status Error"""
29,0x359114,27,Shift_JIS,Sound Midi Reset Prm Error,"""Sound Midi Reset Prm Error"""
30,0x359130,27,Shift_JIS,Sound Shot Reset Prm Error,"""Sound Shot Reset Prm Error"""
31,0x35914c,26,Shift_JIS,Sound PCM Reset Prm Error,"""Sound PCM Reset Prm Error"""
32,0x359168,17,Shift_JIS,Sound Play Error,"""Sound Play Error"""
33,0x35917c,11,Shift_JIS,Bank Error,"""Bank Error"""
34,0x359188,26,Shift_JIS,Sound PCM Down Load Error,"""Sound PCM Down Load Error"""
35,0x3591a4,23,Shift_JIS,Sound Pcm Status Error,"""Sound Pcm Status Error"""
36,0x3591bc,21,Shift_JIS,Sound Pcm Play Error,"""Sound Pcm Play Error"""
37,0x3591d4,23,Shift_JIS,Sound MIDI Pause Error,"""Sound MIDI Pause Error"""
38,0x3591ec,22,Shift_JIS,Sound MIDI Fade Error,"""Sound MIDI Fade Error"""
39,0x359204,22,Shift_JIS,Sound SHOT Fade Error,"""Sound SHOT Fade Error"""
40,0x35921c,26,Shift_JIS,Sound PCM Fade Error Left,"""Sound PCM Fade Error Left"""
41,0x359238,27,Shift_JIS,Sound PCM Fade Error Right,"""Sound PCM Fade Error Right"""
42,0x359254,8,Shift_JIS,\\sound\\,"""\\sound\\"""
43,0x35925c,25,Shift_JIS,MLT FAST HANDLE IS EMPTY,"""MLT FAST HANDLE IS EMPTY"""
44,0x359278,22,Shift_JIS,MLT FAST HANDLE ERROR,"""MLT FAST HANDLE ERROR"""
45,0x359290,3,Shift_JIS,%s,"""%s"""
46,0x359294,5,Shift_JIS,GAME,"""GAME"""
47,0x35929d,7,Shift_JIS,CAMERA,"""CAMERA"""
48,0x3592a6,8,Shift_JIS,LIGHT 0,"""LIGHT 0"""
49,0x3592af,8,Shift_JIS,LIGHT 1,"""LIGHT 1"""
50,0x3592b8,8,Shift_JIS,LIGHT 2,"""LIGHT 2"""
51,0x3592c1,9,Shift_JIS,MURABITO,"""MURABITO"""
52,0x3592cc,15,Shift_JIS,DEBUG MODE   -,"""DEBUG MODE   -"""
53,0x3592dc,15,Shift_JIS,Calc Vertex  -,"""Calc Vertex  -"""
54,0x3592ec,15,Shift_JIS,Calc Polygon -,"""Calc Polygon -"""
55,0x3592fc,15,Shift_JIS,Draw Polygon -,"""Draw Polygon -"""
56,0x35930c,15,Shift_JIS,FPS          -,"""FPS          -"""
57,0x35931c,15,Shift_JIS,TEXTURE      -,"""TEXTURE      -"""
58,0x35932c,15,Shift_JIS,VIEW POS     -,"""VIEW POS     -"""
59,0x35933c,15,Shift_JIS,PURSUIT POS  -,"""PURSUIT POS  -"""
60,0x35934c,15,Shift_JIS,VIEW ANG     -,"""VIEW ANG     -"""
61,0x35935c,15,Shift_JIS,PURSUIT ANG  -,"""PURSUIT ANG  -"""
62,0x35936c,15,Shift_JIS,DISTANCE     -,"""DISTANCE     -"""
63,0x35937c,15,Shift_JIS,PERS         -,"""PERS         -"""
64,0x35938c,15,Shift_JIS,LIGHT NUM    -,"""LIGHT NUM    -"""
65,0x35939c,15,Shift_JIS,LIGHT POS    -,"""LIGHT POS    -"""
66,0x3593ac,15,Shift_JIS,LIGHT VECTOR -,"""LIGHT VECTOR -"""
67,0x3593bc,15,Shift_JIS,AMBIENT      -,"""AMBIENT      -"""
68,0x3593cc,15,Shift_JIS,DEFFUSE      -,"""DEFFUSE      -"""
69,0x3593dc,15,Shift_JIS,SPECULAR     -,"""SPECULAR     -"""
70,0x3593ec,19,Shift_JIS,UP    - PLAYER Z +,"""UP    - PLAYER Z +"""
71,0x359400,19,Shift_JIS,DOWN  - PLAYER Z -,"""DOWN  - PLAYER Z -"""
72,0x359414,19,Shift_JIS,LEFT  - PLAYER X +,"""LEFT  - PLAYER X +"""
73,0x359428,19,Shift_JIS,RIGHT - PLAYER X -,"""RIGHT - PLAYER X -"""
74,0x35943c,27,Shift_JIS,L BTN - VIEW 45 LEFT  TURN,"""L BTN - VIEW 45 LEFT  TURN"""
75,0x359458,27,Shift_JIS,R BTN - VIEW 45 RIGHT TURN,"""R BTN - VIEW 45 RIGHT TURN"""
76,0x359474,25,Shift_JIS,X BTN - VIEW MODE CHANGE,"""X BTN - VIEW MODE CHANGE"""
77,0x359490,30,Shift_JIS,Y BTN - DEBUG INDICATE SWITCH,"""Y BTN - DEBUG INDICATE SWITCH"""
78,0x3594b0,26,Shift_JIS,Z BTN - DEBUG MODE CHANGE,"""Z BTN - DEBUG MODE CHANGE"""
79,0x3594cc,23,Shift_JIS,START - DUNGEON CHANGE,"""START - DUNGEON CHANGE"""
80,0x3594e4,23,Shift_JIS,UP    - PLAYER ADVANCE,"""UP    - PLAYER ADVANCE"""
81,0x3594fc,25,Shift_JIS,LEFT  - PLAYER TURN LEFT,"""LEFT  - PLAYER TURN LEFT"""
82,0x359518,26,Shift_JIS,RIGHT - PLAYER TURN RIGHT,"""RIGHT - PLAYER TURN RIGHT"""
83,0x359534,25,Shift_JIS,L BTN - VIEW MODE CHANGE,"""L BTN - VIEW MODE CHANGE"""
84,0x359550,17,Shift_JIS,UP    - X ROLL -,"""UP    - X ROLL -"""
85,0x359564,17,Shift_JIS,DOWN  - X ROLL +,"""DOWN  - X ROLL +"""
86,0x359578,17,Shift_JIS,LEFT  - Y ROLL -,"""LEFT  - Y ROLL -"""
87,0x35958c,17,Shift_JIS,RIGHT - Y ROLL +,"""RIGHT - Y ROLL +"""
88,0x3595a0,17,Shift_JIS,L BTN - PERS FAR,"""L BTN - PERS FAR"""
89,0x3595b4,18,Shift_JIS,R BTN - PERS NEAR,"""R BTN - PERS NEAR"""
90,0x3595c8,22,Shift_JIS,A BTN - DISTANCE NEAR,"""A BTN - DISTANCE NEAR"""
91,0x3595e0,21,Shift_JIS,X BTN - DISTANCE FAR,"""X BTN - DISTANCE FAR"""
92,0x3595f8,12,Shift_JIS,Y BTN - Y +,"""Y BTN - Y +"""
93,0x359604,12,Shift_JIS,B BTN - Y -,"""B BTN - Y -"""
94,0x359610,13,Shift_JIS,START - EXIT,"""START - EXIT"""
95,0x359620,12,Shift_JIS,UP    - Z +,"""UP    - Z +"""
96,0x35962c,12,Shift_JIS,DOWN  - Z -,"""DOWN  - Z -"""
97,0x359638,12,Shift_JIS,LEFT  - X +,"""LEFT  - X +"""
98,0x359644,12,Shift_JIS,RIGHT - X -,"""RIGHT - X -"""
99,0x359650,17,Shift_JIS,L BTN - Y ROLL +,"""L BTN - Y ROLL +"""
100,0x359664,17,Shift_JIS,R BTN - Y ROLL -,"""R BTN - Y ROLL -"""
101,0x359678,17,Shift_JIS,X BTN - X ROLL +,"""X BTN - X ROLL +"""
102,0x35968c,17,Shift_JIS,A BTN - X ROLL -,"""A BTN - X ROLL -"""
103,0x3596a0,19,Shift_JIS,Z BTN - RESET VIEW,"""Z BTN - RESET VIEW"""
104,0x3596b4,12,Shift_JIS,UP    - Z -,"""UP    - Z -"""
105,0x3596c0,12,Shift_JIS,DOWN  - Z +,"""DOWN  - Z +"""
106,0x3596cc,12,Shift_JIS,LEFT  - X -,"""LEFT  - X -"""
107,0x3596d8,12,Shift_JIS,RIGHT - X +,"""RIGHT - X +"""
108,0x3596e4,18,Shift_JIS,UP    - LIGHT Z +,"""UP    - LIGHT Z +"""
109,0x3596f8,18,Shift_JIS,DOWN  - LIGHT Z -,"""DOWN  - LIGHT Z -"""
110,0x35970c,18,Shift_JIS,LEFT  - LIGHT X +,"""LEFT  - LIGHT X +"""
111,0x359720,18,Shift_JIS,RIGHT - LIGHT X -,"""RIGHT - LIGHT X -"""
112,0x359734,18,Shift_JIS,R BTN - LIGHT Y +,"""R BTN - LIGHT Y +"""
113,0x359748,18,Shift_JIS,L BTN - LIGHT Y -,"""L BTN - LIGHT Y -"""
114,0x35975c,19,Shift_JIS,A BTN - AMBIENT UP,"""A BTN - AMBIENT UP"""
115,0x359770,19,Shift_JIS,B BTN - DEFFUSE UP,"""B BTN - DEFFUSE UP"""
116,0x359784,17,Shift_JIS,C BTN - SPECULAR,"""C BTN - SPECULAR"""
117,0x359798,21,Shift_JIS,X BTN - LIGHT SWITCH,"""X BTN - LIGHT SWITCH"""
118,0x3597b0,34,Shift_JIS,(L BTN)+(R BTN) - DELETE MURABITO,"""(L BTN)+(R BTN) - DELETE MURABITO"""
119,0x3597d4,22,Shift_JIS,A BTN - SET MUARABITO,"""A BTN - SET MUARABITO"""
120,0x3597ec,4,Shift_JIS,%1d,"""%1d"""
121,0x3597f0,6,Shift_JIS,%3.2f,"""%3.2f"""
122,0x3597f8,4,Shift_JIS,%3d,"""%3d"""
123,0x3597fc,15,Shift_JIS,INFOMATION ON ,"""INFOMATION ON """
124,0x35980c,13,Shift_JIS,STAGE SELECT,"""STAGE SELECT"""
125,0x35981c,10,Shift_JIS,GAME MODE,"""GAME MODE"""
126,0x359828,12,Shift_JIS,CAMERA MODE,"""CAMERA MODE"""
127,0x359834,11,Shift_JIS,LIGHT MODE,"""LIGHT MODE"""
128,0x359840,9,Shift_JIS,FOG MENU,"""FOG MENU"""
129,0x35984c,13,Shift_JIS,START = EXIT,"""START = EXIT"""
130,0x35985c,14,Shift_JIS,CAMERA MODE 0,"""CAMERA MODE 0"""
131,0x35986c,12,Shift_JIS,PURSUIT INF,"""PURSUIT INF"""
132,0x359878,9,Shift_JIS,VIEW INF,"""VIEW INF"""
133,0x359884,10,Shift_JIS,ALL RESET,"""ALL RESET"""
134,0x359890,8,Shift_JIS,FOG OFF,"""FOG OFF"""
135,0x359898,16,Shift_JIS,NEAR    -1.0000,"""NEAR    -1.0000"""
136,0x3598a8,16,Shift_JIS,FAR   -100.0000,"""FAR   -100.0000"""
137,0x3598b8,12,Shift_JIS,RED     255,"""RED     255"""
138,0x3598c4,12,Shift_JIS,GREEN   255,"""GREEN   255"""
139,0x3598d0,12,Shift_JIS,BULE    255,"""BULE    255"""
140,0x3598dc,16,Shift_JIS,\\sound\\m04s.p16,"""\\sound\\m04s.p16"""
141,0x359944,15,Shift_JIS,\\ending\\sr.mll,"""\\ending\\sr.mll"""
142,0x359954,17,Shift_JIS,\\ending\\srok.mll,"""\\ending\\srok.mll"""
143,0x359968,18,Shift_JIS,\\ending\\staff.mld,"""\\ending\\staff.mld"""
144,0x359e54,10,Shift_JIS,FADE BUSY,"""FADE BUSY"""
145,0x359e60,25,Shift_JIS,Call Back Hooking Failed,"""Call Back Hooking Failed"""
146,0x359e7c,24,Shift_JIS,Call Back Delete Failed,"""Call Back Delete Failed"""
147,0x359e94,32,Shift_JIS,FioInit Error (memory allocate),"""FioInit Error (memory allocate)"""
148,0x359eb4,36,Shift_JIS,FioOpen Error (memory allocate): %s,"""FioOpen Error (memory allocate): %s"""
149,0x359ed8,18,Shift_JIS,FioOpen Error: %s,"""FioOpen Error: %s"""
150,0x359eec,33,Shift_JIS,FioOpen Error (File Size): %s %d,"""FioOpen Error (File Size): %s %d"""
151,0x359f10,35,Shift_JIS,FioReadReq Error (memory allocate),"""FioReadReq Error (memory allocate)"""
152,0x359f34,8,Shift_JIS,a299a01,"""a299a01"""
