Entry ID,Pad 1,US SOT Pos,[US Descr Pos],[US Descr Size],US Descr Str,Item 1 ID,[Item 1 Name],Item 2 ID,[Item 2 Name],Item 3 ID,[Item 3 Name],Item 4 ID,[Item 4 Name],Item 5 ID,[Item 5 Name],Item 6 ID,[Item 6 Name],Item 7 ID,[Item 7 Name],Item 8 ID,[Item 8 Name],Item 9 ID,[Item 9 Name],Item 10 ID,[Item 10 Name],Item 11 ID,[Item 11 Name],Item 12 ID,[Item 12 Name],Item 13 ID,[Item 13 Name],Item 14 ID,[Item 14 Name],Item 15 ID,[Item 15 Name],Item 16 ID,[Item 16 Name],Item 17 ID,[Item 17 Name],Item 18 ID,[Item 18 Name],Item 19 ID,[Item 19 Name],Item 20 ID,[Item 20 Name],Item 21 ID,[Item 21 Name],Item 22 ID,[Item 22 Name],Item 23 ID,[Item 23 Name],Item 24 ID,[Item 24 Name],Item 25 ID,[Item 25 Name],Item 26 ID,[Item 26 Name],Item 27 ID,[Item 27 Name],Item 28 ID,[Item 28 Name],Item 29 ID,[Item 29 Name],Item 30 ID,[Item 30 Name],Item 31 ID,[Item 31 Name],Item 32 ID,[Item 32 Name],Item 33 ID,[Item 33 Name],Item 34 ID,[Item 34 Name],Item 35 ID,[Item 35 Name],Item 36 ID,[Item 36 Name],Item 37 ID,[Item 37 Name],Item 38 ID,[Item 38 Name],Item 39 ID,[Item 39 Name],Item 40 ID,[Item 40 Name],Item 41 ID,[Item 41 Name],Item 42 ID,[Item 42 Name],Item 43 ID,[Item 43 Name],Item 44 ID,[Item 44 Name],Item 45 ID,[Item 45 Name],Item 46 ID,[Item 46 Name],Item 47 ID,[Item 47 Name],Item 48 ID,[Item 48 Name]
0,0,0x8c38cb7c,0x37cb7c,16,ピュウの武器屋,1,空賊のカトラス,20,革のブーメラン,86,もめんのローブ,87,バルアクルー服,162,木彫の指輪,170,マロッカの甲羅,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
1,0,0x8c38cb8c,0x37cb8c,16,リリィの道具屋,240,サプの葉,244,Ж樹の玉,249,キュアリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
2,0,0x8c38cb9c,0x37cb9c,20,ボニータの道具屋,240,サプの葉,244,Ж樹の玉,249,キュアリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
3,0,0x8c38cb9c,0x37cb9c,20,ボニータの道具屋,240,サプの葉,241,サプガンの葉,244,Ж樹の玉,249,キュアリン草,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
4,0,0x8c38cb9c,0x37cb9c,20,ボニータの道具屋,240,サプの葉,241,サプガンの葉,242,サプハネの葉,243,サプヤクの葉,244,Ж樹の玉,245,Ж樹の大玉,249,キュアリン草,250,ライ雑草,252,アパコンデ,253,クイコンデ,254,リゲコンデ,290,チョム,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
5,0,0x8c38cb9c,0x37cb9c,20,ボニータの道具屋,240,サプの葉,241,サプガンの葉,242,サプハネの葉,243,サプヤクの葉,244,Ж樹の玉,245,Ж樹の大玉,249,キュアリン草,250,ライ雑草,251,ライゾリン草,252,アパコンデ,253,クイコンデ,254,リゲコンデ,290,チョム,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
6,0,0x8c38cbb0,0x37cbb0,20,船装備の店ザック,401,汎主砲,410,３インチ副砲,450,エンジンカバー,460,装甲板,480,爆弾,490,修復材,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
7,0,0x8c38cbb0,0x37cbb0,20,船装備の店ザック,409,Ｘ主砲,435,バーンキャノン,463,複合装甲板,498,アポスワックス,499,クイッカワックス,493,完全修復材,401,汎主砲,410,３インチ副砲,450,エンジンカバー,460,装甲板,480,爆弾,490,修復材,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
8,0,0x8c38cbc4,0x37cbc4,20,バスコスの武器屋,2,スカイカトラス,49,カギ爪,88,船乗りの服,89,ノースリーブ,160,ストーンリング,168,セベスクのうろこ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
9,0,0x8c38cbc4,0x37cbc4,20,バスコスの武器屋,18,船乗りの投刃,53,パロットアーム,91,全身ゴムタイツ,92,旅立ちの服,172,ガトーのツメ,174,エルモのわっか,2,スカイカトラス,49,カギ爪,88,船乗りの服,89,ノースリーブ,160,ストーンリング,168,セベスクのうろこ,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
