Entry ID,[Filter],[EC ID],[EC JP Name],[EC US Name],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
1,*,0,軍艦兵,Soldier,0,Branch,21,Rating 10%,3,Go to 3
2,*,0,軍艦兵,Soldier,1,Action,550,Attack,2,Random PC
3,*,0,軍艦兵,Soldier,1,Action,551,Guard,-1,None
1,*,1,航行士,Guard,0,Branch,42,Used Sacri Crystals ≥ 1,3,Go to 3
2,*,1,航行士,Guard,0,Branch,39,Any EC HP < 25%,5,Go to 5
3,*,1,航行士,Guard,0,Branch,29,Rating 90%,6,Go to 6
4,*,1,航行士,Guard,0,Branch,30,Always,8,Go to 8
5,*,1,航行士,Guard,0,Branch,25,Rating 50%,7,Go to 7
6,*,1,航行士,Guard,1,Action,550,Attack,2,Random PC
7,*,1,航行士,Guard,1,Action,79,Sacri Crystal,7,EC w/ Least HP
8,*,1,航行士,Guard,1,Action,551,Guard,-1,None
1,ecinit001.dat,1,警備兵,Guard,1,Action,550,Attack,2,Random PC
1,*,2,ミクラステル,Seeker,0,Branch,45,1st PC ΔLevel > 7,3,Go to 3
2,*,2,ミクラステル,Seeker,0,Branch,30,Always,4,Go to 4
3,*,2,ミクラステル,Seeker,0,Branch,28,Rating 80%,11,Go to 11
4,*,2,ミクラステル,Seeker,0,Branch,44,1st PC ΔLevel > 3,6,Go to 6
5,*,2,ミクラステル,Seeker,0,Branch,30,Always,7,Go to 7
6,*,2,ミクラステル,Seeker,0,Branch,24,Rating 40%,11,Go to 11
7,*,2,ミクラステル,Seeker,0,Branch,50,Used S-Move Last Turn?,9,Go to 9
8,*,2,ミクラステル,Seeker,0,Branch,24,Rating 40%,10,Go to 10
9,*,2,ミクラステル,Seeker,1,Action,550,Attack,2,Random PC
10,*,2,ミクラステル,Seeker,1,Action,4,Laser,2,Random PC
11,*,2,ミクラステル,Seeker,1,Action,552,Run,-1,None
1,ecinit002.dat,2,ミクラステル,Seeker,0,Branch,24,Rating 40%,3,Go to 3
2,ecinit002.dat,2,ミクラステル,Seeker,1,Action,550,Attack,1,Same PC
3,ecinit002.dat,2,ミクラステル,Seeker,1,Action,4,Laser,0,Random PC
1,*,3,マロッカ,Marocca,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,3,マロッカ,Marocca,0,Branch,30,Always,4,Go to 4
3,*,3,マロッカ,Marocca,0,Branch,26,Rating 60%,8,Go to 8
4,*,3,マロッカ,Marocca,0,Branch,1,HP < 50%,7,Go to 7
5,*,3,マロッカ,Marocca,0,Branch,28,Rating 80%,7,Go to 7
6,*,3,マロッカ,Marocca,1,Action,551,Guard,-1,None
7,*,3,マロッカ,Marocca,1,Action,550,Attack,1,Same PC
8,*,3,マロッカ,Marocca,1,Action,552,Run,-1,None
1,ecinit003.dat,3,マロッカ,Marocca,0,Branch,1,HP < 50%,4,Go to 4
2,ecinit003.dat,3,マロッカ,Marocca,0,Branch,28,Rating 80%,4,Go to 4
3,ecinit003.dat,3,マロッカ,Marocca,1,Action,551,Guard,-1,None
4,ecinit003.dat,3,マロッカ,Marocca,1,Action,550,Attack,1,Same PC
1,*,4,アーアペプ,Grouder,0,Branch,33,Used Attack Spells ≥ 1,3,Go to 3
2,*,4,アーアペプ,Grouder,0,Branch,22,Rating 20%,10,Go to 10
3,*,4,アーアペプ,Grouder,0,Branch,36,Used State Spells ≥ 2,5,Go to 5
4,*,4,アーアペプ,Grouder,0,Branch,22,Rating 20%,9,Go to 9
5,*,4,アーアペプ,Grouder,0,Branch,23,Rating 30%,11,Go to 11
6,*,4,アーアペプ,Grouder,0,Branch,22,Rating 20%,8,Go to 8
7,*,4,アーアペプ,Grouder,1,Action,550,Attack,2,Random PC
8,*,4,アーアペプ,Grouder,1,Action,551,Guard,-1,None
9,*,4,アーアペプ,Grouder,1,Action,503,Panika,14,PC w/o Confusion
10,*,4,アーアペプ,Grouder,1,Action,520,Wevli,2,Random PC
11,*,4,アーアペプ,Grouder,1,Action,57,Eerie Wail,2,Random PC
1,ecinit004.dat,4,アーアペプ,Grouder,0,Branch,25,Rating 50%,7,Go to 7
2,ecinit004.dat,4,アーアペプ,Grouder,0,Branch,25,Rating 50%,8,Go to 8
3,ecinit004.dat,4,アーアペプ,Grouder,0,Branch,33,Used Attack Spells ≥ 1,5,Go to 5
4,ecinit004.dat,4,アーアペプ,Grouder,0,Branch,30,Always,9,Go to 9
5,ecinit004.dat,4,アーアペプ,Grouder,0,Branch,25,Rating 50%,10,Go to 10
6,ecinit004.dat,4,アーアペプ,Grouder,0,Branch,30,Always,9,Go to 9
7,ecinit004.dat,4,アーアペプ,Grouder,1,Action,550,Attack,2,Random PC
8,ecinit004.dat,4,アーアペプ,Grouder,1,Action,57,Eerie Wail,2,Random PC
