Entry ID,[Filter],[PC ID],[PC Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Blend Time,Play Rate
0,ma000.std,0,Vyse,2,Idle 1,1,8,0,Idle 1,0b10010000101100000000000000000000,-1,None,0,5.00,1.00
1,ma000.std,0,Vyse,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000101000000000000000000000,-1,None,1,5.00,1.00
2,ma000.std,0,Vyse,6,Approach,1,8,2,Approach,0b10000001001000000000000000000000,-1,None,0,5.00,1.20
3,ma000.std,0,Vyse,4,Close Attack,1,8,3,Close Attack,0b10001010001000000000000000000000,-1,None,0,5.10,1.00
4,ma000.std,0,Vyse,8,Critical Attack,1,8,4,Critical Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
5,ma000.std,0,Vyse,9,Take Damage 1,1,11,5,Take Damage 1,0b10000000000000000000000000000000,-1,None,0,0.00,1.00
6,ma000.std,0,Vyse,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010001000000000000000000000,-1,None,0,0.10,1.00
7,ma000.std,0,Vyse,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,ma000.std,0,Vyse,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
9,ma000.std,0,Vyse,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,15,0.00,1.00
10,ma000.std,0,Vyse,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,ma000.std,0,Vyse,14,Defeat,1,8,11,Defeat,0b10011000000000000000000000000000,-1,None,0,5.00,1.00
12,ma000.std,0,Vyse,15,Revive,1,8,12,Revive,0b10011010001000000000000000000000,-1,None,4,0.10,1.00
13,ma000.std,0,Vyse,17,Focus,1,8,13,Focus,0b10011000000010000000000000000000,-1,None,0,5.00,1.00
14,ma000.std,0,Vyse,19,Withdraw,1,8,14,Widthdraw,0b10000001000000000000000000000000,-1,None,15,5.00,1.00
15,ma000.std,0,Vyse,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
16,ma000.std,0,Vyse,21,Cast Magic,1,8,16,Magic,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
17,ma000.std,0,Vyse,26,Victory 1,1,8,17,Victory 1,0b10011000000010000000000000000000,-1,None,0,5.00,1.00
18,ma000.std,0,Vyse,27,Victory 2,1,8,18,Victory 2,0b10011000000010000000000000000000,-1,None,0,5.00,1.00
19,ma000.std,0,Vyse,28,Victory 3 (Injured),1,8,19,Victory 3 (Injured),0b10011000000010000000000000000000,-1,None,0,0.10,1.00
20,ma000.std,0,Vyse,16,Use Item 1,1,8,20,Use Item 1,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
21,ma000.std,0,Vyse,32,Knockdown,1,10,21,Knockdown,0b10001010001000000000000000000000,-1,None,0,0.00,1.00
22,ma000.std,0,Vyse,23,Use Item 2,1,8,20,Use Item 1,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
23,ma000.std,0,Vyse,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,0,Increm,0,5.00,1.00
24,ma000.std,0,Vyse,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,1,Incremus,0,5.00,1.00
25,ma000.std,0,Vyse,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,2,Sylenis,0,5.00,1.00
26,ma000.std,0,Vyse,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,3,Panika,0,5.00,1.00
27,ma000.std,0,Vyse,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,4,Driln,0,5.00,1.00
28,ma000.std,0,Vyse,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,5,Drilnos,0,5.00,1.00
29,ma000.std,0,Vyse,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,6,Sacri,0,5.00,1.00
