Entry ID,Entry US Name,Rating,Regular Atk,S-Move Atk,Dodge%,Run%
0,Vyse the Ninny,5,0,0,50,200
1,Vyse the Coward,95,-1,-1,1,10
2,Vyse the Unimpressive,105,0,0,0,0
3,Vyse the Blue Rogue,115,1,1,-1,-1
4,Vyse the Competent,125,1,1,-1,-1
5,Vyse the Determined,135,1,1,-1,-1
6,Vyse the Respected,145,1,1,-1,-1
7,Vyse the Admirable,155,2,2,-2,-2
8,Vyse the Bold,165,2,2,-2,-2
9,Vyse the Valiant,175,2,2,-2,-2
10,Vyse the Daring,185,2,2,-2,-2
11,Vyse the Dashing,195,3,3,-3,-3
12,Vyse the Fearless,205,3,3,-3,-3
13,Vyse the Hero,215,3,3,-3,-3
14,"Vyse, King of Rogues",225,3,3,-3,-3
15,Vyse the Legend,250,4,4,4,4
16,Vyse the Bounty King,250,4,3,-4,-10
17,Exploration King Vyse,250,3,3,0,-3
18,Sky Battle King Vyse,250,3,3,-3,-3
19,Vyse the Fisher King,250,3,3,-3,-3
20,Vyse the Battle Lord,250,4,3,-3,-3
21,Vyse the Extravagant,250,2,2,-2,-2
22,Vyse the Charismatic,250,3,3,-3,-3
23,Vyse the Fallen Pirate,0,-2,-2,-2,200
