Entry ID,[Filter],[EC ID],[JP EC Name],Type ID,[Type Name],Task ID,[Task Name],Param ID,[Param Name]
1,*,0,軍艦兵,0,Branch,21,Rating 10%,3,Go to 3
2,*,0,軍艦兵,1,Action,550,Attack,2,Random PC
3,*,0,軍艦兵,1,Action,551,Guard,-1,None
1,*,1,航行士,0,Branch,42,Used Sacri Crystals ≥ 1,6,Go to 6
2,*,1,航行士,0,Branch,39,Any EC HP < 25%,5,Go to 5
3,*,1,航行士,0,Branch,29,Rating 90%,6,Go to 6
4,*,1,航行士,0,Branch,30,Always,8,Go to 8
5,*,1,航行士,0,Branch,25,Rating 50%,7,Go to 7
6,*,1,航行士,1,Action,550,Attack,2,Random PC
7,*,1,航行士,1,Action,79,薬草,7,EC w/ Least HP
8,*,1,航行士,1,Action,551,Guard,-1,None
1,*,2,ミクラステル,0,Branch,45,1st PC ΔLevel > 7,3,Go to 3
2,*,2,ミクラステル,0,Branch,30,Always,4,Go to 4
3,*,2,ミクラステル,0,Branch,28,Rating 80%,10,Go to 10
4,*,2,ミクラステル,0,Branch,44,1st PC ΔLevel > 3,6,Go to 6
5,*,2,ミクラステル,0,Branch,30,Always,7,Go to 7
6,*,2,ミクラステル,0,Branch,24,Rating 40%,10,Go to 10
7,*,2,ミクラステル,0,Branch,24,Rating 40%,9,Go to 9
8,*,2,ミクラステル,1,Action,550,Attack,1,Same PC
9,*,2,ミクラステル,1,Action,4,レーザー,0,Random PC
10,*,2,ミクラステル,1,Action,552,Run,-1,None
1,*,3,マロッカ,0,Branch,44,1st PC ΔLevel > 3,3,Go to 3
2,*,3,マロッカ,0,Branch,30,Always,4,Go to 4
3,*,3,マロッカ,0,Branch,26,Rating 60%,8,Go to 8
4,*,3,マロッカ,0,Branch,1,HP < 50%,7,Go to 7
5,*,3,マロッカ,0,Branch,28,Rating 80%,7,Go to 7
6,*,3,マロッカ,1,Action,551,Guard,-1,None
7,*,3,マロッカ,1,Action,550,Attack,1,Same PC
8,*,3,マロッカ,1,Action,552,Run,-1,None
1,*,4,アーアペプ,0,Branch,33,Used Attack Spells ≥ 1,3,Go to 3
2,*,4,アーアペプ,0,Branch,22,Rating 20%,10,Go to 10
3,*,4,アーアペプ,0,Branch,36,Used State Spells ≥ 2,5,Go to 5
4,*,4,アーアペプ,0,Branch,22,Rating 20%,9,Go to 9
5,*,4,アーアペプ,0,Branch,23,Rating 30%,11,Go to 11
6,*,4,アーアペプ,0,Branch,22,Rating 20%,8,Go to 8
7,*,4,アーアペプ,1,Action,550,Attack,2,Random PC
8,*,4,アーアペプ,1,Action,551,Guard,-1,None
9,*,4,アーアペプ,1,Action,503,パニカ,14,PC w/o Confusion
10,*,4,アーアペプ,1,Action,520,ウェイバ,2,Random PC
11,*,4,アーアペプ,1,Action,57,怪音波,2,Random PC
1,*,7,煌術処刑士,0,Branch,17,ECs Alive = 1,19,Go to 19
2,*,7,煌術処刑士,0,Branch,35,Used State Spells ≥ 1,9,Go to 9
3,*,7,煌術処刑士,0,Branch,40,Used Gather Strength?,20,Go to 20
