Entry ID,JP Entry Name,Pad 1,Pad 2,Pad 3,Buy,Pad 4,Pad 5,Sell%,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Ord by 123,JP Ord by ABC,Pad 6,Ship Eff Base,Unk 1,Unk 2,Unk 3,Unk 4,Unk 5,Unk 6
480,Ж石弾,0,0,0,100,0,0,50,0x1,"","",X,128,???,0,100,0,0,0,280,6,0,0,0,0,0
481,鋼Ж石弾,0,0,0,150,0,0,50,0x1,"","",X,128,???,0,100,1,1,0,300,2,1,-1,-1,-2,-1
482,精Ж石弾,0,0,0,200,0,0,50,0x1,"","",X,128,???,0,100,2,2,0,400,6,0,0,0,0,0
483,重Ж石弾,0,0,0,250,0,0,50,0x1,"","",X,128,???,0,100,3,3,0,400,3,1,0,0,0,0
484,炎術Ж石弾,0,0,0,280,0,0,50,0x1,"","",X,128,???,0,100,4,4,0,450,4,1,0,0,0,0
485,氷術Ж石弾,0,0,0,300,0,0,50,0x1,"","",X,128,???,0,100,5,5,0,450,5,1,0,0,0,0
486,封術Ж石弾,0,0,0,350,0,0,50,0x1,"","",X,128,???,0,100,6,6,0,2000,1,-1,-1,-1,-2,-1
487,雷術Ж石弾,0,0,0,400,0,0,50,0x1,"","",X,128,???,0,100,7,7,0,3000,1,-1,0,0,0,0
488,降術Ж石弾,0,0,0,450,0,0,50,0x1,"","",X,128,???,0,100,8,8,0,4000,1,-1,0,0,0,0
489,波術Ж石弾,0,0,0,450,0,0,50,0x1,"","",X,128,???,0,100,9,9,0,5000,1,-1,0,0,0,0
490,補強材,0,0,0,100,0,0,50,0x5,X,"",X,100,Recover HP,0,100,10,10,0,10000,1,0,0,0,0,0
491,硬板材,0,0,0,200,0,0,50,0x5,X,"",X,100,Recover HP,0,100,11,11,0,15000,1,0,0,0,0,0
492,Ж力発散材,0,0,0,300,0,0,50,0x5,X,"",X,100,Recover HP,0,100,12,12,0,18000,1,0,0,0,0,0
493,Ж補強材,0,0,0,500,0,0,50,0x5,X,"",X,100,Recover HP,0,100,13,13,0,0,1,0,0,0,0,0
494,資材4,0,0,0,1000,0,0,50,0x5,X,"",X,100,Recover HP,0,100,14,14,0,5000,1,0,0,0,0,0
495,資材5,0,0,0,2500,0,0,50,0x5,X,"",X,100,Recover HP,0,100,15,15,0,10000,1,0,0,0,0,0
496,資材6,0,0,0,3000,0,0,50,0x5,X,"",X,100,Recover HP,0,100,16,16,0,50,4,0,0,0,0,0
497,資材7,0,0,0,5000,0,0,50,0x5,X,"",X,101,Recover HP by 100%,0,100,17,17,0,50,3,0,0,0,0,0
498,資材8,0,0,0,10000,0,0,50,0x5,X,"",X,102,Recover SP,4,100,18,18,0,50,2,0,0,0,0,0
499,資材9,0,0,0,15000,0,0,50,0x5,X,"",X,102,Recover SP,4,100,19,19,0,50,32,0,0,0,0,0
500,砲補強材,0,0,0,1000,0,0,50,0x1,"","",X,108,Incr All Attr,-1,100,20,20,0,30,-115,0,0,0,0,0
501,砲補強硬材,0,0,0,1200,0,0,50,0x1,"","",X,107,Damage,-1,100,21,21,0,80,2,0,0,0,0,0
502,ブースター,0,0,0,1300,0,0,50,0x1,"","",X,106,Weak by 100%,-1,100,22,22,0,10,-115,0,0,0,0,0
503,Жコーティング材,0,0,0,1500,0,0,50,0x1,"","",X,124,???,-1,100,23,23,0,30,0,0,0,0,0,0
504,Ж探知式スコープ,0,0,0,2000,0,0,50,0x1,"","",X,103,Recover SP by 100%,0,100,24,24,0,50,0,0,0,0,0,0
505,チャフ,0,0,0,3000,0,0,50,0x1,"","",X,106,Weak by 100%,-1,100,25,25,0,50,0,0,0,0,0,0
506,ハンドルオイル,0,0,0,5000,0,0,50,0x1,"","",X,105,Incr Attack + Defense,8,100,26,26,0,-1,-2,-1,0,0,0,0
507,オートマオイル,0,0,0,7000,0,0,50,0x1,"","",X,129,???,0,100,27,27,0,-1,-2,-1,0,0,0,0
508,スクリキッド,0,0,0,10000,0,0,50,0x1,"","",X,139,???,1,100,28,28,0,-1,-2,-1,0,0,0,0
509,シルバーバリア,0,0,0,15000,0,0,50,0x1,"","",X,129,???,-1,100,29,29,0,-1,-2,-1,0,0,0,0
