Entry ID,JP Entry Name,Pad 1,Pad 2,Pad 3,Pad 4,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Effect Param 1,Effect Param 2,Element ID,[Element Name],Type ID,[Type Name],Unk 1,Unk 2,State ID,[State Name],State Miss%,Pad 5,Pad 6
0,火山弾乱舞,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
1,石化ガス,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,10,1,Red,0,Physical,16,17,2,Stone,60,0,0
2,矢羽根の舞,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,30,0,Green,0,Physical,0,0,0,Poison,0,0,0
3,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,レーザー,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,20,5,Silver,0,Physical,0,0,0,Poison,0,0,0
5,怒雷,0,0,0,0,0,S-Move,0,Damage,101,PC Ray S3,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
6,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,混乱音波,0,0,0,0,0,S-Move,11,Confusion,1,Single PC,0,0,0,Green,0,Physical,16,17,4,Confusion,20,0,0
8,睡眠音波,0,0,0,0,0,S-Move,9,Sleep,1,Single PC,0,0,0,Green,0,Physical,16,17,3,Sleep,20,0,0
9,ターゲットサーチ,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
11,肉弾アタック,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,30,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
12,即死斬り,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
13,充電,0,0,0,0,0,S-Move,255,None,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,毒ガス弾,0,0,0,0,0,S-Move,4,Poison + Damage,96,PC Square S3,16,20,0,Green,0,Physical,16,17,0,Poison,70,0,0
15,石化液,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,15,0,Green,0,Physical,16,17,2,Stone,70,0,0
16,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,連続キャノン,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,30,1,Red,0,Physical,0,0,0,Poison,0,0,0
18,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
19,反撃の構え,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
20,ためる,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
21,居合い,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
22,発破,0,0,0,0,0,S-Move,0,Damage,97,PC Square S5,16,40,1,Red,0,Physical,0,0,0,Poison,0,0,0
23,超ド級剣技,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,80,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
24,反撃技,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
25,毒ゲロ,0,0,0,0,0,S-Move,4,Poison + Damage,2,All PCs,16,20,0,Green,0,Physical,16,17,0,Poison,80,0,0
26,大回転,0,0,0,0,0,S-Move,0,Damage,201,PCs Nearby S1,16,20,3,Blue,0,Physical,0,0,0,Poison,0,0,0
27,超ド級バズーカ,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,60,1,Red,0,Physical,0,0,0,Poison,0,0,0
28,仲間を呼ぶ,0,0,0,0,0,S-Move,43,Call EC,0,None,27,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
29,仲間を呼ぶ,0,0,0,0,0,S-Move,43,Call EC,0,None,31,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
30,拡散キャノン,0,0,0,0,0,S-Move,0,Damage,97,PC Square S5,16,40,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
31,石化レーザー,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,5,6,Neutral,0,Physical,16,17,2,Stone,50,0,0
32,即死レーザー,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,5,5,Silver,0,Physical,16,17,1,Unconscious,50,0,0
33,即死レーザー,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,5,5,Silver,0,Physical,16,17,1,Unconscious,50,0,0
34,様子を見る,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
35,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
36,絶対防御,0,0,0,0,0,S-Move,67,Invulnerable,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
37,ためる,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
38,全体凍結,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
39,落雷,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,30,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
40,かぶり疲労,0,0,0,0,0,S-Move,72,Fatigue + Damage,1,Single PC,16,15,0,Green,0,Physical,16,17,6,Fatigue,20,0,0
41,寝に入る,0,0,0,0,0,S-Move,63,Regenerate + Sleep,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
42,急速冷凍砲,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,40,2,Purple,0,Physical,0,0,0,Poison,0,0,0
43,ラミレス剣技,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,20,5,Silver,0,Physical,0,0,0,Poison,0,0,0
44,能力ダウン音波,0,0,0,0,0,S-Move,26,Decr All Attr,1,Single PC,0,0,0,Green,0,Physical,16,17,56,???,50,0,0
45,ターン回復技,0,0,0,0,0,S-Move,33,Regenerate,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
46,銀の波動,0,0,0,0,0,S-Move,17,Rem Pos States + Damage,2,All PCs,16,5,5,Silver,0,Physical,0,0,0,Poison,0,0,0
47,ためる,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
48,ラミレス剣技２,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,80,5,Silver,0,Physical,0,0,0,Poison,0,0,0
49,カネヅル呼ぶ,0,0,0,0,0,S-Move,43,Call EC,0,None,65535,65535,0,Green,0,Physical,0,0,0,Poison,0,0,0
50,イモヅル呼ぶ,0,0,0,0,0,S-Move,43,Call EC,0,None,65535,65535,0,Green,0,Physical,0,0,0,Poison,0,0,0
51,火炎ブレス,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,25,1,Red,0,Physical,0,0,0,Poison,0,0,0
52,石化液,0,0,0,0,0,S-Move,7,Stone,1,Single PC,0,0,0,Green,0,Physical,16,17,2,Stone,50,0,0
53,凍結ブレス,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,25,2,Purple,0,Physical,0,0,0,Poison,0,0,0
54,回転技,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,40,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
55,様子を見る,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
56,電撃,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
57,怪音波,0,0,0,0,0,S-Move,0,Damage,107,PC Triangle 60°,16,15,2,Purple,0,Physical,0,0,0,Poison,0,0,0
58,様子を見る,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
59,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
60,投げキッス,0,0,0,0,0,S-Move,70,Confusion + Damage,1,Single PC,16,5,1,Red,0,Physical,16,17,4,Confusion,0,0,0
61,石化レーザー,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,20,5,Silver,0,Physical,16,17,2,Stone,50,0,0
62,仲間を呼ぶ,0,0,0,0,0,S-Move,43,Call EC,0,None,12,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
63,ためる,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
64,かぶり疲労,0,0,0,0,0,S-Move,72,Fatigue + Damage,1,Single PC,16,15,2,Purple,0,Physical,16,17,6,Fatigue,20,0,0
65,暗黒の波動,0,0,0,0,0,S-Move,17,Rem Pos States + Damage,2,All PCs,16,5,4,Yellow,0,Physical,-1,-2,-1,None,-2,0,0
66,凍結ブレス,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
67,仲間を呼ぶ,0,0,0,0,0,S-Move,43,Call EC,0,None,147,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
68,仲間を呼ぶ,0,0,0,0,0,S-Move,43,Call EC,0,None,84,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
69,仲間を呼ぶ,0,0,0,0,0,S-Move,43,Call EC,0,None,107,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
70,手榴弾,0,0,0,0,0,S-Move,0,Damage,96,PC Square S3,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
71,毒ガス弾,0,0,0,0,0,S-Move,4,Poison + Damage,96,PC Square S3,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
