Entry ID,[Filter],[PC ID],[PC Name],State ID,[State Name],Unk 1,Unk 2,Motion ID,[Motion Name],Motion Flags,Param ID,[Param Name],Unk 3,Blend Time,Play Rate
0,MA000.STD,0,ヴァイス,2,Idle 1,1,8,0,Idle 1,0b10010000101100000000000000000000,-1,None,0,5.00,1.00
1,MA000.STD,0,ヴァイス,7,Idle 2 (Injured),1,8,1,Idle 2 (Injured),0b10010000101000000000000000000000,-1,None,1,5.00,1.00
2,MA000.STD,0,ヴァイス,6,Approach,1,8,2,Approach,0b10000001001000000000000000000000,-1,None,0,5.00,1.00
3,MA000.STD,0,ヴァイス,4,Close Attack,1,8,3,Close Attack,0b10001010001000000000000000000000,-1,None,0,5.10,1.00
4,MA000.STD,0,ヴァイス,8,Critical Attack,1,8,4,Critical Attack,0b10001010001000000000000000000000,-1,None,0,5.00,1.00
5,MA000.STD,0,ヴァイス,9,Take Damage 1,1,11,5,Take Damage 1,0b10000000000000000000000000000000,-1,None,0,0.00,1.00
6,MA000.STD,0,ヴァイス,5,Ranged Attack,1,8,6,Ranged Attack,0b10001010001000000000000000000000,-1,None,0,0.10,1.00
7,MA000.STD,0,ヴァイス,10,Take Damage 2,1,12,5,Take Damage 1,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
8,MA000.STD,0,ヴァイス,11,Take Damage 3,1,10,5,Take Damage 1,0b10001010000000000000000000000000,-1,None,0,0.00,1.00
9,MA000.STD,0,ヴァイス,12,Guard,1,8,9,Guard,0b10001000000000000000000000000000,-1,None,15,0.00,1.00
10,MA000.STD,0,ヴァイス,13,Dodge,1,8,10,Dodge,0b10001000000000000000000000000000,-1,None,0,0.00,1.00
11,MA000.STD,0,ヴァイス,14,Defeat,1,8,11,Defeat,0b10011000000000000000000000000000,-1,None,0,5.00,1.00
12,MA000.STD,0,ヴァイス,15,Revive,1,8,12,Revive,0b10011010001000000000000000000000,-1,None,4,0.10,1.00
13,MA000.STD,0,ヴァイス,17,Focus,1,8,13,Focus,0b10011000000000000000000000000000,-1,None,0,5.00,1.00
14,MA000.STD,0,ヴァイス,19,Withdraw,1,8,14,Widthdraw,0b10000001000000000000000000000000,-1,None,15,5.00,1.00
15,MA000.STD,0,ヴァイス,20,Idle 3,1,15,2,Approach,0b10000001000000000000000000000000,-1,None,0,5.00,1.00
16,MA000.STD,0,ヴァイス,21,Cast Magic,1,8,16,Magic,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
17,MA000.STD,0,ヴァイス,26,Victory 1,1,8,17,Victory 1,0b10011000000000000000000000000000,-1,None,0,5.00,1.00
18,MA000.STD,0,ヴァイス,27,Victory 2,1,8,18,Victory 2,0b10011000000000000000000000000000,-1,None,0,5.00,1.00
19,MA000.STD,0,ヴァイス,28,Victory 3 (Injured),1,8,19,Victory 3 (Injured),0b10011000000000000000000000000000,-1,None,0,0.10,1.00
20,MA000.STD,0,ヴァイス,16,Use Item 1,1,8,20,Use Item 1,0b10001000000000000000000000000000,-1,None,0,5.00,1.00
21,MA000.STD,0,ヴァイス,32,Knockdown,1,10,21,Knockdown,0b10001010001000000000000000000000,-1,None,0,0.00,1.00
22,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,0,アパ,0,5.00,1.00
23,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,1,アポス,0,5.00,1.00
24,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,2,サイレシャ,0,5.00,1.00
25,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,3,パニカ,0,5.00,1.00
26,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,4,ダウナ,0,5.00,1.00
27,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,5,ダウノス,0,5.00,1.00
28,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,6,サプラ,0,5.00,1.00
29,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,7,サプリィ,0,5.00,1.00
30,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,8,サプレス,0,5.00,1.00
31,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,9,サプローネ,0,5.00,1.00
32,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,10,プワザ,0,5.00,1.00
33,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,11,プワゾーク,0,5.00,1.00
34,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,12,スリーパ,0,5.00,1.00
35,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,13,クイッカ,0,5.00,1.00
36,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,14,キュア,0,5.00,1.00
37,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,15,ライザ,0,5.00,1.00
38,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,16,ライゾン,0,5.00,1.00
39,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,17,ジェダ,0,5.00,1.00
40,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,18,ジェデス,0,5.00,1.00
41,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,19,ジェドーサ,0,5.00,1.00
42,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,20,ウェイバ,0,5.00,1.00
43,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,21,ウェイビィ,0,5.00,1.00
44,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,22,ウェボーン,0,5.00,1.00
45,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,23,バーナ,0,5.00,1.00
46,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,24,バーニィ,0,5.00,1.00
47,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,25,バーネス,0,5.00,1.00
48,MA000.STD,0,ヴァイス,24,Exec Magic/S-Move,1,8,16,Magic,0b10001000000000000000000000000000,26,グラシャ,0,5.00,1.00
