Entry ID,US Entry Name,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,Ord by 123,US Ord by ABC,Buy,Pad 1,Pad 2,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[US Descr Pos],[US Descr Size],US Descr Str
240,Sacri Crystal,0x6,X,X,"",31,Recover HP,1,Single PC,100,50,0,55,20,0,0,500,-1,None,-1,None,0,Poison,0,0x33693c,88,An enchanted crystal created by Mages of the\nGreen Moon. Restores 500 HP for one ally.
241,Sacres Crystal,0x6,X,X,"",31,Recover HP,1,Single PC,100,50,1,53,60,0,0,1000,-1,None,-1,None,0,Poison,0,0x336994,92,"An enchanted crystal created by Mages of the\nGreen Moon. Restores 1,000 HP for one ally."
242,Sacrum Crystal,0x6,X,X,"",31,Recover HP,2,All PCs,100,50,2,58,600,0,0,1000,-1,None,-1,None,0,Poison,0,0x3369f0,92,"An enchanted crystal created by Mages of the\nGreen Moon. Restores 1,000 HP for all allies."
243,Sacrulen Crystal,0x6,X,X,"",32,Recover HP of 100%,1,Single PC,100,50,3,57,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x336a4c,88,An enchanted crystal created by Mages of the\nGreen Moon. Restores all HP for one ally.
244,Magic Droplet,0x7,X,X,X,48,Recover MP,1,Single PC,100,50,4,31,40,0,0,1,-1,None,-1,None,0,Poison,0,0x336aa4,80,Created from the dew that forms on a magical\ntree. Restores 1 MP for one ally.
245,Magic Dew,0x7,X,X,X,48,Recover MP,1,Single PC,100,50,5,30,400,0,0,10,-1,None,-1,None,0,Poison,0,0x336af4,76,A more concentrated form of the Magic Droplet.\nRestores 10 MP for one ally.
246,Aura of Valor,0x3,"",X,X,35,Recover SP,2,All PCs,100,50,6,1,2000,0,0,99,-1,None,-1,None,0,Poison,0,0x336b40,76,A sacred stone that boosts the Spirit of the\nentire party to heroic levels.
247,Soul Crystal,0x0,"","","",-1,None,0,None,0,100,49,62,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336b8c,64,A valuable treasure sought by Zivilyn Bane on\nDaccat's Island.
248,Unholy Dagger,0x0,"","","",-1,None,0,None,0,100,50,69,4000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336bcc,68,A valuable treasure sought by Zivilyn Bane in\nthe Grand Fortress.
249,Curia Crystal,0x2,"",X,"",30,Rem Neg States B,1,Single PC,100,50,7,7,30,0,0,0,0,Green,0,Physical,7,Revival,0,0x336c10,92,"An ensorcelled crystal that cures all adverse\neffects on one ally, except for Unconscious."
250,Risan Crystal,0x2,"",X,"",27,Revive w/ HP of 50%,1,Single PC,100,50,8,48,150,0,0,0,0,Green,0,Physical,7,Revival,50,0x336c6c,100,"An ensorcelled crystal that has a 50% chance of\nreviving one ally, with 50% of their maximum HP."
251,Riselem Crystal,0x2,"",X,"",28,Revive w/ HP of 100%,1,Single PC,100,50,9,50,450,0,0,0,0,Green,0,Physical,7,Revival,0,0x336cd0,60,An ensorcelled crystal that will revive an ally\nto Max HP.
252,Glyph of Might,0x2,"",X,"",21,Incr Attack & Defense,1,Single PC,100,50,10,17,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x336d0c,72,Developed by De Loco's Researchers.\nIncreases the Power of one ally.
253,Glyph of Speed,0x2,"",X,"",20,Incr Quick,2,All PCs,100,50,11,18,100,0,0,0,0,Green,0,Physical,7,Revival,0,0x336d54,80,Developed by De Loco's Researchers.\nIncreases the Quick of the entire party.
254,Healing Salve,0x2,"",X,"",33,Regenerate,1,Single PC,100,50,12,25,50,0,0,250,0,Green,0,Physical,0,Poison,0,0x336da4,76,Developed by De Loco's Researchers.\nAllows one ally to regenerate health.
255,Chalice of Blood,0x0,"","","",-1,None,0,None,0,100,51,2,5000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336df0,64,A valuable treasure sought by Zivilyn Bane in\nthe Dark Rift.
256,Windsong Orb,0x0,"","","",-1,None,0,None,0,100,52,74,6000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336e30,60,A valuable treasure sought by Zivilyn Bane in\nMount Kazai.
