Entry ID,Entry JP Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,Buy,Pad 7,Pad 8,Sell%,JP Order 1,JP Order 2,Pad 9,[JP Descr Pos],[JP Descr Size],JP Descr Str
440,ドクロの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,0,0,0,0x34014c,76,"空賊の象徴、ドクロがデザインされた船首像。
空賊魂が上昇し、Ж防力が上がる。"
441,鳥の船首像,0b00111110,X,X,X,X,X,3,MagDef,0,30,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2400,0,0,50,1,1,0,0x340198,84,"伝説の赤い鳥がデザインされた船首像。
飾りつけられた赤い羽根が特徴。Ж防力が上がる。"
442,赤き船首像,0b00111110,X,X,X,X,X,3,MagDef,0,45,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4400,0,0,50,2,2,0,0x3401ec,96,"ピュラミス神殿のスフィンクスがデザインされた
船首像。その神秘的なパワーによりЖ防力が上がる。"
443,クジラの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4640,0,0,50,3,3,0,0x34024c,84,"空の守り神ともいわれるクジラがデザインされた
船首像。その加護によりЖ防力が上がる。"
444,ケチャの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,80,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,4880,0,0,50,4,4,0,0x3402a0,92,"モンテスマの神ケチャがデザインされた船首像。
荘厳な雰囲気がかもし出され、Ж防力が上がる。"
445,ライオンの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5120,0,0,50,5,5,0,0x3402fc,92,"百獣の王ライオンがデザインされた船首像。
厳然たるその威容が相手を圧倒し、Ж防力が上がる。"
446,青き神鳥の船首像,0b00111110,X,X,X,X,X,3,MagDef,0,130,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5360,0,0,50,6,6,0,0x340358,92,"ヤフトマーに古くから伝わる神鳥がデザインされた
船首像。神聖なる力がみなぎりЖ防力が上がる。"
447,女神の船首像,0b00111110,X,X,X,X,X,3,MagDef,0,160,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,6800,0,0,50,7,7,0,0x3403b4,92,"愛、勇気、勝利を呼ぶ３人の女神がデザインされた
船首像。その友愛の力によりЖ防力が上がる。"
448,ヴァイスの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,190,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,8800,0,0,50,8,8,0,0x340410,84,"青の空賊ヴァイスの船首像。自らモデルになる
図々しさで相手を圧倒、Ж防力が上がる。"
449,きらめく船首像,0b00111110,X,X,X,X,X,3,MagDef,0,300,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,13500,0,0,50,9,9,0,0x340464,84,"朝日をあらわす光球がデザインされた船首像。
未知なる力が船を守り、Ж防力が上がる。"
450,エンジンカバー,0b00111110,X,X,X,X,X,4,Quick,0,10,6,Dodge%,0,3,-1,None,0,0,-1,None,0,0,0,0,800,0,0,50,10,10,0,0x3404b8,88,"デリケートなエンジンをゴミやチリから守るカバー。
燃焼効率がアップしスピードを上げる。"
451,ターボキット,0b00111110,X,X,X,X,X,4,Quick,0,20,6,Dodge%,0,5,-1,None,0,0,-1,None,0,0,0,0,1520,0,0,50,11,11,0,0x340510,72,"燃料を強制的に送り込むキット。
爆発的な出力を確保しスピードを上げる。"
