Entry ID,Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,Chara. #0 Z,Chara. #1 ID,[Chara. #1 name],Chara. #1 X,Chara. #1 Z,Chara. #2 ID,[Chara. #2 name],Chara. #2 X,Chara. #2 Z,Chara. #3 ID,[Chara. #3 name],Chara. #3 X,Chara. #3 Z,Enemy #0 ID,[JP enemy #0 name],[US enemy #0 name],Enemy #0 X,Enemy #0 Z,Enemy #1 ID,[JP enemy #1 name],[US enemy #1 name],Enemy #1 X,Enemy #1 Z,Enemy #2 ID,[JP enemy #2 name],[US enemy #2 name],Enemy #2 X,Enemy #2 Z,Enemy #3 ID,[JP enemy #3 name],[US enemy #3 name],Enemy #3 X,Enemy #3 Z,Enemy #4 ID,[JP enemy #4 name],[US enemy #4 name],Enemy #4 X,Enemy #4 Z,Enemy #5 ID,[JP enemy #5 name],[US enemy #5 name],Enemy #5 X,Enemy #5 Z,Enemy #6 ID,[JP enemy #6 name],[US enemy #6 name],Enemy #6 X,Enemy #6 Z,Initiative,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name],BGM ID
0,2,0,Vyse,4,6,1,Aika,6,6,-1,None,-1,-1,-1,None,-1,-1,0,軍艦兵,Soldier,4,2,0,軍艦兵,Soldier,6,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,14,0,Must not lose,1,Cannot escape,58
1,1,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,1,航行士,Guard,4,2,1,航行士,Guard,6,2,1,航行士,Guard,2,3,1,航行士,Guard,8,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,14,0,Must not lose,1,Cannot escape,58
2,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,128,アントニオ,Antonio,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,18,1,May try again,1,Cannot escape,60
3,2,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,129,アガタウマス,Sentinel,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,34,1,May try again,1,Cannot escape,60
4,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,-1,None,-1,-1,130,イマゴタリア,Bleigock,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,48,1,May try again,1,Cannot escape,60
5,2,0,Vyse,5,8,1,Aika,7,9,3,Drachma,3,9,-1,None,-1,-1,131,獄長,Executioner,4,2,7,Ж術処刑士,Spell Warden,2,3,7,Ж術処刑士,Spell Warden,8,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,50,1,May try again,1,Cannot escape,60
6,0,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,132,ガルシアン,Galcian,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,52,0,Must not lose,1,Cannot escape,61
7,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,警備士,Patrol Guard,5,3,72,警備士,Patrol Guard,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,52,0,Must not lose,0,Can escape,58
8,1,0,Vyse,5,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,72,警備士,Patrol Guard,5,3,72,警備士,Patrol Guard,6,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,52,0,Must not lose,0,Can escape,58
9,2,0,Vyse,4,8,1,Aika,5,9,-1,None,-1,-1,-1,None,-1,-1,133,護送将兵,Royal Guard,4,3,133,護送将兵,Royal Guard,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,54,1,May try again,1,Cannot escape,60
