Entry ID,US entry name,Chara. ID,[Chara. name],Retail price in %,Order by prio.,US order by ABC,Effect ID,[Effect name],Purchase price,Attack,Hit%,Feat. ID,[Feat. name],Pad. #0,Feat. value,[US descr. pos.],[US descr. size],US descr. str.
0,Cutlass,0,Vyse,50,0,21,-1,None,70,20,90,-1,None,0,0,2915740,96,"Vyse received these swords as a gift from his\nfather, Dyne. It is light, with a short blade."
1,Pirate Cutlass,0,Vyse,50,1,48,-1,None,220,33,90,-1,None,0,0,2915836,96,The favorite sword among Air Pirates in the Mid\nOcean area. It is light and very easy to wield.
2,Sky Cutlass,0,Vyse,50,2,54,-1,None,450,45,90,-1,None,0,0,2915932,88,A cutlass used by Pirates and fishermen alike.\nIts edge is perfect for cleaning fish.
3,Admiral Cutlass,0,Vyse,50,9,0,-1,None,4970,128,90,-1,None,0,0,2916020,88,An old sword that once belonged to a Valuan\nAdmiral when he was stationed in Esparanza.
4,Assassin Blade,0,Vyse,50,3,2,0,Add Poison,830,58,90,-1,None,0,0,2916108,96,"A favorite among assassins of the world, mainly\nbecause it has a chance to poison its target."
5,Thunder Cutlass,0,Vyse,50,13,64,-1,None,8610,160,90,36,Yellow,0,-2,2916204,96,An ancient cutlass made from Yeligar's hardened\nskin. Some say it can cut through lightning.
6,Iron-cutter,0,Vyse,50,7,40,-1,None,3870,112,90,-1,None,0,0,2916300,96,"An ancient blade of pre-Old World times, it is\nsaid that this blade was used to cut iron ore."
7,Nasr Cutlass,0,Vyse,50,4,46,-1,None,1340,70,90,-1,None,0,0,2916396,96,"A cutlass used by desert-faring merchants for\nself-defense, its blade is finely worked stone."
8,Sword of Daccat,0,Vyse,50,8,62,1,Add Sleep #1,4690,120,90,-1,None,0,0,2916492,88,"The sword of the great Air Pirate Daccat, it has\nthe power to lull enemies to sleep."
9,Hunter's Sword,0,Vyse,50,5,35,-1,None,2280,87,90,-1,None,0,0,2916580,92,A hunting blade fashioned to resemble a beast's\nfang. A favorite among Ixa'takan warriors.
10,Stonecutter,0,Vyse,50,6,58,-1,None,3120,99,90,-1,None,0,0,2916672,92,"A blade originally used in masonry work, it has\nsince been modified to be used in combat."
11,Dream Cutlass,0,Vyse,50,10,26,-1,None,6690,137,90,35,Blue,0,-2,2916764,92,A legendary sword that can supposedly rip the\nfabric of reality and make dreams come true.
12,Windslicer,0,Vyse,50,12,70,-1,None,8760,153,90,-1,None,0,0,2916856,80,A blade so slender that it is fabled to be able\nto cut the very air in half.
13,Vorlik Blade,0,Vyse,50,15,68,-1,None,16500,200,200,-1,None,0,0,2916936,76,"A masterpiece of the legendary swordsmith,\nRyu-kan, forged from Velorium."
14,Suiran Blade,0,Vyse,50,11,60,-1,None,7500,141,90,-1,None,0,0,2917012,92,"A short sword used by Yafutoman soldiers, its\nthick, heavy blade is still easy to handle."
15,Soul Sword,0,Vyse,50,14,56,16,Add Death #3,12340,174,90,-1,None,0,0,2917104,96,"The ultimate sword, the best work of the master\nswordsmith, Ryu-kan. Can cause instant death."
16,Boomerang,1,Aika,50,17,5,-1,None,70,19,110,-1,None,0,0,2917200,80,"Aika's favorite boomerang. It's large but light,\nand relatively easy to aim."
17,Skywing,1,Aika,50,26,55,-1,None,3670,107,110,-1,None,0,0,2917280,92,"A boomerang shaped like a flying bird. It\nalways returns, no matter how far it is thrown."
18,Scout Wing,1,Aika,50,21,51,-1,None,680,53,110,-1,None,0,0,2917372,84,"A weapon carried by crews of scouting parties,\nit is meant to be fast and deadly."
19,Ice Splitter,1,Aika,50,29,38,-1,None,7390,142,110,34,Purple,0,-2,2917456,92,"A boomerang with an icy clear, sharp blade that\nseemingly freezes the air it flies through."
20,Leather Crescent,1,Aika,50,18,41,-1,None,180,30,110,-1,None,0,0,2917548,88,"A leather-reinforced boomerang that is very\nsturdy in build, and packs an extra punch."
21,Throwing Blade,1,Aika,50,19,63,-1,None,310,38,110,-1,None,0,0,2917636,96,An ancient weapon found near Sailors' Island.\nThought to have been used for wood & stone work.
22,Hunting Arc,1,Aika,50,24,36,-1,None,1820,80,110,-1,None,0,0,2917732,96,"A traditional Ixa'takan hunting weapon, children\nare taught to use them from a very young age."
23,Valuarang,1,Aika,50,20,67,-1,None,480,46,110,-1,None,0,0,2917828,92,A light boomerang used to practice for the\nannual boomerang contest in the Valuan Coliseum.
24,Yin Wing,1,Aika,50,28,72,17,Add Sleep #5,5930,130,110,-1,None,0,0,2917920,88,A tear-shaped blade crafted by a master\nweaponsmith from a single piece of Moon Stone.
25,Dancing Arc,1,Aika,50,22,23,-1,None,1100,65,110,-1,None,0,0,2918008,96,A decorative throwing blade used by Nasrean\ndancers. It is used as a hunting weapon as well.
26,Wing of Hope,1,Aika,50,27,71,-1,None,4760,119,110,-1,None,0,0,2918104,92,Crafted in memory of those lost in the Dark Rift\nand in hopes that others will fare better.
27,Storm Wing,1,Aika,50,23,59,2,Add Weak,1280,69,150,-1,None,0,0,2918196,92,"Used by guards in an ancient imperial palace,\nthis blade has the power to weaken enemies."
28,Moon Wing,1,Aika,50,31,45,-1,None,10170,161,110,-1,None,0,0,2918288,96,"A superb weapon created by the master, Ryu-kan.\nA perfect balance of design and functionality."
29,Hydra Wing,1,Aika,50,32,37,-1,None,11390,168,110,-1,None,0,0,2918384,88,A boomerang modified by the Valuan army with\nreinforcement for close-quarters combat.
