Entry ID,Entry US Name,PC ID,[PC Name],Sell%,US Order 1,US Order 2,Effect ID,[Effect Name],Buy,Attack,Hit%,Trait ID,[Trait Name],Pad 1,Trait Value,[US Descr Pos],[US Descr Size],US Descr Str
0,Cutlass,0,Vyse,50,0,4,-1,None,70,20,90,-1,None,0,0,0x361d60,56,"Vyse received these swords as a gift from his
father"
1,Pirate Cutlass,0,Vyse,50,1,24,-1,None,220,33,90,-1,None,0,0,0x361d98,96,"The favorite sword among Air Pirates in the Mid
Ocean area. It is light and very easy to wield."
2,Sky Cutlass,0,Vyse,50,2,36,-1,None,450,45,90,-1,None,0,0,0x361df8,88,"A cutlass used by Pirates and fishermen alike.
Its edge is perfect for cleaning fish."
3,Admiral Cutlass,0,Vyse,50,9,44,-1,None,4970,128,90,-1,None,0,0,0x361e50,88,"An old sword that once belonged to a Valuan
Admiral when he was stationed in Esparanza."
4,Assassin Blade,0,Vyse,50,3,33,0,Poison by 10%,830,58,90,-1,None,0,0,0x361ea8,84,"A favorite among assassins of the world
for its ability to poison anything is cuts."
5,Thunder Cutlass,0,Vyse,50,13,68,-1,None,8610,160,90,36,Yellow,0,-2,0x361efc,96,"An ancient cutlass made from Yeligar's hardened
skin. Some say it can cut through lightning."
6,Iron-cutter,0,Vyse,50,7,30,-1,None,3870,112,90,-1,None,0,0,0x361f5c,88,"An ancient blade of pre-Old World times
said that this blade was used to cut iron ore."
7,Nasr Cutlass,0,Vyse,50,4,47,-1,None,1340,70,90,-1,None,0,0,0x361fb4,60,"A cutlass used by desert-faring merchants for
self-defense"
8,Sword of Daccat,0,Vyse,50,8,43,1,Sleep by 50%,4690,120,90,-1,None,0,0,0x361ff0,80,"The sword of the great air pirate Daccat
the power to lull enemies to sleep."
9,Hunter's Sword,0,Vyse,50,5,31,-1,None,2280,87,90,-1,None,0,0,0x362040,92,"A hunting blade fashioned to resemble a beast's
fang. A favorite among Ixa'takan warriors."
10,Stonecutter,0,Vyse,50,6,41,-1,None,3120,99,90,-1,None,0,0,0x36209c,84,"A blade originally used in masonry work
since been modified to be used in combat."
