Entry ID,Entry US Name,PC Flags,[V],[A],[F],[D],[E],[G],Sell%,US Order 1,US Order 2,Pad 1,Buy,Trait 1 ID,[Trait 1 Name],Pad 2,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 3,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 4,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 5,Trait 4 Value,[US Descr Pos],[US Descr Size],US Descr Str
160,Gemstone Ring,0b00111010,X,X,X,"",X,"",50,1,33,0,150,18,MagDef,0,21,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x364228,84,A finely crafted ring engraved with runes\nthat protect the wearer against magic.
161,Prophet's Sand,0b00111010,X,X,X,"",X,"",50,3,34,0,890,18,MagDef,0,63,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x36427c,96,A ring created from enchanted sand found around\nMoon Stones. Protects the wearer against Magic.
162,Meditation Ring,0b00111010,X,X,X,"",X,"",50,0,16,0,100,1,Will,0,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x3642dc,84,A ring crafted from weaving the sprigs of magic\ntrees. Increases the wearer's Will.
163,Moondust Ring,0b00111010,X,X,X,"",X,"",50,4,55,0,1530,1,Will,0,48,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x364330,68,A ring decorated with tiny shards of Moon\nStones. Increases Will.
164,Lover's Ring,0b00111010,X,X,X,"",X,"",50,2,43,0,300,18,MagDef,0,12,1,Will,0,12,-1,None,0,0,-1,None,0,0,0x364374,96,A finely crafted ring that depicts two lovers\nembracing. Increases Magic Resistance and Will.
165,Jade Swirl Ring,0b00111010,X,X,X,"",X,"",50,5,54,0,2960,18,MagDef,0,45,1,Will,0,45,-1,None,0,0,-1,None,0,0,0x3643d4,88,A ring decorated with two drops of liquid jade.\nIncreases Magic Resistance and Will.
166,Cupil Ring,0b00001000,"","",X,"","","",100,6,18,0,10000,49,Unconscious,0,-5,37,Silver,0,-5,18,MagDef,0,100,1,Will,0,100,0x36442c,80,A ring that looks like Cupil. Boosts Spirit and\nResistance to Silver Attacks
167,Warrior's Heart,0b00111010,X,X,X,"",X,"",100,7,59,0,10,77,Recover SP,0,2,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x36447c,60,A ring with a glowing gem\nto recover Spirit during battle.
168,Throkryn's Scale,0b00110101,X,X,"",X,"",X,50,8,35,0,300,16,Attack,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x3644b8,68,A weapon modification made from a throkryn.\nRaises Attack Power.
169,Thryllak's Scale,0b00110101,X,X,"",X,"",X,50,9,25,0,2300,16,Attack,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x3644fc,64,A scale of a Thryllak\nthan the Throkryn. Raises Attack Power.
170,Marocca's Shell,0b00110101,X,X,"",X,"",X,50,10,58,0,130,17,Defense,0,6,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x36453c,64,The shell of a large primitive crustacean.\nImproves Defense.
171,Burocca's Shell,0b00110101,X,X,"",X,"",X,50,11,50,0,1920,17,Defense,0,36,-1,None,0,0,-1,None,0,0,-1,None,0,0,0x36457c,60,The shell of a Burocca\nof the Marocca. Improves Defense.
172,Crylhound's Claw,0b00110101,X,X,"",X,"",X,50,12,12,0,420,19,Hit%,0,20,16,Attack,0,2,-1,None,0,0,-1,None,0,0,0x3645b8,64,A weapon modification used by Valuan Soldiers.\nImproves Hit%
173,Hunter's Hand,0b00110101,X,X,"",X,"",X,50,13,13,0,1010,19,Hit%,0,40,16,Attack,0,4,-1,None,0,0,-1,None,0,0,0x3645f8,84,A gauntlet worn by Ixa'takan men while hunting. \nImproves Hit% and Attack Power.
174,Thief's Aura,0b00111101,X,X,X,X,"",X,50,14,9,0,330,20,Dodge%,0,10,17,Defense,0,2,-1,None,0,0,-1,None,0,0,0x36464c,76,A ring with a black stone that improves the\nwearer's Dodge% and Defense.
175,Quetya Feather,0b00111101,X,X,X,X,"",X,50,15,24,0,810,20,Dodge%,0,20,17,Defense,0,4,-1,None,0,0,-1,None,0,0,0x364698,88,A feather ornament imbued with the power of the\nQuetya. Improves Dodge% and Defense.
176,Vigoro's Chain,0b00100101,X,"","",X,"",X,50,17,48,0,2890,16,Attack,0,20,19,Hit%,0,30,-1,None,0,0,-1,None,0,0,0x3646f0,72,Vigoro's idea of a fashion statement. Improves\nHit% and Attack Power.
177,Sailor's Buckler,0b00110111,X,X,"",X,X,X,50,18,40,0,1930,17,Defense,0,20,20,Dodge%,0,15,-1,None,0,0,-1,None,0,0,0x364738,40,A light\nImproves Dodge% and Defense.
178,Warrior's Rune,0b00111001,X,X,X,"","",X,100,19,42,0,10,16,Attack,0,10,17,Defense,0,10,19,Hit%,0,20,20,Dodge%,0,10,0x364760,56,A ring with mystic engravings. Increases Attack\nPower
179,Ancient Bracer,0b00110101,X,X,"",X,"",X,100,20,27,0,10,16,Attack,0,20,17,Defense,0,20,19,Hit%,0,40,20,Dodge%,0,20,0x364798,60,A bracer used by ancient gladiators. Improves\nAttack Power
180,Counter Bracer,0b00110101,X,X,"",X,"",X,100,21,47,0,10,73,Counter%,0,20,16,Attack,0,20,19,Hit%,0,20,-1,None,0,0,0x3647d4,60,Improves physical attributes slightly\nas Counter-attacking
181,Defensive Aura,0b00111111,X,X,X,X,X,X,100,22,29,0,10,65,Block Attack,0,1,17,Defense,0,40,-1,None,0,0,-1,None,0,0,0x364810,52,Renders the wearer invulnerable to normal\nAttacks
182,Ixa'takan Ring,0b00111111,X,X,X,X,X,X,100,23,23,0,100,48,Poison,0,-10,32,Green,0,-2,17,Defense,0,5,18,MagDef,0,5,0x364844,84,Offers invulnerability to Poison\nDefense and Resistance to Magic & Green Attacks.
183,Silvite Ring,0b00111111,X,X,X,X,X,X,100,30,30,0,100,49,Unconscious,0,-10,37,Silver,0,-2,17,Defense,0,5,18,MagDef,0,5,0x364898,76,Invulnerability to Eterni\nDefense & Resistance to Magic & Silver Attacks.
184,Gem of Fluidity,0b00111111,X,X,X,X,X,X,100,29,11,0,100,50,Stone,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0x3648e4,80,Offers invulnerability to Petrification\nimproves Defense and Magic Resistance.
185,Wind Gem Ring,0b00111111,X,X,X,X,X,X,100,24,44,0,100,51,Sleep,0,-10,35,Blue,0,-2,17,Defense,0,5,18,MagDef,0,5,0x364934,80,Offers invulnerability to Sleep\nDefense and resistance to Magic & Blue Attacks.
186,Eye of Truth,0b00111111,X,X,X,X,X,X,100,25,57,0,100,52,Confusion,0,-10,34,Purple,0,-2,17,Defense,0,5,18,MagDef,0,5,0x364984,84,Offers invulnerability to Confusion\nDefense & Resistance to Magic & Purple Attacks.
187,Revered Voice,0b00111111,X,X,X,X,X,X,100,26,37,0,100,53,Silence,0,-10,34,Purple,0,-2,17,Defense,0,5,18,MagDef,0,5,0x3649d8,84,Offers invulnerability to Silence\nDefense & Resistance to Magic & Purple Attacks.
188,Everlasting Gem,0b00111111,X,X,X,X,X,X,100,28,39,0,100,54,Fatigue,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0x364a2c,68,Offers invulnerability to Fatigue\nDefense and Magic Resistance. 
189,Behemoth's Ring,0b00111111,X,X,X,X,X,X,100,27,52,0,100,56,Weak,0,-10,36,Yellow,0,-2,17,Defense,0,5,18,MagDef,0,5,0x364a70,84,Offers invulnerability to Weakness\nDefense & Resistance to Magic & Yellow Attacks.
190,Constitution Gem,0b00111111,X,X,X,X,X,X,100,31,15,0,1000,79,Block Neg States,0,-10,17,Defense,0,10,18,MagDef,0,10,-1,None,0,0,0x364ac4,56,A miraculous stone that prevents all adverse\neffects
