Entry ID,Pad. 1,EU Message ID,[ DE Descr. Pos.],[ DE Descr. Size],DE Descr. Str.,[ ES Descr. Pos.],[ ES Descr. Size],ES Descr. Str.,[ FR Descr. Pos.],[ FR Descr. Size],FR Descr. Str.,[ GB Descr. Pos.],[ GB Descr. Size],GB Descr. Str.,Item 1 ID,[Item 1 Name],Item 2 ID,[Item 2 Name],Item 3 ID,[Item 3 Name],Item 4 ID,[Item 4 Name],Item 5 ID,[Item 5 Name],Item 6 ID,[Item 6 Name],Item 7 ID,[Item 7 Name],Item 8 ID,[Item 8 Name],Item 9 ID,[Item 9 Name],Item 10 ID,[Item 10 Name],Item 11 ID,[Item 11 Name],Item 12 ID,[Item 12 Name],Item 13 ID,[Item 13 Name],Item 14 ID,[Item 14 Name],Item 15 ID,[Item 15 Name],Item 16 ID,[Item 16 Name],Item 17 ID,[Item 17 Name],Item 18 ID,[Item 18 Name],Item 19 ID,[Item 19 Name],Item 20 ID,[Item 20 Name],Item 21 ID,[Item 21 Name],Item 22 ID,[Item 22 Name],Item 23 ID,[Item 23 Name],Item 24 ID,[Item 24 Name],Item 25 ID,[Item 25 Name],Item 26 ID,[Item 26 Name],Item 27 ID,[Item 27 Name],Item 28 ID,[Item 28 Name],Item 29 ID,[Item 29 Name],Item 30 ID,[Item 30 Name],Item 31 ID,[Item 31 Name],Item 32 ID,[Item 32 Name],Item 33 ID,[Item 33 Name],Item 34 ID,[Item 34 Name],Item 35 ID,[Item 35 Name],Item 36 ID,[Item 36 Name],Item 37 ID,[Item 37 Name],Item 38 ID,[Item 38 Name],Item 39 ID,[Item 39 Name],Item 40 ID,[Item 40 Name],Item 41 ID,[Item 41 Name],Item 42 ID,[Item 42 Name],Item 43 ID,[Item 43 Name],Item 44 ID,[Item 44 Name],Item 45 ID,[Item 45 Name],Item 46 ID,[Item 46 Name],Item 47 ID,[Item 47 Name],Item 48 ID,[Item 48 Name]
0,0,0x8c34c8fc,0xdc6e,13,Zacks Waffen,0xdb92,14,Armas de Zack,0xdbe3,14,Armes de Zack,0xd990,15,Zack's Weapons,1,Pirate Cutlass,20,Leather Crescent,86,Light Robe,87,Valuan Uniform,162,Meditation Ring,170,Marocca's Shell,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
1,0,0x8c34c90c,0xdc7b,12,Erins Laden,0xdba0,15,Tienda de Erin,0xdbf1,16,Magasin d'Erin.,0xd99f,14,Erinn's Items,240,Sacri Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
2,0,0x8c34c91c,0xdc87,16,Bonitas Objekte,0xdbaf,16,Cosas de Bonita,0xdc01,16,Bazar de Bonita,0xd9ad,15,Bonita's Items,240,Sacri Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
3,0,0x8c34c91c,0xdc97,16,Bonitas Objekte,0xdbbf,16,Cosas de Bonita,0xdc11,16,Bazar de Bonita,0xd9bc,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
4,0,0x8c34c91c,0xdca7,16,Bonitas Objekte,0xdbcf,16,Cosas de Bonita,0xdc21,16,Bazar de Bonita,0xd9cb,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,290,Chom,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
5,0,0x8c34c91c,0xdcb7,16,Bonitas Objekte,0xdbdf,16,Cosas de Bonita,0xdc31,16,Bazar de Bonita,0xd9da,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,251,Riselem Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,290,Chom,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
6,0,0x8c34c92c,0xdcc7,17,Lors Schiffteile,0xdbef,14,Repuestos Lor,0xdc41,16,"Lor, l'armateur",0xd9e9,17,Lor's Ship Parts,401,Standard Cannon,410,"3"" Cannon",450,Engine Cover,460,Armored Deck,480,Bomb,490,Repair Kit,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
7,0,0x8c34c92c,0xdcd8,17,Lors Schiffteile,0xdbfd,14,Repuestos Lor,0xdc51,16,"Lor, l'armateur",0xd9fa,17,Lor's Ship Parts,409,X Cannon,435,Pyril Cannon,463,Compound Deck,498,Apo Wax,499,Speed Wax,493,Complete Kit,401,Standard Cannon,410,"3"" Cannon",450,Engine Cover,460,Armored Deck,480,Bomb,490,Repair Kit,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
8,0,0x8c34c940,0xdce9,15,Roscoes Waffen,0xdc0b,16,Armas de Roscoe,0xdc61,16,Armes de Roscoe,0xda0b,17,Roscoe's Weapons,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
9,0,0x8c34c940,0xdcf8,15,Roscoes Waffen,0xdc1b,16,Armas de Roscoe,0xdc71,16,Armes de Roscoe,0xda1c,17,Roscoe's Weapons,18,Scout Wing,53,Beak Hand,91,Elastamor,92,Raincoat,172,Crylhound's Claw,174,Thief's Aura,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
10,0,0x8c34c940,0xdd07,15,Roscoes Waffen,0xdc2b,16,Armas de Roscoe,0xdc81,16,Armes de Roscoe,0xda2d,17,Roscoe's Weapons,99,Ixa'takan Armor,100,Naval Uniform,161,Prophet's Sand,163,Moondust Ring,169,Thryllak's Scale,171,Burocca's Shell,18,Scout Wing,53,Beak Hand,91,Elastamor,92,Raincoat,172,Crylhound's Claw,174,Thief's Aura,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
