Entry ID,JP entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[JP descr. pos.],[JP descr. size],JP descr. str.
36,カトラスダンス,6,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3356328,100,ダンスのように軽快なリズムでカトラスを振り回し、\n敵単体に大ダメージを与える乱舞技だ。　消費Ｇ＝７
37,エアロスマッシュ,6,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3356428,100,空高く跳んだヴァイスが、無数のカマイタチを放ち、\n敵全体にダメージを与える。　　　　　　消費Ｇ＝14
38,ジョリーロジャー,6,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3356528,96,カトラスからの電撃で、敵単体を空間に縛り付け、\n天空からＸ状に斬り裂き超絶ダメージ!!　消費Ｇ＝21
39,オメガサイクロン,1,Red,214,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3356624,100,大地を切り取り敵の退路を断ち、灼熱のブーメランで\n敵全体に絶大なダメージを与える。　　　消費Ｇ＝12
40,アルファストーム,1,Red,210,2,"",X,"",0,Damage,39,Enemy line #3,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3356724,92,高速回転するブーメランから炎がほとばしり、\n敵単体とその周辺にダメージを与える。　消費Ｇ＝４
41,ラムダバースト,1,Red,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3356816,96,炎のブーメランが大地を十字に斬り裂き、吹き出す\n爆炎が敵全体に大ダメージを与える。　　消費Ｇ＝８
42,月の封印,5,Silver,221,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3356912,100,銀の月の力を借りて、敵単体にダメージを与えた上、\n極めて高い確率で石化させてしまう。　　消費Ｇ＝３
43,月の波動,5,Silver,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357012,100,巨大化したキュピルが、銀のブレスで敵全体の有利な\n状態を無効化し、かつダメージを与える。消費Ｇ＝６
44,噴！,6,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357112,92,鬼のようにパワーをためた義手で、敵単体を\n力任せに殴り付けてダメージを与える。　消費Ｇ＝10
45,滅！,6,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,3357204,100,大地を隆起させ、落雷を呼び寄せ、巨大化した義手で\n敵単体を叩き潰す。即死の効果もある。　消費Ｇ＝25
