Entry ID,JP Entry Name,Pad. 1,Pad. 2,Pad. 3,Pad. 4,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Effect Value 1,Effect Value 2,Element ID,[Element Name],Type ID,[Type Name],Unk. 1,Unk. 2,State ID,[State Name],State Miss%,Pad. 5,Pad. 6
0,火山弾乱舞,0,0,0,0,0,Super Move,0,Damage,2,All PCs,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
1,石化灰噴霧,0,0,0,0,0,Super Move,8,"Damage, Stone",1,Single PC,16,5,1,Red,0,Physical,16,17,2,Stone,50,0,0
2,フェザーティアー,0,0,0,0,0,Super Move,0,Damage,102,PC Line 3,16,30,0,Green,0,Physical,0,0,0,Poison,0,0,0
3,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,レーザー,0,0,0,0,0,Super Move,0,Damage,1,Single PC,16,20,5,Silver,0,Physical,0,0,0,Poison,0,0,0
5,怒雷,0,0,0,0,0,Super Move,0,Damage,101,PC Line 2,16,30,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
6,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,パニカリング,0,0,0,0,0,Super Move,11,Confusion,1,Single PC,0,0,0,Green,0,Physical,16,17,4,Confusion,0,0,0
8,スリーパリング,0,0,0,0,0,Super Move,9,Sleep,1,Single PC,0,0,0,Green,0,Physical,16,17,3,Sleep,0,0,0
9,ターゲットサーチ,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,欠番,0,0,0,0,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
11,キャノンボール,0,0,0,0,0,Super Move,0,Damage,102,PC Line 3,16,40,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
12,チェックメイト,0,0,0,0,0,Super Move,68,"Damage, Unconscious 2",1,Single PC,16,5,5,Silver,0,Physical,16,17,1,Unconscious,70,0,0
