Entry ID,Item ID,[Item Name],Item Amount
0,240,サプの葉,3
1,240,サプの葉,3
2,244,Ж樹の玉,2
3,513,Gold,150
4,258,月の実,1
5,514,Gold,200
6,490,修復材,3
7,241,サプガンの葉,2
8,258,月の実,1
9,244,Ж樹の玉,3
10,281,睡眠の小箱,1
11,515,Gold,300
12,258,月の実,1
13,122,昔のナスル軍服,1
14,184,カタマンナ石,1
15,55,発掘アーム,1
16,258,月の実,1
17,275,回復の小箱,1
18,260,パワワの種,1
19,240,サプの葉,25
20,264,スピィの種,1
21,258,月の実,1
22,520,Gold,1827
23,258,月の実,1
24,258,月の実,1
25,87,バルアクルー服,3
26,522,Gold,2248
27,258,月の実,1
28,524,Gold,3000
29,131,シルバースーツ,1
30,258,月の実,1
31,258,月の実,1
32,131,シルバースーツ,1
33,258,月の実,1
34,240,サプの葉,1
35,240,サプの葉,2
36,512,Gold,50
37,244,Ж樹の玉,2
38,240,サプの葉,2
39,258,月の実,1
40,241,サプガンの葉,2
41,267,炎の小箱,1
42,125,清掃ツナギ,1
43,249,キュアリン草,3
44,4,処刑のカトラス,1
45,516,Gold,527
46,126,副葬のローブ,1
47,241,サプガンの葉,3
48,25,舞踏のブーメラン,1
49,517,Gold,774
50,258,月の実,1
51,244,Ж樹の玉,5
52,283,伝説のパピルス,1
53,518,Gold,800
54,127,デ・ロッコの鎧,1
55,258,月の実,1
56,262,ストレの種,1
57,411,３インチ副砲改,1
58,54,デ式ドリル,1
59,249,キュアリン草,4
60,252,アパコンデ,4
61,254,リゲコンデ,2
62,253,クイコンデ,4
63,56,ルインアーム,1
64,284,伝説の石仮面,1
65,136,フレアコート,1
66,258,月の実,1
67,261,ウィルの種,1
68,519,Gold,1186
69,243,サプヤクの葉,2
70,10,大地のカトラス,1
71,250,ライ雑草,3
72,243,サプヤクの葉,2
73,17,ガルウィング,1
74,521,Gold,2001
75,247,伝説のパズル,1
76,128,ダカットの服,1
77,244,Ж樹の玉,4
78,124,パーティドレス,2
79,245,Ж樹の大玉,1
80,258,月の実,1
81,258,月の実,1
82,250,ライ雑草,2
83,274,稲妻の小箱,1
84,265,ヒトポの種,1
85,248,伝説の階級章,1
86,258,月の実,1
87,256,伝説の雀牌,1
88,258,月の実,1
89,11,夢追いのカトラス,1
90,266,コジポの種,1
91,129,苔むしたコート,1
92,258,月の実,1
93,255,伝説のバイオリン,1
94,246,ガツガツのキノコ,1
95,523,Gold,2731
96,258,月の実,1
97,19,フリーズカッター,1
98,257,伝説のユタンポ,1
99,62,アイスソード,1
100,258,月の実,1
101,258,月の実,1
102,245,Ж樹の大玉,2
103,525,Gold,4000
104,258,月の実,1
105,242,サプハネの葉,2
106,409,Ｘ主砲,1
107,60,ロイヤルソード,1
108,243,サプヤクの葉,3
109,258,月の実,1
110,293,伝説を受け継ぐ器,1
111,258,月の実,1
112,258,月の実,1
113,263,アジルの種,1
114,258,月の実,1
115,240,サプの葉,4
116,244,Ж樹の玉,4
117,243,サプヤクの葉,4
118,242,サプハネの葉,3
