Entry ID,[Filter],Entry JP Name,Width,Depth,Element ID,[Element Name],Pad 1,Pad 2,Movement Flags,[May Dodge],[Unk Damage],[Unk Ranged],[Unk Melee],[Ranged Atk],[Melee Atk],[Ranged Only],[Take Cover],[In Air],[On Ground],[Reserved],[May Move],Counter%,EXP,Gold,Pad 3,Pad 4,MAXHP,Unk 1,Green,Red,Purple,Blue,Yellow,Silver,Poison,Unconscious,Stone,Sleep,Confusion,Silence,Fatigue,Revival,Weak,State 10,State 11,State 12,State 13,State 14,State 15,Danger,Effect ID,[Effect Name],State ID,[State Name],State Miss%,Pad 5,Level,Will,Vigor,Agile,Quick,Attack,Defense,MagDef,Hit%,Dodge%,Pad 6,Pad 7,Item 1 Prob,Item 1 Amount,Item 1 ID,[Item 1 Name],Item 2 Prob,Item 2 Amount,Item 2 ID,[Item 2 Name],Item 3 Prob,Item 3 Amount,Item 3 ID,[Item 3 Name],Item 4 Prob,Item 4 Amount,Item 4 ID,[Item 4 Name]
0,*,軍艦兵,1,1,4,Yellow,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,10,2,4,-1,-1,34,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,32,10,21,54,48,48,90,15,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
1,*,航行士,1,1,4,Yellow,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,2,8,-1,-1,118,18.0,5,10,10,20,9,11,5,11,10,20,10,0,0,10,9,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,25,20,23,48,38,38,100,20,-1,-1,100,4,240,サプの葉,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
2,*,ミクラステル,1,1,5,Silver,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,10,5,14,-1,-1,97,18.0,10,10,10,10,11,9,0,9,10,10,10,0,0,10,11,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,19,33,5,19,54,57,43,90,10,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
3,*,マロッカ,1,1,3,Blue,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,5,1,2,-1,-1,19,18.0,20,9,11,10,5,10,40,20,20,20,22,0,0,20,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,16,9,5,12,42,52,44,85,10,-1,-1,2,1,182,マロッカの腕輪,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
4,*,アーアペプ,3,3,1,Red,-1,-1,0b111111001111,X,X,X,X,X,X,"","",X,X,X,X,15,4,13,-1,-1,167,18.0,9,9,20,11,10,10,9,10,10,11,20,11,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,2,24,41,10,19,64,52,52,80,5,-1,-1,1,1,176,アレスの腕輪,10,1,243,サプヤクの葉,-1,-1,-1,None,-1,-1,-1,None
7,*,煌術処刑士,1,1,4,Yellow,-1,-1,0b111111110111,X,X,X,X,X,X,X,X,"",X,X,X,5,6,39,-1,-1,229,18.0,5,10,10,20,9,11,5,5,5,5,5,5,0,5,0,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,3,18,40,5,27,51,50,72,60,25,-1,-1,100,1,245,Ж樹の大玉,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
8,*,レトモニケ,1,1,3,Blue,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,3,20,-1,-1,48,18.0,20,9,11,10,5,10,20,10,10,5,11,0,0,10,5,10,10,10,10,10,10,10,69,Sleep + Damage,3,Sleep,90,-1,4,27,38,10,30,64,61,54,80,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
9,*,パラミス,1,1,1,Red,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,20,6,50,-1,-1,85,18.0,9,5,20,11,10,10,9,10,10,11,20,0,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,7,36,51,15,53,84,82,73,90,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
10,*,クグツムシ,1,1,0,Green,-1,-1,0b111111000101,X,X,X,X,X,X,"","","",X,"",X,15,12,80,-1,-1,254,18.0,10,11,9,5,20,10,0,0,10,5,9,0,0,10,20,10,10,10,10,10,10,10,4,Poison + Damage,0,Poison,70,-1,8,40,56,15,36,105,110,60,70,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
11,*,フォカラルガ,1,1,2,Purple,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,15,17,140,-1,-1,265,18.0,11,20,5,9,10,10,11,10,10,9,5,10,0,10,10,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,23,110,132,15,69,220,198,198,75,5,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
13,*,アスフール,1,1,3,Blue,-1,-1,0b111111111111,X,X,X,X,X,X,X,X,X,X,X,X,10,1,2,-1,-1,32,18.0,20,9,11,10,5,10,20,5,10,10,11,9,0,10,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,1,20,18,20,19,40,28,28,95,20,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
14,*,盗掘者,1,1,1,Red,-1,-1,0b111111000111,X,X,X,X,X,X,"","","",X,X,X,25,90,3600,-1,-1,1452,18.0,9,5,20,11,10,10,4,5,5,6,10,0,0,5,5,10,10,10,10,10,10,10,-1,None,0,Poison,0,-1,15,60,109,25,136,171,152,121,120,40,-1,-1,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None,-1,-1,-1,None
