Entry ID,Entry JP Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Buy,Pad 1,Pad 2,Sell%,Pad 3,Attack,Hit%,Limit,SP,Trait 1 ID,[Trait 1 Name],Pad 4,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 5,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 6,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 7,Trait 4 Value,JP Order 1,JP Order 2,Pad 8,Pad 9
400,主砲0,0x30,X,X,"","","",0,Main Cannon,6,Neutral,1000,0,0,50,0,90,60,0,18,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0,0
401,主砲1,0x3e,X,X,X,X,X,0,Main Cannon,6,Neutral,1500,0,0,50,0,160,100,0,16,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,1,1,0,0
402,主砲2,0x3e,X,X,X,X,X,0,Main Cannon,6,Neutral,2000,0,0,50,0,210,180,0,20,2,Defense,0,10,3,MagDef,0,10,4,Quick,0,10,-1,None,0,0,2,2,0,0
403,主砲3,0xe,"","",X,X,X,0,Main Cannon,1,Red,3500,0,0,70,0,210,170,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,3,3,0,0
404,主砲4,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,5000,0,0,50,0,250,250,0,16,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,4,4,0,0
405,主砲5,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,6500,0,0,50,0,300,300,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,5,5,0,0
406,主砲6,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,8000,0,0,50,0,330,300,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,6,6,0,0
407,主砲7,0xe,"","",X,X,X,0,Main Cannon,4,Yellow,9500,0,0,70,0,360,350,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,7,7,0,0
408,主砲8,0xe,"","",X,X,X,0,Main Cannon,6,Neutral,11000,0,0,50,0,500,520,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,8,8,0,0
409,主砲9,0xa,"","",X,"",X,0,Main Cannon,6,Neutral,0,0,0,0,0,300,400,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,9,9,0,0
410,副砲0,0x30,X,X,"","","",1,Sec Cannon,6,Neutral,200,0,0,50,0,40,70,1,10,2,Defense,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,10,10,0,0
411,副砲1,0x3e,X,X,X,X,X,1,Sec Cannon,6,Neutral,400,0,0,50,0,100,80,1,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,11,11,0,0
