Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Ship flags,[LJ0],[LJ1],[D0],[D1],[D2],Type ID,[Type name],Element ID,[Element name],Pad. #0,Attack,Hit%,Limit,Spirit,Feat. ID,[Feat. name],Pad. #1,Feat. value,Pad. #2,Pad. #3,Purchase price,Pad. #4,Pad. #5,Retail price in %,Order by prio.,EU order by ABC,Pad. #6,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
400,0x8c345d74,0x1b50a,12,Hauptkanone,0x1b453,16,Cañón Principal,0x1b756,16,Canon Principal,0x1af95,12,Main Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,35,80,0,4,-1,None,0,0,0,0,450,0,0,50,0,26,0,0x15f61,90,"Hauptkanone der “Little Jack”. Sie ist schon\\nrecht alt, aber Drachma hält sie in Schuss.",0x15da3,93,"Cañón Principal del Little Jack. Es bastante\\nviejo, pero Drachma lo ha conservado muy bien.",0x15f44,85,Le canon principal du Little Jack est plutôt\\nvieux mais Drachma l'a bien entretenu.,0x15bce,89,"The Little Jack's main cannon. It's rather old,\\nbut Drachma has kept it in great shape."
401,0x8c345d80,0x1b516,16,Standard Cannon,0x1b463,15,Cañón Estándar,0x1b766,16,Canon Classique,0x1afa1,16,Standard Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,40,83,0,4,-1,None,0,0,0,0,1000,0,0,50,1,35,0,0x15fbb,86,"Hauptkanone auf Valua-Kriegsschiffen,\\nmanchmal auch auf dem Schwarzmarkt erhältlich.",0x15e00,84,Se usa normalmente en los Acorazados Valuan\\ny puede comprarse en el mercado negro.,0x15f99,94,"Le canon principal utilisé sur les Vaisseaux de\\nGuerre Valuan, parfois vendu au Marché Noir.",0x15c27,83,"The main cannon used on Valuan Warships,\\nsometimes available on the Black Market."
402,0x8c345d90,0x1b526,13,Heavy Cannon,0x1b472,13,Cañón Pesado,0x1b776,12,Canon Lourd,0x1afb1,13,Heavy Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,45,85,0,5,-1,None,0,0,0,0,1900,0,0,50,2,21,0,0x16011,89,"Aufgerüstete Standard-Valua-Kanone, auf leichten\\nKriegsschiffen in Mid Ocean verwendet.",0x15e54,87,Versión avanzada del Cañón Estándar.\\nSe usa en los buques de guerra del Océano Medio.,0x15ff7,92,"Un canon Valuan Classique amélioré, utilisé\\nsur les vaisseaux légers dans l'Océan Central.",0x15c7a,89,"An upgraded version of the Standard Valuan\\nCannon, used on light warships in Mid Ocean."
403,0x8c345da0,0x1b533,14,G-Type Cannon,0x1b47f,13,Cañón Tipo-G,0x1b782,13,Canon Type-G,0x1afbe,14,G-Type Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,50,85,0,5,-1,None,0,0,0,0,3000,0,0,70,3,18,0,0x1606a,93,"Auf Armada-Schiffen beim Sieg über Ixa'taka\\nverwendete Kanonen. Etwas veraltet, aber stark.",0x15eab,94,"Cañones con los que los navíos de la Armada\\nvencieron a Ixa'taka. Anticuados, pero potentes.",0x16053,85,Ont été utilisés par l'Armada pour\\nvaincre Ixa'taka. Un peu désuets mais puissants.,0x15cd3,93,"Cannons used on Armada ships, when they defeated\\nIxa'taka. Slightly outdated, but powerful."
404,0x8c345db0,0x1b541,14,B-Type Cannon,0x1b48c,13,Cañón Tipo-B,0x1b78f,13,Canon Type-B,0x1afcc,14,B-Type Cannon,48,X,X,"","","",0,Main cannon,6,Neutral,0,75,90,0,6,-1,None,0,0,0,0,4000,0,0,50,4,13,0,0x160c7,76,"Aufgerüstete Kanone vom G-Typ, mit demselben\\nDesign, aber mehr Feuerkraft.",0x15f09,96,"Versión avanzada del Cañón Tipo-G. Sus diseños\\nson iguales, pero con mayor potencia de fogueo.",0x160a8,94,"Version améliorée du Canon Type-G, de style\\nidentique avec une plus grande puissance de feu.",0x15d30,94,"An upgraded version of the G-Type Cannon, with\\nthe same basic design, but greater firepower."
405,0x8c345dc0,0x1b54f,17,Prototype Cannon,0x1b499,16,Cañón Prototipo,0x1b79c,16,Canon Prototype,0x1afda,17,Prototype Cannon,14,"","",X,X,X,0,Main cannon,6,Neutral,0,100,85,0,6,-1,None,0,0,0,0,5000,0,0,50,5,31,0,0x16113,79,"Drehbare Kanone, die Ziele verfolgen kann,\\naber nicht viel Schaden anrichtet.",0x15f69,88,Cañón rotante que localiza y sigue la pista de\\nlos enemigos. No causa mucho deterioro.,0x16106,78,"Un canon rotatif qui peut traquer les cibles\\nennemies, mais peu destructeur.",0x15d8e,77,"A rotating cannon that can track enemy targets,\\nbut doesn't do much damage."
406,0x8c345dd4,0x1b560,16,Advanced Cannon,0x1b4a9,15,Cañón Avanzado,0x1b7ac,16,Canon Supérieur,0x1afeb,16,Advanced Cannon,14,"","",X,X,X,0,Main cannon,6,Neutral,0,150,90,0,7,-1,None,0,0,0,0,5500,0,0,50,6,10,0,0x16162,91,"Neue, drehbare Kanone, für Valua-Zerstörer ent-\\nwickelt. Auf dem Schwarzmarkt erhältlich.",0x15fc1,94,"Cañón principal rotante, se usa en destructores\\nValuan. Está disponible en el mercado negro.",0x16154,93,Nouveau canon rotatif principal développé pour\\nles destroyers Valuan. Vendu au Marché Noir.,0x15ddb,92,A new rotating main cannon developed for Valuan\\nDestroyers. Available on the Black Market.
407,0x8c345de4,0x1b570,14,Yamato Spirit,0x1b4b8,16,Espíritu Yamato,0x1b7bc,14,Esprit Yamato,0x1affb,14,Yamato Spirit,14,"","",X,X,X,0,Main cannon,6,Neutral,0,250,90,0,8,-1,None,0,0,0,0,6700,0,0,70,7,39,0,0x161bd,78,"Große, mächtige Kanone, in der traditionellen\\nYafutoman-Technik hergestellt.",0x1601f,84,Cañón grande y potente. Está fabricado\\nsiguiendo la tradición artesanal Yafutoman.,0x161b1,74,Un grand canon puissant réalisé selon la\\ntradition artisanale Yafutoman.,0x15e37,75,A large and powerful cannon based on traditional\\nYafutoman craftsmanship.
408,0x8c345df4,0x1b57e,15,Ancient Cannon,0x1b4c8,16,Cañón Ancestral,0x1b7ca,13,Canon Ancien,0x1b009,15,Ancient Cannon,14,"","",X,X,X,0,Main cannon,6,Neutral,0,300,95,0,9,-1,None,0,0,0,0,8500,0,0,50,8,11,0,0x1620b,52,Haltbare Kanone aus altem Metall der Alten Welt.\\n ,0x16073,81,Resistente cañón construido con metales\\nantiguos procedentes del Mundo Antiguo.,0x161fb,61,Un canon solide fabriqué avec des métaux\\nde l'Ancien Monde.,0x15e82,63,A durable cannon made from ancient metals from\\nthe Old World.
409,0x8c345e04,0x1b58d,9,X Cannon,0x1b4d8,8,Cañón X,0x1b7d7,8,Canon X,0x1b018,9,X Cannon,14,"","",X,X,X,0,Main cannon,6,Neutral,0,400,97,0,10,-1,None,0,0,0,0,11000,0,0,0,9,38,0,0x1623f,85,"Sehr große Kanone, mit der große Schiffe kleine\\nSchiffe vom Himmel schießen können.",0x160c4,96,Enorme cañón que permite a los navíos grandes\\ndestruir las naves pequeñas que surcan el cielo.,0x16238,90,Un gros canon qui permet aux vaisseaux lourds\\nde tirer meilleur parti de leur puissance.,0x15ec1,84,A very large cannon that enables large ships to \\nblast small ships out of the sky.
