Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Pad. #0,Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State hit%,Pad. #1,Pad. #2
0,2352310616,5060,11,Vulkanstoß,5047,17,Ráfaga Volcánica,5050,13,Volcan Blast,5044,15,Volcanic Blast,0,Super Move,0,Damage,2,All characters,0,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
1,2352310632,5071,12,Aschensturm,5064,17,Ráfaga de ceniza,5063,16,Orage de Cendre,5059,13,Cinder Storm,0,Super Move,8,Add Stone + Damage,1,One character,0,16,5,1,Red,0,Physical,16,17,2,Stone,50,0,0
2,2352310648,5083,13,Federschnitt,5081,12,Rasgaplumas,5079,17,Plume Tranchante,5072,14,Feather Slash,0,Super Move,0,Damage,102,Character line #3,0,16,30,0,Green,0,Physical,0,0,0,Poison,0,0,0
3,2352310664,5096,9,KETSUBAN,5093,9,KETSUBAN,5096,9,KETSUBAN,5086,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,2352310672,5105,6,Laser,5102,6,Láser,5105,6,Laser,5095,6,Laser,0,Super Move,0,Damage,1,One character,0,16,20,5,Silver,0,Physical,0,0,0,Poison,0,0,0
5,2352310680,5111,13,Donnerwetter,5108,16,Trueno de Furia,5111,15,Tonnerre Furie,5101,16,Thunder of Fury,0,Super Move,0,Damage,101,Character line #2,0,16,30,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
6,2352310664,5124,9,KETSUBAN,5124,9,KETSUBAN,5126,9,KETSUBAN,5117,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,2352310696,5133,11,Panikkreis,5133,17,Círculo de Miedo,5135,15,Cercle de Peur,5126,16,Circle of Panic,0,Super Move,11,Add Confusion,1,One character,0,0,0,0,Green,0,Physical,16,17,4,Confusion,0,0,0
8,2352310712,5144,11,Schlafring,5150,17,Anillo del Sueño,5150,17,Bague de Sommeil,5142,14,Ring of Sleep,0,Super Move,9,Add Sleep,1,One character,0,0,0,0,Green,0,Physical,16,17,3,Sleep,0,0,0
9,2352310728,5155,10,Zielsuche,5167,16,Buscar Objetivo,5167,16,Recherche Cible,5156,14,Target Search,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,2352310664,5165,9,KETSUBAN,5183,9,KETSUBAN,5183,9,KETSUBAN,5170,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
11,2352310744,5174,8,Attacke,5192,7,Ataque,5192,14,Ruée Mortelle,5179,7,Tackle,0,Super Move,0,Damage,102,Character line #3,0,16,40,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
12,2352310752,5182,12,Todesschlag,5199,13,Golpe Mortal,5206,12,Coup Mortel,5186,13,Death Strike,0,Super Move,68,Add Unconscious + Damage #2,1,One character,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,70,0,0
13,2352310768,5194,6,Laden,5212,7,Ataque,5218,7,Charge,5199,7,Charge,0,Super Move,-1,None,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,2352310776,5200,8,Giftgas,5219,13,Gas Venenoso,5225,15,Gaz Empoisonné,5206,11,Poison Gas,0,Super Move,4,Add Poison + Damage,96,Character area #1,0,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
15,2352310788,5208,10,Steinatem,5232,16,Brisa de Piedra,5240,15,Souffle Pierre,5217,13,Stone Breath,0,Super Move,8,Add Stone + Damage,1,One character,0,16,15,0,Green,0,Physical,16,17,2,Stone,60,0,0
16,2352310664,5218,9,KETSUBAN,5248,9,KETSUBAN,5255,9,KETSUBAN,5230,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,2352310804,5227,16,Zufallsbeschuss,5257,14,Fuego al Azar,5264,14,Tir aléatoire,5239,12,Random Fire,0,Super Move,0,Damage,98,Character area #3,0,16,25,1,Red,0,Physical,0,0,0,Poison,0,0,0
18,2352310664,5243,9,KETSUBAN,5271,9,KETSUBAN,5278,9,KETSUBAN,5251,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
19,2352310816,5252,15,Abwehrstellung,5280,15,Contraposición,5287,8,Défense,5260,15,Counter Stance,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
20,2352310832,5267,14,Kraft sammeln,5295,17,Recuperar Fuerza,5295,17,Rassembler Force,5275,16,Gather Strength,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
21,2352310816,5281,15,Abwehrstellung,5312,15,Contraposición,5312,8,Défense,5291,15,Counter Stance,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
22,2352310848,5296,10,Explosion,5327,10,Explosión,5320,10,Explosion,5306,6,Burst,0,Super Move,0,Damage,97,Character area #2,0,16,40,1,Red,0,Physical,0,0,0,Poison,0,0,0
23,2352310856,5306,9,Terminal,5337,9,Terminal,5330,9,Terminal,5312,9,Terminal,0,Super Move,0,Damage,1,One character,0,16,55,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
24,2352310868,5315,9,Devolver,5346,8,Delegar,5339,9,Devolver,5321,9,Devolver,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
25,2352310880,5324,14,Giftige Galle,5354,15,Furia Venenosa,5348,15,Bile Venimeuse,5330,15,Poisonous Bile,0,Super Move,4,Add Poison + Damage,2,All characters,0,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
26,2352310896,5338,11,Todesblüte,5369,15,Flor de Muerte,5363,16,Éclosion Tueuse,5345,14,Death Blossom,0,Super Move,0,Damage,201,Characters nearby #2,0,16,20,3,Blue,0,Physical,0,0,0,Poison,0,0,0
27,2352310912,5349,13,Kanonenfeuer,5384,15,Fuego de Cañón,5379,13,Tir de Canon,5359,12,Cannon Fire,0,Super Move,0,Damage,1,One character,0,16,50,1,Red,0,Physical,0,0,0,Poison,0,0,0
28,2352310924,5362,17,Verbündete rufen,5399,17,Convocar aliados,5392,15,Appel d'alliés,5371,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,27,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
29,2352310924,5379,17,Verbündete rufen,5416,17,Convocar aliados,5407,15,Appel d'alliés,5383,12,Call Allies,0,Super Move,43,Call enemy,0,None,0,31,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
30,2352310936,5396,8,Radstoß,5433,15,Onda expansiva,5422,14,Obus explosif,5395,12,Wheel Blast,0,Super Move,0,Damage,97,Character area #2,0,16,35,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
31,2352310948,5404,10,Laserstoß,5448,13,Ráfaga láser,5436,16,Explosion Laser,5407,12,Laser Blast,0,Super Move,8,Add Stone + Damage,1,One character,0,16,5,6,Neutral,0,Physical,16,17,2,Stone,20,0,0
32,2352310960,5414,12,Crypt-Laser,5461,16,Láser de Cripta,5452,13,Laser Crypte,5419,12,Crypt Laser,0,Super Move,68,Add Unconscious + Damage #2,1,One character,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
33,2352310972,5426,11,Todeslaser,5477,16,Láser Mortífero,5465,13,Laser Mortel,5431,12,Death Laser,0,Super Move,68,Add Unconscious + Damage #2,1,One character,0,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
34,2352310984,5437,16,Schadenaufnahme,5493,13,Evaluar Daño,5478,15,Estimer Dégâts,5443,14,Assess Damage,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
35,2352310664,5453,9,KETSUBAN,5506,9,KETSUBAN,5493,9,KETSUBAN,5457,9,KETSUBAN,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
36,2352311000,5462,10,Stahlhaut,5515,12,Pieldeacero,5502,13,Peau d'acier,5466,10,Steelskin,0,Super Move,67,Invulnerable,5,User,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
37,2352311012,5472,6,Fokus,5527,8,Enfoque,5515,6,Focus,5476,6,Focus,0,Super Move,-1,None,0,None,0,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
