Entry ID,Entry US Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Type ID,[Type Name],Element ID,[Element Name],Attack,Hit%,Limit,SP,Trait ID,[Trait Name],Pad 1,Trait Value,Pad 2,Pad 3,Buy,Pad 4,Pad 5,Sell%,US Order 1,US Order 2,Pad 6,[US Descr Pos],[US Descr Size],US Descr Str
400,Main Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,35,80,0,4,-1,None,0,0,0,0,450,0,0,50,0,0,0,0x338c38,88,"The Little Jack's main cannon. It's rather old,\nbut Drachma has kept it in great shape."
401,Standard Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,40,83,0,4,-1,None,0,0,0,0,1000,0,0,50,1,1,0,0x338c90,84,"The main cannon used on Valuan Warships,\nsometimes available on the Black Market."
402,Heavy Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,45,85,0,5,-1,None,0,0,0,0,1900,0,0,50,2,2,0,0x338ce4,88,"An upgraded version of the Standard Valuan\nCannon, used on light warships in Mid Ocean."
403,G-Type Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,50,85,0,5,-1,None,0,0,0,0,3000,0,0,70,3,3,0,0x338d3c,92,"Cannons used on Armada ships, when they defeated\nIxa'taka. Slightly outdated, but powerful."
404,B-Type Cannon,0b00110000,X,X,"","","",0,Main Cannon,6,Neutral,75,90,0,6,-1,None,0,0,0,0,4000,0,0,50,4,4,0,0x338d98,96,"An upgraded version of the G-Type Cannon, with\nthe same basic design, but greater firepower."
405,Prototype Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,100,85,0,6,-1,None,0,0,0,0,5000,0,0,50,5,5,0,0x338df8,76,"A rotating cannon that can track enemy targets,\nbut doesn't do much damage."
406,Advanced Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,150,90,0,7,-1,None,0,0,0,0,5500,0,0,50,6,6,0,0x338e44,92,A new rotating main cannon developed for Valuan\nDestroyers. Available on the Black Market.
407,Yamato Spirit,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,250,90,0,8,-1,None,0,0,0,0,6700,0,0,70,7,7,0,0x338ea0,76,A large and powerful cannon based on traditional\nYafutoman craftmanship.
408,Ancient Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,300,95,0,9,-1,None,0,0,0,0,8500,0,0,50,8,8,0,0x338eec,64,A durable cannon made from ancient metals from\nthe Old World.
409,X Cannon,0b00001110,"","",X,X,X,0,Main Cannon,6,Neutral,400,97,0,10,-1,None,0,0,0,0,11000,0,0,0,9,9,0,0x338f2c,84,A very large cannon that enables large ships to \nblast small ships out of the sky.
410,3” Cannon,0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,70,80,1,2,-1,None,0,0,0,0,700,0,0,50,10,10,0,0x338f80,56,A small caliber secondary cannon for smaller \nships.
411,3” Blaster,0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,80,83,1,2,-1,None,0,0,0,0,1015,0,0,50,11,11,0,0x338fb8,84,A secondary cannon for the Little Jack. An\nupgraded version of the 3 Inch Cannon.
412,5” Cannon,0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,90,80,1,3,-1,None,0,0,0,0,1330,0,0,50,12,12,0,0x33900c,80,A secondary cannon for the Little Jack. More\npowerful than the 3 Inch Cannon.
413,8” Cannon,0b00110000,X,X,"","","",1,Sec Cannon,6,Neutral,100,82,2,3,-1,None,0,0,0,0,2100,0,0,50,13,13,0,0x33905c,80,A secondary cannon for the Little Jack.\nA modified version of the Main Cannon.
414,12” Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,170,77,2,4,-1,None,0,0,0,0,3500,0,0,50,14,14,0,0x3390ac,56,A high-caliber secondary cannon developed for\nwarships.
415,10” Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,200,82,3,4,-1,None,0,0,0,0,3640,0,0,50,15,15,0,0x3390e4,68,"The first 10 Inch secondary cannon, developed\nby the Nasrean Navy."
416,10” Cannon Coil,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,220,89,3,4,-1,None,0,0,0,0,3710,0,0,50,16,16,0,0x339128,80,A 10 inch secondary cannon with a reinforced\nbarrel that helps to absorb shock.
417,12” Blaster,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,250,85,2,5,-1,None,0,0,0,0,3850,0,0,50,17,17,0,0x339178,60,"A high-caliber secondary cannon, only used\non larger ships."
418,3' Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,280,87,3,6,-1,None,0,0,0,0,4690,0,0,50,18,18,0,0x3391b4,76,"A secondary cannon developed in Yafutoma,\ninspired by cylindrical plants."
419,5' Cannon,0b00001110,"","",X,X,X,1,Sec Cannon,6,Neutral,330,90,2,6,-1,None,0,0,0,0,5110,0,0,50,19,19,0,0x339200,92,"A secondary cannon used by the Yafutoman Navy.\nIt is a short-range, high-powered cannon."
420,Light Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,120,60,2,3,-1,None,0,0,0,0,1520,0,0,50,20,20,0,0x33925c,96,"A light torpedo, well-suited for smaller ships.\nAfter launch, it attacks its target from above."
421,Guided Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,120,70,2,2,-1,None,0,0,0,0,1760,0,0,50,21,21,0,0x3392bc,96,A torpedo equippable by the Little Jack. Has the\nhighest chance to hit out of all the torpedos.
422,Shock Torpedo,0b00110000,X,X,"","","",2,Torpedo,6,Neutral,160,55,2,3,-1,None,0,0,0,0,2000,0,0,50,22,22,0,0x33931c,92,"A torpedo equippable by the Little Jack.\nAfter launch, it charges its target from above."
423,Hunter Torpedo,0b00110000,X,X,"","","",2,Torpedo,0,Green,160,60,3,3,-1,None,0,0,0,0,2240,0,0,50,23,23,0,0x339378,84,A torpedo equippable by the Little Jack. Has\ngreater range than standard torpedos.
424,Valuan Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,220,60,2,3,-1,None,0,0,0,0,2400,0,0,50,24,24,0,0x3393cc,76,A torpedo used by Valua against the Nasrean Navy\nduring the Valua-Nasr War.
425,Heavy Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,250,50,3,4,-1,None,0,0,0,0,4400,0,0,50,25,25,0,0x339418,84,"A large torpedo with the same firepower as a\nmain cannon, but has lower accuracy."
426,Serpent Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,300,65,2,4,-1,None,0,0,0,0,5360,0,0,50,26,26,0,0x33946c,96,"A medium-sized torpedo that goes after a target\nlike a snake. Short range, but very powerful."
427,Flash Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,350,70,3,5,-1,None,0,0,0,0,6320,0,0,50,27,27,0,0x3394cc,76,A small torpedo that packs a big punch. Has long\nrange and good firepower.
428,Arcwhale Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,400,70,3,6,-1,None,0,0,0,0,6800,0,0,50,28,28,0,0x339518,88,"A torpedo with both good range and destructive\npower. But, uses a high level of Guts."
429,Dragon Torpedo,0b00001110,"","",X,X,X,2,Torpedo,6,Neutral,450,60,2,7,-1,None,0,0,0,0,8800,0,0,50,29,29,0,0x339570,96,A torpedo that emphasizes firepower more than\nrange. Does a great deal of damage when it hits.
430,Harpoon Cannon,0b00100000,X,"","","","",3,Special,6,Neutral,350,65535,0,15,-1,None,0,0,0,0,0,0,0,0,30,30,0,0x3395d0,72,The Little Jack's ultimate weapon. It was\nacquired to destroy Rhaknam.
431,MoonStone Cannon,0b00001110,"","",X,X,X,3,Special,6,Neutral,800,65535,0,20,-1,None,0,0,0,0,0,0,0,0,31,31,0,0x339618,96,The ultimate weapon of the Delphinus. Builds up\nMoon energy and releases it in a massive blast.
432,Moon Cannon,0b00111110,X,X,X,X,X,0,Main Cannon,6,Neutral,500,99,0,9,-1,None,0,0,0,0,1000,0,0,100,32,32,0,0x339678,72,A main cannon that uses both Moonstone energy\nand gunpowder to fire.
433,Moon Gun,0b00111110,X,X,X,X,X,1,Sec Cannon,6,Neutral,400,99,3,5,-1,None,0,0,0,0,1000,0,0,100,33,33,0,0x3396c0,76,A secondary cannon relies on Moonstone energy\ninstead of draining Spirit.
434,Moon Torpedo,0b00111110,X,X,X,X,X,2,Torpedo,6,Neutral,600,75,3,3,-1,None,0,0,0,0,1000,0,0,100,34,34,0,0x33970c,72,A torpedo that uses Moonstone energy to keep\nSpirit consumption low.
435,Pyril Cannon,0b00001110,"","",X,X,X,0,Main Cannon,1,Red,200,120,0,6,-1,None,0,0,0,0,13200,0,0,50,35,35,0,0x339754,84,"A rotating cannon designed for battleships.\nHas Red properties, and high accuracy."
