Entry ID,Entry US Name,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,US Order 1,US Order 2,Buy,Pad 1,Pad 2,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[US Descr Pos],[US Descr Size],US Descr Str
240,Sap Leaf,0b0110,X,X,"",31,Recover HP,1,Single PC,100,75,1,18,20,0,0,250,-1,None,-1,None,0,Poison,0,0x2eb0ec,56,A leaf of a plant that recovers an ally's HP by\n250p.
241,Sapres Leaf,0b0110,X,X,"",31,Recover HP,1,Single PC,100,75,2,19,40,0,0,500,-1,None,-1,None,0,Poison,0,0x2eb124,88,A leaf of a plant that grows in the northern\ncontinents. It heals an ally's HP by 500p.
242,Saprum Leaf,0b0110,X,X,"",31,Recover HP,2,All PCs,100,75,3,20,80,0,0,500,-1,None,-1,None,0,Poison,0,0x2eb17c,92,A leaf of a plant that can only be picked in the\ntropics. It heals all allies' HP by 500p.
243,Sapocine Leaf,0b0110,X,X,"",32,Recover HP of 100%,1,Single PC,100,75,4,21,100,0,0,9999,-1,None,-1,None,0,Poison,0,0x2eb1d8,92,A leaf of a rare plant found in the Eastern\nislands. It can completely heal an ally's HP.
244,Amber,0b0101,X,"",X,48,Recover MP,1,Single PC,100,75,5,23,15,0,0,1,-1,None,-1,None,0,Poison,0,0x2eb234,96,A piece of fossilized resin that came from an\nancient magical tree. It recovers your MP by 1p.
245,Amber Ball,0b0101,X,"",X,48,Recover MP,1,Single PC,100,75,6,22,150,0,0,10,-1,None,-1,None,0,Poison,0,0x2eb294,88,A large ball of amber that came from an ancient\nmagic tree. It recovers your MP by 10p.
246,ガッツ回復薬,0b0101,X,"",X,35,Recover SP,2,All PCs,100,50,7,9,500,0,0,99,-1,None,-1,None,0,Poison,0,0x2eb2ec,24,ガッツを回復します。\n
247,Ｈ＆Ｍ回復１薬,0b0101,X,"",X,50,Recover HP & MP by 100% A,1,Single PC,100,50,8,1,100,0,0,500,10,???,0,Physical,0,Poison,0,0x2eb304,28,ＨＰとＭＰを回復します。\n
248,Ｈ＆Ｍ回復２薬,0b0101,X,"",X,51,Recover HP & MP by 100% B,1,Single PC,100,50,9,2,400,0,0,9999,99,???,0,Physical,0,Poison,0,0x2eb320,36,ＨＰとＭＰをたくさん回復します。\n
249,治癒薬,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,100,50,10,31,30,0,0,0,0,Green,0,Physical,-1,None,-1,0x2eb344,32,戦闘中の不利な状態を直します。\n
250,復活１薬,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,100,50,11,39,60,0,0,0,0,Green,0,Physical,-1,None,69,0x2eb364,48,戦闘不能のキャラを５０％の確率で復活させます。\n
