Entry ID,Entry US Name,Element ID,[Element Name],Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 1,Pad 2,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 3,Pad 4,Pad 5,Ship Occ ID,[Ship Occ Name],Pad 6,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 7,Pad 8,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str,[Ship US Descr Pos],[Ship US Descr Size],Ship US Descr Str
0,Increm,1,Red,120,0b0011,"",X,X,21,Incr Attack & Defense,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,107,Damage,2,2,0,-1,0,0,0,0x2e9848,80,"Increases power of one ally.
Only Vice's super move will increase power too!!",0x2ed4ec,48,"Increases the attack power of all your
cannons."
1,アポス,1,Red,121,0b0011,"",X,X,21,Incr Attack & Defense,2,All PCs,6,Magic,0,5,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,107,Damage,4,4,0,-1,0,0,0,0x2e9898,72,"パワーアップЖ術の第２段階です。
ＰＣ全員の攻撃力、防御力が上がります。",0x2ed51c,56,"全ての砲の攻撃力が上昇する。
長時間効果が持続するぞ！"
2,サイレシャ,2,Purple,20,0b0011,"",X,X,12,Silence,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,5,Silence,40,0,0,0,1,Always,0,117,Recover MP,4,4,0,-1,0,0,0,0x2e98e0,52,"沈黙Ж術です。
ＥＣ単体のЖ術を一定確率で封じます。",0x2ed554,68,"沈黙の弾を発射し、敵のЖ術を封じる。
Ж術を使ってくる敵に有効だ！"
3,Panika,2,Purple,130,0b0010,"",X,"",11,Confusion,3,Single EC,6,Magic,0,3,0,0,0,0,Physical,4,Confusion,60,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9914,80,"Confuses one enemy. The confused enemy will 
attack whoever is closest to him!!",0x2ed598,20,"使用できません。
"
4,ダウナ,4,Yellow,140,0b0011,"",X,X,26,Decr All Attr,3,Single EC,6,Magic,0,2,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,2,4,0,-1,0,0,0,0x2e9964,76,"能力値ダウンЖ術の第１段階です。
ＥＣ単体の全能力値を一定確率で下げます。",0x2ed5ac,76,"能力低下弾を発射し、敵１体の能力を下げる。
硬くて歯が立たない敵に有効だぞ！"
5,ダウノス,4,Yellow,141,0b0011,"",X,X,26,Decr All Attr,4,All ECs,6,Magic,0,5,0,0,0,0,Physical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,4,4,0,-1,0,0,0,0x2e99b0,76,"能力値ダウンЖ術の第２段階です。
ＥＣ全体の全能力値を一定確率で下げます。",0x2ed5f8,56,"強力な能力低下弾を発射する。
長時間効果が持続するぞ！"
6,Sacri,0,Green,40,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,250,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,2,-1,1000,-1,0,0,0,0x2e99fc,80,"Replenishes one ally's HP by 250p.
It's very useful during the early stages!",0x2ed630,72,"Heals a little of the ship's HP.It only uses
a small amount of Spirit"
7,サプリィ,0,Green,41,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,5,0,0,1000,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,4,-1,4000,-1,0,0,0,0x2e9a4c,64,"ＨＰ回復Ж術の第２段階です。
ＰＣ１人のＨＰを中量回復します。",0x2ed678,64,"Heals a large portion of the ship's HP.
Use it when low on HP."
8,Sacrum,0,Green,42,0b0111,X,X,X,31,Recover HP,2,All PCs,6,Magic,0,5,0,0,500,0,Physical,0,Poison,0,0,0,0,1,Always,0,100,Recover HP,6,-1,12000,-1,0,0,0,0x2e9a8c,96,"Heals all allies' HP by 500p. It's a necessity 
when fighting enemies that use group-attacks.",0x2ed6b8,72,"船のＨＰが一定期間回復し続ける。
少々のダメージは気にならなくなるぞ！"
9,サプローネ,0,Green,43,0b0111,X,X,X,32,Recover HP of 100%,1,Single PC,6,Magic,0,12,0,0,9999,0,Physical,0,Poison,0,0,0,0,1,Always,0,101,Recover HP by 100%,8,-1,0,-1,0,0,0,0x2e9aec,64,"ＨＰ回復Ж術の第４段階です。
ＰＣ１人のＨＰを完全回復します。",0x2ed700,68,"船のＨＰが完全に回復する。
撃沈されそうな時でも一気に回復するぞ！"
10,Noxi,0,Green,50,0b0010,"",X,"",4,Poison + Damage,3,Single EC,6,Magic,0,2,0,0,20,1,Magical,0,Poison,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9b2c,76,"Damages one enemy, poisoning him.
Use it in the first half of the battle!",0x0,0,""
11,プワゾーク,0,Green,51,0b0010,"",X,"",4,Poison + Damage,4,All ECs,6,Magic,0,6,0,0,130,1,Magical,0,Poison,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9b78,72,"毒攻撃Ж術の第２段階です。
ＥＣ全体にダメージと一定確率で毒を与えます。",0x0,0,""
12,スリーパ,3,Blue,110,0b0010,"",X,"",9,Sleep,4,All ECs,6,Magic,0,2,0,0,0,0,Physical,3,Sleep,50,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9bc0,48,"睡眠Ж術です。
ＥＣ全体を一定確率で眠らせます。",0x0,0,""
13,クイッカ,3,Blue,70,0b0011,"",X,X,20,Incr Quick,2,All PCs,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,1,Always,0,104,Incr Quick,2,4,0,-1,0,0,0,0x2e9bf0,56,"すばやさアップЖ術です。
ＰＣ１人の素早さを上げます。",0x2ed744,72,"エンジンの出力を上げてスピードを上げる。
動きの速い敵に対して有効だ！"
14,キュア,5,Silver,80,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,6,Magic,0,2,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9c28,60,"治療Ж術です。
ＰＣ１人の毒、眠り、混乱を確実に解除します。",0x0,0,""
15,ライザ,5,Silver,90,0b0010,"",X,"",27,Revive With HP of 50%,1,Single PC,6,Magic,0,5,0,0,0,0,Physical,-1,None,40,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9c64,68,"復活Ж術の第１段階です。
ＰＣ１人の戦闘不能を一定確率で解除します。",0x0,0,""
16,ライゾン,5,Silver,91,0b0010,"",X,"",28,Revive With HP of 100%,1,Single PC,6,Magic,0,10,0,0,0,0,Physical,-1,None,0,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9ca8,64,"復活Ж術の第２段階です。
ＰＣ１人の戦闘不能を確実に解除します。",0x0,0,""
17,ジェダ,5,Silver,100,0b0010,"",X,"",5,Unconscious,3,Single EC,6,Magic,0,4,0,0,0,0,Physical,1,Unconscious,70,0,0,0,-1,Never,0,-1,None,0,-1,0,-1,0,0,0,0x2e9ce8,64,"即死Ж術の第１段階です。
ＥＣ単体を一定確率で戦闘不能にします。",0x0,0,""
