Entry ID,Entry US Name,PS Flags,[L1],[L2],[D1],[D2],[D3],Trait 1 ID,[Trait 1 Name],Pad 1,Trait 1 Value,Trait 2 ID,[Trait 2 Name],Pad 2,Trait 2 Value,Trait 3 ID,[Trait 3 Name],Pad 3,Trait 3 Value,Trait 4 ID,[Trait 4 Name],Pad 4,Trait 4 Value,Pad 5,Pad 6,Buy,Pad 7,Pad 8,Sell%,US Order 1,US Order 2,Pad 9,[US Descr Pos],[US Descr Size],US Descr Str
440,ドクロの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1000,0,0,50,0,0,0,0x2ec5b8,48,"Ж術防御力が上がる船首像。
ドクロのデザイン。"
441,鳥の船首像,0b00111110,X,X,X,X,X,3,MagDef,0,40,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1200,0,0,50,1,1,0,0x2ec5e8,52,"Ж術防御力が上がる船首像。
伝説の赤い鳥のデザイン。"
442,赤き船首像,0b00111110,X,X,X,X,X,3,MagDef,0,60,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,1500,0,0,50,2,2,0,0x2ec61c,72,"Ж術防御力が上がる船首像。
ピラミス神殿にあるスフィンクスのデザイン。"
443,クジラの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,100,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,2000,0,0,50,3,3,0,0x2ec664,52,"Ж術防御力が上がる船首像。
幻のクジラのデザイン。"
444,ケチャの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,115,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,3000,0,0,50,4,4,0,0x2ec698,48,"Ж術防御力が上がる船首像。
ケチャ様のデザイン。"
445,ライオンの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,120,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,5000,0,0,50,5,5,0,0x2ec6c8,48,"Ж術防御力が上がる船首像。
バルア帝国の紋章。"
446,鳳凰の船首像,0b00111110,X,X,X,X,X,3,MagDef,0,180,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7000,0,0,50,6,6,0,0x2ec6f8,64,"Ж術防御力が上がる船首像。
ヤフトマーに伝わる神鳥のデザイン。"
447,女神の船首像,0b00111110,X,X,X,X,X,3,MagDef,0,150,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,7000,0,0,50,7,7,0,0x2ec738,72,"Ж術防御力が上がる船首像。
勇気、努力、勝利を呼ぶ３人の女神のデザイン。"
448,ヴァイスの船首像,0b00111110,X,X,X,X,X,3,MagDef,0,200,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,20,0,0,50,8,8,0,0x2ec780,44,"Ж術防御力が上がる船首像。
ヴァイスの彫像。"
449,きらめく船首像,0b00111110,X,X,X,X,X,3,MagDef,0,250,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,9000,0,0,50,9,9,0,0x2ec7ac,68,"Ж術防御力が上がる船首像。
朝日をあらわす光る球が先端についている。"
