Entry ID,Entry US Name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,Arm 1 Type ID,[Arm 1 Type name],Arm 1 Attack,Arm 1 Range,Arm 1 Hit%,Arm 1 Element ID,[Arm 1 Element Name],Arm 2 Type ID,[Arm 2 Type name],Arm 2 Attack,Arm 2 Range,Arm 2 Hit%,Arm 2 Element ID,[Arm 2 Element Name],Arm 3 Type ID,[Arm 3 Type name],Arm 3 Attack,Arm 3 Range,Arm 3 Hit%,Arm 3 Element ID,[Arm 3 Element Name],Arm 4 Type ID,[Arm 4 Type name],Arm 4 Attack,Arm 4 Range,Arm 4 Hit%,Arm 4 Element ID,[Arm 4 Element Name],Pad 1,Pad 2,Pad 3,Pad 4,Pad 5,Pad 6,EXP,Gold,Item Drop ID,[Item Drop Name],Item ID,[Item Name]
0,バルア駆逐艦,2000,20,40,20,80,5,25,10,10,20,10,10,10,0,Main Cannon,300,0,150,6,Neutral,1,Sec Cannon,200,1,180,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,100,2,10%,480,爆弾
1,バルアЖ駆逐艦,2000,35,40,40,80,7,25,10,9,11,10,10,10,0,Main Cannon,300,0,150,6,Neutral,1,Sec Cannon,200,1,180,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,100,2,10%,480,爆弾
2,バルア巡洋艦,2500,30,70,40,50,5,30,10,10,11,10,10,10,0,Main Cannon,360,0,180,6,Neutral,1,Sec Cannon,300,2,200,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,200,2,10%,480,爆弾
3,バルアЖ巡洋艦,2500,40,70,60,50,8,30,10,9,10,10,5,10,0,Main Cannon,360,0,180,6,Neutral,1,Sec Cannon,300,2,200,6,Neutral,-1,None,-1,-1,-1,-1,None,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,200,2,10%,480,爆弾
4,Baluan Battleship,4000,50,100,100,50,10,50,10,10,10,10,10,10,0,Main Cannon,450,0,250,6,Neutral,1,Sec Cannon,220,2,150,6,Neutral,2,Torpedo,400,2,80,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,150,300,-1,None,-1,None
5,バルアЖ戦艦,4000,60,100,120,50,14,50,10,5,10,10,5,10,0,Main Cannon,450,0,250,6,Neutral,1,Sec Cannon,220,2,150,6,Neutral,2,Torpedo,400,2,80,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,150,300,-1,None,-1,None
6,バルア新鋭艦,6000,120,150,120,150,10,20,10,10,10,10,10,10,0,Main Cannon,550,0,300,6,Neutral,1,Sec Cannon,260,3,200,6,Neutral,2,Torpedo,480,3,200,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,400,2,10%,480,爆弾
7,バルアЖ新鋭艦,6000,120,150,120,150,15,20,10,5,10,10,5,10,0,Main Cannon,550,0,300,6,Neutral,1,Sec Cannon,260,3,200,6,Neutral,2,Torpedo,480,3,200,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,400,2,10%,480,爆弾
8,ガルシアン親衛艦,8000,250,250,250,200,17,20,10,5,10,10,5,10,0,Main Cannon,600,0,500,6,Neutral,1,Sec Cannon,450,3,500,6,Neutral,2,Torpedo,550,3,260,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,3000,2,10%,480,爆弾
9,グレゴリオ巡洋艦,3000,50,100,100,50,5,50,10,10,10,10,10,10,0,Main Cannon,450,0,250,6,Neutral,1,Sec Cannon,220,2,150,6,Neutral,2,Torpedo,400,2,80,6,Neutral,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,0,300,-1,None,-1,None
