Entry ID,Magic EXP,PC1 ID,[PC1 Name],PC1 X,PC1 Z,PC2 ID,[PC2 Name],PC2 X,PC2 Z,PC3 ID,[PC3 Name],PC3 X,PC3 Z,PC4 ID,[PC4 Name],PC4 X,PC4 Z,EC1 ID,[EC1 JP Name],[EC1 US Name],EC1 X,EC1 Z,EC2 ID,[EC2 JP Name],[EC2 US Name],EC2 X,EC2 Z,EC3 ID,[EC3 JP Name],[EC3 US Name],EC3 X,EC3 Z,EC4 ID,[EC4 JP Name],[EC4 US Name],EC4 X,EC4 Z,EC5 ID,[EC5 JP Name],[EC5 US Name],EC5 X,EC5 Z,EC6 ID,[EC6 JP Name],[EC6 US Name],EC6 X,EC6 Z,EC7 ID,[EC7 JP Name],[EC7 US Name],EC7 X,EC7 Z,Initiative,Defeat Cond ID,[Defeat Cond Name],Escape Cond ID,[Escape Cond Name],BGM ID
0,4,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,131,獄長,Warden,4,3,1,航行士,Sailor,3,3,7,煌術処刑士,Magic Executor,7,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
1,2,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,1,航行士,Sailor,3,4,1,航行士,Sailor,5,3,1,航行士,Sailor,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
2,4,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,7,煌術処刑士,Magic Executor,3,4,7,煌術処刑士,Magic Executor,5,3,7,煌術処刑士,Magic Executor,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
3,0,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,129,アガタウマス,Agathamaus,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
4,8,0,Vyse,6,7,1,Aika,5,8,2,Fina,6,8,-1,None,-1,-1,72,警備士,Guard,5,4,72,警備士,Guard,6,4,133,護送将兵,Escort Officer,5,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
5,12,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,130,イマゴタリア,Imagotalia,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
6,16,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,131,獄長,Warden,1,2,131,獄長,Warden,4,1,131,獄長,Warden,7,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
7,0,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,134,ラァス,Laas,4,3,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
8,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,0,軍艦兵,Battleship Soldier,3,4,0,軍艦兵,Battleship Soldier,5,3,0,軍艦兵,Battleship Soldier,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
9,4,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,128,アントニオ,Antonio,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,-1,???,-1,???,-1
