Entry ID,Entry US Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Pad 1,Pad 2,Pad 3,Buy,Pad 4,Pad 5,Sell%,US Order 1,US Order 2,Pad 6,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[US Descr Pos],[US Descr Size],US Descr Str
480,爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,100,0,0,50,0,0,0,100,6,Neutral,0,0,0,0x2ece84,48,相手にダメージを与える。\n一般的な炸裂式の爆弾。
481,大爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,150,0,0,50,1,1,0,200,6,Neutral,0,0,0,0x2eceb4,48,相手にダメージを与える。\n大きい炸裂式の爆弾。
482,特大爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,200,0,0,50,2,2,0,300,6,Neutral,0,0,0,0x2ecee4,52,相手にダメージを与える。\n特別発注の炸裂式の爆弾。
483,巨大爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,250,0,0,50,3,3,0,400,6,Neutral,0,0,0,0x2ecf18,60,相手にダメージを与える。\n限界まで大きくした炸裂式の爆弾。
484,炎の爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,280,0,0,50,4,4,0,200,1,Red,1,0,0,0x2ecf54,44,相手にダメージを与える。\n炎の効果がある。
485,氷の爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,300,0,0,50,5,5,0,300,2,Purple,1,0,0,0x2ecf80,44,相手にダメージを与える。\n氷の効果がある。
486,封じの爆弾,0b0001,"","",X,116,Silence by 100%,-1,100,0,0,0,350,0,0,50,6,6,0,0,0,Green,0,1,100,0x2ecfac,40,Ж術を封じる。\n敵の周りに力場を作る。
487,雷の爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,400,0,0,50,7,7,0,400,3,Blue,1,0,0,0x2ecfd4,44,相手にダメージを与える。\n雷の効果がある。
488,バラスト爆弾,0b0001,"","",X,106,Weak by 100%,-1,100,0,0,0,450,0,0,50,8,8,0,0,0,Green,0,1,100,0x2ed000,60,相手にダメージを与える。\n敵に重りを貼り付け機動力を下げる
489,波の爆弾,0b0001,"","",X,107,Damage,-1,100,0,0,0,450,0,0,50,9,9,0,450,5,Silver,1,0,0,0x2ed03c,44,相手にダメージを与える。\n波動の効果がある。
490,修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,0,0,100,0,0,50,10,10,0,1000,0,Green,0,0,0,0x2ed068,48,ＨＰを回復する。\nダメージ部分を補強する材料だ。
491,硬修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,0,0,200,0,0,50,11,11,0,4000,0,Green,0,0,0,0x2ed098,56,ＨＰを回復する。\n広範囲のダメージ部分を補強できるぞ。
492,強修復材,0b0101,X,"",X,100,Recover HP,-1,100,0,0,0,300,0,0,50,12,12,0,12000,0,Green,0,0,0,0x2ed0d0,64,ＨＰを回復する。\n一定時間緑のЖ力を発揮し、HPを回復し続けるぞ。
493,完全修復材,0b0101,X,"",X,101,Recover HP by 100%,-1,100,0,0,0,500,0,0,50,13,13,0,0,0,Green,0,0,0,0x2ed110,68,ＨＰを回復する。\n強力な月Ж石の力があらゆるダメージを修復するぞ。
494,ギアグリス,0b0001,"","",X,102,Recover SP,-1,100,0,0,0,1000,0,0,50,14,14,0,0,0,Green,0,0,0,0x2ed154,68,ガッツが回復する。\nギア部分の回転効率を上げ、船の機動力が上がるぞ。
495,耐熱ギアグリス,0b0001,"","",X,103,Recover SP by 100%,-1,100,0,0,0,2500,0,0,50,15,15,0,0,0,Green,0,0,0,0x2ed198,60,ガッツがかなり回復する。\n耐熱性なのでより機動力が上がる。
