Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,Buy,Pad 1,Pad 2,Sell%,EU Order 1,EU Order 2,Pad 3,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
480,0x8c3743a8,0x1b462,5,Bomb,0x1b96e,5,Bomb,0x1bdf2,6,Bombe,0x1b432,5,Bomb,0b0001,"","",X,107,Damage,-1,100,100,0,0,50,0,3,0,80,6,Neutral,0,0,0,0x175d8,45,"A common bomb, designed to damage the enemy.",0x178a4,138,Bomba comun para producir dano al enemigo.\\nContiene mas cantidad de polvora para crear una\\nmayor explosion. Provoca dano en el enemigo.,0x17c34,49,Bombe classique conçue pour endommager l'ennemi.,0x175a8,45,"A common bomb, designed to damage the enemy."
481,0x8c3743b0,0x1b467,9,Big Bomb,0x1b973,9,Big Bomb,0x1bdf8,13,Grosse Bombe,0x1b437,9,Big Bomb,0b0001,"","",X,107,Damage,-1,100,150,0,0,50,1,2,0,120,6,Neutral,0,0,0,0x17605,82,"A larger bomb, packed with more gunpowder for a\\nbigger blast. Damages the enemy.",0x1792e,88,Con el doble de potencia de fogueo que una\\nbomba estandar. Provoca dano en el enemigo.,0x17c65,89,Grosse bombe contenant plus de poudre pour une\\nexplosion puissante. Endommage l'ennemi.,0x175d5,82,"A larger bomb, packed with more gunpowder for a\\nbigger blast. Damages the enemy."
482,0x8c3743bc,0x1b470,16,Concussion Bomb,0x1b97c,16,Concussion Bomb,0x1be05,16,Bombe explosive,0x1b440,16,Concussion Bomb,0b0001,"","",X,107,Damage,-1,100,200,0,0,50,2,6,0,150,6,Neutral,0,0,0,0x17657,79,A bomb that packs double the firepower of a\\nstandard bomb. Damages the enemy.,0x17986,90,Bomba disenada para lograr una gran potencia\\nde explosion. Produce gran dano al enemigo.,0x17cbe,87,Bombe qui a 2 fois plus de puissance de feu\\nqu'une bombe normale. Endommage l'ennemi.,0x17627,79,A bomb that packs double the firepower of a\\nstandard bomb. Damages the enemy.
483,0x8c3743cc,0x1b480,14,Shredder Bomb,0x1b98c,14,Shredder Bomb,0x1be15,15,Bombe mortelle,0x1b450,14,Shredder Bomb,0b0001,"","",X,107,Damage,-1,100,480,0,0,50,3,24,0,250,6,Neutral,0,0,0,0x176a6,86,A bomb designed for pure explosive power and\\nsize. Does massive damage to the enemy.,0x179e0,87,"Bomba especial, mezcla de Polvo de Luna\\nRoja y polvora. La explosion es muy abrasiva.",0x17d15,93,Bombe purement conçue pour son pouvoir explosif\\net sa taille. Endommage gravement l'ennemi.,0x17676,86,A bomb designed for pure explosive power and\\nsize. Does massive damage to the enemy.
484,0x8c3743dc,0x1b48e,10,Pyro Bomb,0x1b99a,10,Pyro Bomb,0x1be24,11,Bombe Pyro,0x1b45e,10,Pyro Bomb,0b0001,"","",X,107,Damage,-1,100,450,0,0,50,4,21,0,240,1,Red,1,0,0,0x176fc,89,A special bomb with Red Moon Dust mixed\\ninto the gunpowder. Has an extremely hot blast.,0x17a37,86,"Bomba especial, mezcla de Polvo de Luna\\nPurpura y polvora. La explosion es heladora.",0x17d72,91,Bombe spéciale avec de la Poussière de Lune\\nRouge mélangée à la poudre. Explosion de feu.,0x176cc,89,A special bomb with Red Moon Dust mixed\\ninto the gunpowder. Has an extremely hot blast.
485,0x8c3743e8,0x1b498,11,Frost Bomb,0x1b9a4,11,Frost Bomb,0x1be2f,10,Bombe Gel,0x1b468,11,Frost Bomb,0b0001,"","",X,107,Damage,-1,100,600,0,0,50,5,10,0,240,2,Purple,1,0,0,0x17755,93,A special bomb with Purple Moon Dust mixed\\ninto the gunpowder. Has an extremely cold blast.,0x17a8d,97,"Bomba especial, mezcla de Polvo de Luna Purpura\\ny polvora. Su efecto es parecido al de Sylenis.",0x17dcd,93,Bombe spéciale avec de la Poussière de Lune\\nMauve mélangée à la poudre. Explosion de glace.,0x17725,93,A special bomb with Purple Moon Dust mixed\\ninto the gunpowder. Has an extremely cold blast.
486,0x8c3743f4,0x1b4a3,14,Silencer Bomb,0x1b9af,14,Silencer Bomb,0x1be39,14,Bombe Furtive,0x1b473,14,Silencer Bomb,0b0001,"","",X,116,Silence by 100%,-1,100,600,0,0,50,6,25,0,0,0,Green,0,165,80,0x177b2,91,A special bomb with Purple Moon Dust mixed\\ninto the gunpowder. Has a Sylenis-like effect.,0x17aee,98,"Bomba especial, mezcla de Polvo de Luna Amarilla\\ny polvora. Su efecto es parecido al de Electri.",0x17e2a,88,Bombe spéciale avec de la Poussière de Lune\\nMauve mélangée à la poudre. Effet Sylenis.,0x17782,91,A special bomb with Purple Moon Dust mixed\\ninto the gunpowder. Has a Sylenis-like effect.
487,0x8c374404,0x1b4b1,13,Thunder Bomb,0x1b9bd,13,Thunder Bomb,0x1be47,15,Bombe Tonnerre,0x1b481,13,Thunder Bomb,0b0001,"","",X,107,Damage,-1,100,450,0,0,50,7,28,0,240,4,Yellow,1,0,0,0x1780d,92,A special bomb with Yellow Moon Dust mixed\\ninto the gunpowder. Has an Electri-like effect.,0x17b50,97,"Bomba especial, mezcla de Polvo de Luna Amarilla \\ny polvora. Su efecto es parecido al de Driln.",0x17e82,88,Bombe spéciale avec de la Poussière de Lune\\nJaune mélangée à la poudre. Effet Electri.,0x177dd,92,A special bomb with Yellow Moon Dust mixed\\ninto the gunpowder. Has an Electri-like effect.
488,0x8c374414,0x1b4be,13,Electro Bomb,0x1b9ca,13,Electro Bomb,0x1be56,14,Bombe Electro,0x1b48e,13,Electro Bomb,0b0001,"","",X,106,Weak by 100%,-1,100,600,0,0,50,8,9,0,0,0,Green,0,1,80,0x17869,89,A special bomb with Yellow Moon Dust mixed\\ninto the gunpowder. Has a Driln-like effect.,0x17bb1,92,"Bomba especial, mezcla de Polvo de Luna Azul\\ny polvora. Su efecto es parecido al de Wevli.",0x17eda,86,Bombe spéciale avec de la Poussière de Lune\\nJaune mélangée à la poudre. Effet Driln.,0x17839,89,A special bomb with Yellow Moon Dust mixed\\ninto the gunpowder. Has a Driln-like effect.
489,0x8c374424,0x1b4cb,10,Wave Bomb,0x1b9d7,10,Wave Bomb,0x1be64,12,Bombe Vague,0x1b49b,10,Wave Bomb,0b0001,"","",X,107,Damage,-1,100,600,0,0,50,9,29,0,240,3,Blue,1,0,0,0x178c2,92,A special bomb with Blue Moonstone dust mixed\\ninto the gunpowder. Has a Wevli-like effect.,0x17c0d,83,Materiales que reparan deterioro pequeno\\nel navio. Restaura 4000 puntos de Salud.,0x17f30,86,Bombe spéciale avec de la Poussière de Lune\\nBleue mélangée à la poudre. Effet Wevli.,0x17892,92,A special bomb with Blue Moonstone dust mixed\\ninto the gunpowder. Has a Wevli-like effect.
