Entry ID,[Filter],[ES ID],[ES Name],Turn ID,Phase ID,Cond ID,[Cond Name],Cond Param ID,[Cond Param Name],T1 Type ID,[T1 Type Name],T1 Arm ID,[T1 Arm Name],T1 Param ID,[T1 Param Name],T1 Arm Dur,T2 Type ID,[T2 Type Name],T2 Arm ID,[T2 Arm Name],T2 Param ID,[T2 Param Name],T2 Arm Dur
0,R500A.BIN,23,Blackbeard,0,0,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
1,R500A.BIN,23,Blackbeard,0,1,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
2,R500A.BIN,23,Blackbeard,0,2,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
3,R500A.BIN,23,Blackbeard,0,3,0,PS HP ≤,0,%,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,-,0,None,0
4,R500A.BIN,23,Blackbeard,1,0,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
5,R500A.BIN,23,Blackbeard,1,1,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
6,R500A.BIN,23,Blackbeard,1,2,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
7,R500A.BIN,23,Blackbeard,1,3,0,PS HP ≤,0,%,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,-,0,None,0
8,R500A.BIN,23,Blackbeard,2,0,-1,None,0,None,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,-,-1,None,0
9,R500A.BIN,23,Blackbeard,2,1,-1,None,0,None,4,Nothing,-1,None,2,Assessing Damage,0,0,Attack,0,-,-1,None,0
10,R500A.BIN,23,Blackbeard,2,2,-1,None,0,None,2,Focus,-1,None,2,Preparing Attack,0,0,Attack,0,-,-1,None,0
11,R500A.BIN,23,Blackbeard,2,3,0,PS HP ≤,0,%,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,-,0,None,0
12,R500A.BIN,23,Blackbeard,3,0,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
13,R500A.BIN,23,Blackbeard,3,1,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
14,R500A.BIN,23,Blackbeard,3,2,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
15,R500A.BIN,23,Blackbeard,3,3,0,PS HP ≤,0,%,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,-,0,None,0
16,R500A.BIN,23,Blackbeard,4,0,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
17,R500A.BIN,23,Blackbeard,4,1,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
18,R500A.BIN,23,Blackbeard,4,2,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,-,-1,None,0
19,R500A.BIN,23,Blackbeard,4,3,0,PS HP ≤,0,%,0,Attack,0,Black Cannon,0,None,0,0,Attack,0,-,0,None,0
0,R501A.BIN,2,Valuan Cruiser,0,0,3,Rating,50,%,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
1,R501A.BIN,2,Valuan Cruiser,0,1,-1,None,0,None,0,Attack,1,Standard Cannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
2,R501A.BIN,2,Valuan Cruiser,0,2,-1,None,0,None,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,0,Subcannon,-1,None,0
3,R501A.BIN,2,Valuan Cruiser,0,3,0,PS HP ≤,0,%,0,Attack,0,Standard Cannon,0,None,0,0,Attack,0,Subcannon,0,None,0
4,R501A.BIN,2,Valuan Cruiser,1,0,3,Rating,50,%,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
5,R501A.BIN,2,Valuan Cruiser,1,1,-1,None,0,None,0,Attack,1,Standard Cannon,-1,None,0,0,Attack,1,Subcannon,-1,None,0
6,R501A.BIN,2,Valuan Cruiser,1,2,-1,None,0,None,0,Attack,0,Standard Cannon,-1,None,0,0,Attack,0,Subcannon,-1,None,0
7,R501A.BIN,2,Valuan Cruiser,1,3,0,PS HP ≤,0,%,0,Attack,0,Standard Cannon,0,None,0,0,Attack,0,Subcannon,0,None,0
0,R503A.BIN,21,Black Pirates,0,0,3,Rating,20,%,2,Focus,-1,None,0,Focus,0,0,Attack,0,Black Torpedo,-1,None,0
1,R503A.BIN,21,Black Pirates,0,1,3,Rating,20,%,0,Attack,1,Black Cannon,-1,None,2,0,Attack,1,Black Torpedo,-1,None,2
2,R503A.BIN,21,Black Pirates,0,2,-1,None,0,None,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
3,R503A.BIN,21,Black Pirates,0,3,0,PS HP ≤,50,%,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,Black Torpedo,-1,None,0
4,R503A.BIN,21,Black Pirates,1,0,3,Rating,40,%,0,Attack,1,Black Cannon,-1,None,2,0,Attack,0,Black Torpedo,-1,None,0
5,R503A.BIN,21,Black Pirates,1,1,-1,None,0,None,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
6,R503A.BIN,21,Black Pirates,1,2,1,ES HP ≤,95,%,0,Attack,0,Black Cannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
7,R503A.BIN,21,Black Pirates,1,3,-1,None,0,None,3,Guard,-1,None,0,Evasive Action,0,3,Guard,-1,None,0,Evasive Action,0
8,R503A.BIN,21,Black Pirates,2,0,3,Rating,70,%,0,Attack,1,Black Cannon,-1,None,1,0,Attack,1,Black Torpedo,-1,None,1
9,R503A.BIN,21,Black Pirates,2,1,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Torpedo,-1,None,0
10,R503A.BIN,21,Black Pirates,2,2,30,???,20,None,3,Guard,-1,None,0,Evasive Action,0,0,Attack,0,Black Torpedo,-1,None,0
11,R503A.BIN,21,Black Pirates,2,3,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Torpedo,-1,None,0
12,R503A.BIN,21,Black Pirates,3,0,3,Rating,80,%,0,Attack,1,Black Cannon,-1,None,2,2,Focus,-1,None,0,Focus,0
13,R503A.BIN,21,Black Pirates,3,1,3,Rating,50,%,3,Guard,-1,None,0,Evasive Action,0,2,Focus,-1,None,0,Focus,0
14,R503A.BIN,21,Black Pirates,3,2,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Torpedo,-1,None,0
15,R503A.BIN,21,Black Pirates,3,3,-1,None,0,None,2,Focus,-1,None,0,Focus,0,2,Focus,-1,None,0,Focus,0
16,R503A.BIN,21,Black Pirates,4,0,3,Rating,30,%,2,Focus,-1,None,0,Focus,0,0,Attack,1,Black Torpedo,-1,None,2
17,R503A.BIN,21,Black Pirates,4,1,3,Rating,50,%,2,Focus,-1,None,0,Focus,0,0,Attack,0,Black Torpedo,-1,None,0
18,R503A.BIN,21,Black Pirates,4,2,-1,None,0,None,4,Nothing,-1,None,0,Awaiting Orders,0,4,Nothing,-1,None,0,Awaiting Orders,0
19,R503A.BIN,21,Black Pirates,4,3,3,Rating,80,%,0,Attack,0,Black Cannon,-1,None,0,3,Guard,-1,None,0,Evasive Action,0
20,R503A.BIN,21,Black Pirates,5,0,3,Rating,20,%,3,Guard,-1,None,0,Evasive Action,0,0,Attack,1,Black Torpedo,-1,None,3
21,R503A.BIN,21,Black Pirates,5,1,3,Rating,90,%,0,Attack,0,Black Cannon,-1,None,0,2,Focus,-1,None,0,Focus,0
22,R503A.BIN,21,Black Pirates,5,2,3,Rating,30,%,4,Nothing,-1,None,0,Awaiting Orders,0,0,Attack,0,Black Torpedo,-1,None,0
23,R503A.BIN,21,Black Pirates,5,3,-1,None,0,None,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Torpedo,-1,None,0
24,R503A.BIN,21,Black Pirates,6,0,3,Rating,20,%,0,Attack,0,Black Cannon,-1,None,0,0,Attack,0,Black Torpedo,-1,None,0
