Entry ID,[Str Pos],[Str Size],[Str Enc],Str Value,[Str Data]
0,0x30,17,Shift_JIS,Lib Handle Start,"""Lib Handle Start"""
1,0x577c,44,Shift_JIS,\nntInf Ver 2.00 Build:Mar 31 1999 14:13:50\n,"""\nntInf Ver 2.00 Build:Mar 31 1999 14:13:50\n"""
2,0x5d88,5,Shift_JIS,SEGA,"""SEGA"""
3,0x35b1c0,46,Shift_JIS,\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n,"""\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n"""
4,0x35b1f0,3,Shift_JIS,rb,"""rb"""
5,0x35b208,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER,"""CHUNK POF IS HEAP AREA OVER"""
6,0x35b224,24,Shift_JIS,Sound Driver Read Error,"""Sound Driver Read Error"""
7,0x35b23c,21,Shift_JIS,Sound Lib Init Error,"""Sound Lib Init Error"""
8,0x35b254,29,Shift_JIS,Sound Mem Block Create Error,"""Sound Mem Block Create Error"""
9,0x35b274,28,Shift_JIS,Sound Mem Block Param Error,"""Sound Mem Block Param Error"""
10,0x35b290,21,Shift_JIS,Sound Drv Init Error,"""Sound Drv Init Error"""
11,0x35b2a8,30,Shift_JIS,Sound Mem Block Destroy Error,"""Sound Mem Block Destroy Error"""
12,0x35b2c8,21,Shift_JIS,MIDI PORT OPEN ERROR,"""MIDI PORT OPEN ERROR"""
13,0x35b2e0,21,Shift_JIS,MIDI PORT STOP ERROR,"""MIDI PORT STOP ERROR"""
14,0x35b2f8,22,Shift_JIS,MIDI PORT RESET ERROR,"""MIDI PORT RESET ERROR"""
15,0x35b310,28,Shift_JIS,Sound sdSysSetSlotMax Error,"""Sound sdSysSetSlotMax Error"""
16,0x35b32c,26,Shift_JIS,Sound MLT Down Load Error,"""Sound MLT Down Load Error"""
17,0x35b348,5,Shift_JIS,SMSB,"""SMSB"""
18,0x35b350,5,Shift_JIS,SMPB,"""SMPB"""
19,0x35b358,23,Shift_JIS,MLT File Is Illegal %s,"""MLT File Is Illegal %s"""
20,0x35b370,32,Shift_JIS,Sound Bank Data Down Load Error,"""Sound Bank Data Down Load Error"""
21,0x35b390,19,Shift_JIS,Sound Fx Set Error,"""Sound Fx Set Error"""
22,0x35b3a4,20,Shift_JIS,Sound Nim Drv Error,"""Sound Nim Drv Error"""
23,0x35b3b8,9,Shift_JIS,Drv Busy,"""Drv Busy"""
24,0x35b3c4,24,Shift_JIS,MIDI RELEASE MODE ERROR,"""MIDI RELEASE MODE ERROR"""
25,0x35b3dc,23,Shift_JIS,Sound SHOT Close Error,"""Sound SHOT Close Error"""
26,0x35b3f4,22,Shift_JIS,Sound PCM Close Error,"""Sound PCM Close Error"""
27,0x35b40c,13,Shift_JIS,Bank 0 Error,"""Bank 0 Error"""
28,0x35b41c,23,Shift_JIS,Sound Get Status Error,"""Sound Get Status Error"""
29,0x35b434,27,Shift_JIS,Sound Midi Reset Prm Error,"""Sound Midi Reset Prm Error"""
30,0x35b450,27,Shift_JIS,Sound Shot Reset Prm Error,"""Sound Shot Reset Prm Error"""
31,0x35b46c,26,Shift_JIS,Sound PCM Reset Prm Error,"""Sound PCM Reset Prm Error"""
32,0x35b488,17,Shift_JIS,Sound Play Error,"""Sound Play Error"""
33,0x35b49c,11,Shift_JIS,Bank Error,"""Bank Error"""
34,0x35b4a8,26,Shift_JIS,Sound PCM Down Load Error,"""Sound PCM Down Load Error"""
35,0x35b4c4,23,Shift_JIS,Sound Pcm Status Error,"""Sound Pcm Status Error"""
36,0x35b4dc,21,Shift_JIS,Sound Pcm Play Error,"""Sound Pcm Play Error"""
37,0x35b4f4,23,Shift_JIS,Sound MIDI Pause Error,"""Sound MIDI Pause Error"""
38,0x35b50c,22,Shift_JIS,Sound MIDI Fade Error,"""Sound MIDI Fade Error"""
39,0x35b524,22,Shift_JIS,Sound SHOT Fade Error,"""Sound SHOT Fade Error"""
40,0x35b53c,26,Shift_JIS,Sound PCM Fade Error Left,"""Sound PCM Fade Error Left"""
41,0x35b558,27,Shift_JIS,Sound PCM Fade Error Right,"""Sound PCM Fade Error Right"""
42,0x35b574,8,Shift_JIS,\\sound\\,"""\\sound\\"""
43,0x35b57c,25,Shift_JIS,MLT FAST HANDLE IS EMPTY,"""MLT FAST HANDLE IS EMPTY"""
44,0x35b598,22,Shift_JIS,MLT FAST HANDLE ERROR,"""MLT FAST HANDLE ERROR"""
45,0x35b5b0,3,Shift_JIS,%s,"""%s"""
46,0x35b5b4,5,Shift_JIS,GAME,"""GAME"""
47,0x35b5bd,7,Shift_JIS,CAMERA,"""CAMERA"""
48,0x35b5c6,8,Shift_JIS,LIGHT 0,"""LIGHT 0"""
49,0x35b5cf,8,Shift_JIS,LIGHT 1,"""LIGHT 1"""
50,0x35b5d8,8,Shift_JIS,LIGHT 2,"""LIGHT 2"""
51,0x35b5e1,9,Shift_JIS,MURABITO,"""MURABITO"""
52,0x35b5ec,15,Shift_JIS,DEBUG MODE   -,"""DEBUG MODE   -"""
53,0x35b5fc,15,Shift_JIS,Calc Vertex  -,"""Calc Vertex  -"""
54,0x35b60c,15,Shift_JIS,Calc Polygon -,"""Calc Polygon -"""
55,0x35b61c,15,Shift_JIS,Draw Polygon -,"""Draw Polygon -"""
56,0x35b62c,15,Shift_JIS,FPS          -,"""FPS          -"""
57,0x35b63c,15,Shift_JIS,TEXTURE      -,"""TEXTURE      -"""
58,0x35b64c,15,Shift_JIS,VIEW POS     -,"""VIEW POS     -"""
59,0x35b65c,15,Shift_JIS,PURSUIT POS  -,"""PURSUIT POS  -"""
60,0x35b66c,15,Shift_JIS,VIEW ANG     -,"""VIEW ANG     -"""
61,0x35b67c,15,Shift_JIS,PURSUIT ANG  -,"""PURSUIT ANG  -"""
62,0x35b68c,15,Shift_JIS,DISTANCE     -,"""DISTANCE     -"""
63,0x35b69c,15,Shift_JIS,PERS         -,"""PERS         -"""
64,0x35b6ac,15,Shift_JIS,LIGHT NUM    -,"""LIGHT NUM    -"""
65,0x35b6bc,15,Shift_JIS,LIGHT POS    -,"""LIGHT POS    -"""
66,0x35b6cc,15,Shift_JIS,LIGHT VECTOR -,"""LIGHT VECTOR -"""
67,0x35b6dc,15,Shift_JIS,AMBIENT      -,"""AMBIENT      -"""
68,0x35b6ec,15,Shift_JIS,DEFFUSE      -,"""DEFFUSE      -"""
69,0x35b6fc,15,Shift_JIS,SPECULAR     -,"""SPECULAR     -"""
70,0x35b70c,19,Shift_JIS,UP    - PLAYER Z +,"""UP    - PLAYER Z +"""
71,0x35b720,19,Shift_JIS,DOWN  - PLAYER Z -,"""DOWN  - PLAYER Z -"""
72,0x35b734,19,Shift_JIS,LEFT  - PLAYER X +,"""LEFT  - PLAYER X +"""
73,0x35b748,19,Shift_JIS,RIGHT - PLAYER X -,"""RIGHT - PLAYER X -"""
74,0x35b75c,27,Shift_JIS,L BTN - VIEW 45 LEFT  TURN,"""L BTN - VIEW 45 LEFT  TURN"""
75,0x35b778,27,Shift_JIS,R BTN - VIEW 45 RIGHT TURN,"""R BTN - VIEW 45 RIGHT TURN"""
76,0x35b794,25,Shift_JIS,X BTN - VIEW MODE CHANGE,"""X BTN - VIEW MODE CHANGE"""
77,0x35b7b0,30,Shift_JIS,Y BTN - DEBUG INDICATE SWITCH,"""Y BTN - DEBUG INDICATE SWITCH"""
78,0x35b7d0,26,Shift_JIS,Z BTN - DEBUG MODE CHANGE,"""Z BTN - DEBUG MODE CHANGE"""
79,0x35b7ec,23,Shift_JIS,START - DUNGEON CHANGE,"""START - DUNGEON CHANGE"""
80,0x35b804,23,Shift_JIS,UP    - PLAYER ADVANCE,"""UP    - PLAYER ADVANCE"""
81,0x35b81c,25,Shift_JIS,LEFT  - PLAYER TURN LEFT,"""LEFT  - PLAYER TURN LEFT"""
82,0x35b838,26,Shift_JIS,RIGHT - PLAYER TURN RIGHT,"""RIGHT - PLAYER TURN RIGHT"""
83,0x35b854,25,Shift_JIS,L BTN - VIEW MODE CHANGE,"""L BTN - VIEW MODE CHANGE"""
84,0x35b870,17,Shift_JIS,UP    - X ROLL -,"""UP    - X ROLL -"""
85,0x35b884,17,Shift_JIS,DOWN  - X ROLL +,"""DOWN  - X ROLL +"""
86,0x35b898,17,Shift_JIS,LEFT  - Y ROLL -,"""LEFT  - Y ROLL -"""
87,0x35b8ac,17,Shift_JIS,RIGHT - Y ROLL +,"""RIGHT - Y ROLL +"""
88,0x35b8c0,17,Shift_JIS,L BTN - PERS FAR,"""L BTN - PERS FAR"""
89,0x35b8d4,18,Shift_JIS,R BTN - PERS NEAR,"""R BTN - PERS NEAR"""
90,0x35b8e8,22,Shift_JIS,A BTN - DISTANCE NEAR,"""A BTN - DISTANCE NEAR"""
91,0x35b900,21,Shift_JIS,X BTN - DISTANCE FAR,"""X BTN - DISTANCE FAR"""
92,0x35b918,12,Shift_JIS,Y BTN - Y +,"""Y BTN - Y +"""
93,0x35b924,12,Shift_JIS,B BTN - Y -,"""B BTN - Y -"""
94,0x35b930,13,Shift_JIS,START - EXIT,"""START - EXIT"""
95,0x35b940,12,Shift_JIS,UP    - Z +,"""UP    - Z +"""
96,0x35b94c,12,Shift_JIS,DOWN  - Z -,"""DOWN  - Z -"""
97,0x35b958,12,Shift_JIS,LEFT  - X +,"""LEFT  - X +"""
98,0x35b964,12,Shift_JIS,RIGHT - X -,"""RIGHT - X -"""
99,0x35b970,17,Shift_JIS,L BTN - Y ROLL +,"""L BTN - Y ROLL +"""
100,0x35b984,17,Shift_JIS,R BTN - Y ROLL -,"""R BTN - Y ROLL -"""
101,0x35b998,17,Shift_JIS,X BTN - X ROLL +,"""X BTN - X ROLL +"""
102,0x35b9ac,17,Shift_JIS,A BTN - X ROLL -,"""A BTN - X ROLL -"""
103,0x35b9c0,19,Shift_JIS,Z BTN - RESET VIEW,"""Z BTN - RESET VIEW"""
104,0x35b9d4,12,Shift_JIS,UP    - Z -,"""UP    - Z -"""
105,0x35b9e0,12,Shift_JIS,DOWN  - Z +,"""DOWN  - Z +"""
106,0x35b9ec,12,Shift_JIS,LEFT  - X -,"""LEFT  - X -"""
107,0x35b9f8,12,Shift_JIS,RIGHT - X +,"""RIGHT - X +"""
108,0x35ba04,18,Shift_JIS,UP    - LIGHT Z +,"""UP    - LIGHT Z +"""
109,0x35ba18,18,Shift_JIS,DOWN  - LIGHT Z -,"""DOWN  - LIGHT Z -"""
110,0x35ba2c,18,Shift_JIS,LEFT  - LIGHT X +,"""LEFT  - LIGHT X +"""
111,0x35ba40,18,Shift_JIS,RIGHT - LIGHT X -,"""RIGHT - LIGHT X -"""
112,0x35ba54,18,Shift_JIS,R BTN - LIGHT Y +,"""R BTN - LIGHT Y +"""
113,0x35ba68,18,Shift_JIS,L BTN - LIGHT Y -,"""L BTN - LIGHT Y -"""
114,0x35ba7c,19,Shift_JIS,A BTN - AMBIENT UP,"""A BTN - AMBIENT UP"""
115,0x35ba90,19,Shift_JIS,B BTN - DEFFUSE UP,"""B BTN - DEFFUSE UP"""
116,0x35baa4,17,Shift_JIS,C BTN - SPECULAR,"""C BTN - SPECULAR"""
117,0x35bab8,21,Shift_JIS,X BTN - LIGHT SWITCH,"""X BTN - LIGHT SWITCH"""
118,0x35bad0,34,Shift_JIS,(L BTN)+(R BTN) - DELETE MURABITO,"""(L BTN)+(R BTN) - DELETE MURABITO"""
119,0x35baf4,22,Shift_JIS,A BTN - SET MUARABITO,"""A BTN - SET MUARABITO"""
120,0x35bb0c,4,Shift_JIS,%1d,"""%1d"""
121,0x35bb10,6,Shift_JIS,%3.2f,"""%3.2f"""
122,0x35bb18,4,Shift_JIS,%3d,"""%3d"""
123,0x35bb1c,15,Shift_JIS,INFOMATION ON ,"""INFOMATION ON """
124,0x35bb2c,13,Shift_JIS,STAGE SELECT,"""STAGE SELECT"""
125,0x35bb3c,10,Shift_JIS,GAME MODE,"""GAME MODE"""
126,0x35bb48,12,Shift_JIS,CAMERA MODE,"""CAMERA MODE"""
127,0x35bb54,11,Shift_JIS,LIGHT MODE,"""LIGHT MODE"""
128,0x35bb60,9,Shift_JIS,FOG MENU,"""FOG MENU"""
129,0x35bb6c,13,Shift_JIS,START = EXIT,"""START = EXIT"""
130,0x35bb7c,14,Shift_JIS,CAMERA MODE 0,"""CAMERA MODE 0"""
131,0x35bb8c,12,Shift_JIS,PURSUIT INF,"""PURSUIT INF"""
132,0x35bb98,9,Shift_JIS,VIEW INF,"""VIEW INF"""
133,0x35bba4,10,Shift_JIS,ALL RESET,"""ALL RESET"""
134,0x35bbb0,8,Shift_JIS,FOG OFF,"""FOG OFF"""
135,0x35bbb8,16,Shift_JIS,NEAR    -1.0000,"""NEAR    -1.0000"""
136,0x35bbc8,16,Shift_JIS,FAR   -100.0000,"""FAR   -100.0000"""
137,0x35bbd8,12,Shift_JIS,RED     255,"""RED     255"""
138,0x35bbe4,12,Shift_JIS,GREEN   255,"""GREEN   255"""
139,0x35bbf0,12,Shift_JIS,BULE    255,"""BULE    255"""
140,0x35bbfc,16,Shift_JIS,\\sound\\m04s.p16,"""\\sound\\m04s.p16"""
141,0x35bc64,15,Shift_JIS,\\ending\\sr.mll,"""\\ending\\sr.mll"""
142,0x35bc74,17,Shift_JIS,\\ending\\srok.mll,"""\\ending\\srok.mll"""
143,0x35bc88,18,Shift_JIS,\\ending\\staff.mld,"""\\ending\\staff.mld"""
144,0x35c174,10,Shift_JIS,FADE BUSY,"""FADE BUSY"""
145,0x35c180,25,Shift_JIS,Call Back Hooking Failed,"""Call Back Hooking Failed"""
146,0x35c19c,24,Shift_JIS,Call Back Delete Failed,"""Call Back Delete Failed"""
147,0x35c1b4,32,Shift_JIS,FioInit Error (memory allocate),"""FioInit Error (memory allocate)"""
148,0x35c1d4,36,Shift_JIS,FioOpen Error (memory allocate): %s,"""FioOpen Error (memory allocate): %s"""
149,0x35c1f8,18,Shift_JIS,FioOpen Error: %s,"""FioOpen Error: %s"""
