Entry ID,EU SOT Pos,[Entry GB Name],Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Pad 1,Effect Param ID,Effect Param Name,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State Inflict ID,State Inflict Name,State Resist ID,State Resist Name,State ID,[State Name],State Miss%,Pad 2,Pad 3
0,0x8c356814,Increm,1,Magic,21,Incr Attack & Defense,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
1,0x8c35681c,Incremus,1,Magic,21,Incr Attack & Defense,4,All ECs,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
2,0x8c356828,Sylenis,1,Magic,12,Silence,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,5,Silence,40,0,0
3,0x8c356830,Panika,1,Magic,11,Confusion,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,4,Confusion,40,0,0
4,0x8c356838,Driln,1,Magic,26,Decr All Attr,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,8,Weak,40,0,0
5,0x8c356840,Drilnos,1,Magic,26,Decr All Attr,2,All PCs,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,8,Weak,60,0,0
6,0x8c356848,Sacri,1,Magic,31,Recover HP,3,Single EC,0,500,HP,68,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
7,0x8c356850,Sacres,1,Magic,31,Recover HP,3,Single EC,0,1000,HP,68,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
8,0x8c356858,Sacrum,1,Magic,31,Recover HP,4,All ECs,0,1000,HP,68,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
9,0x8c356860,Sacrulen,1,Magic,32,Recover HP of 100%,3,Single EC,0,10000,HP,68,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
10,0x8c35686c,Noxi,1,Magic,4,Poison + Damage,1,Single PC,0,1,Will,60,0,Green,1,Magical,1,Will,1,Will,0,Poison,40,0,0
11,0x8c356874,Noxus,1,Magic,4,Poison + Damage,2,All PCs,0,1,Will,100,0,Green,1,Magical,1,Will,1,Will,0,Poison,60,0,0
12,0x8c35687c,Slipara,1,Magic,9,Sleep,2,All PCs,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,3,Sleep,60,0,0
13,0x8c356884,Quika,1,Magic,20,Incr Quick,4,All ECs,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
14,0x8c35688c,Curia,1,Magic,30,Rem Neg States B,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
15,0x8c356894,Risan,1,Magic,27,Revive With HP of 50%,3,Single EC,0,0,Power,0,0,Green,0,Physical,55,Revival,55,Revival,7,Revival,50,0,0
16,0x8c35689c,Riselem,1,Magic,28,Revive With HP of 100%,3,Single EC,0,0,Power,0,0,Green,0,Physical,0,Power,0,Power,0,Poison,0,0,0
17,0x8c3568a4,Eterni,1,Magic,5,Unconscious,1,Single PC,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,1,Unconscious,60,0,0
18,0x8c3568ac,Eternes,1,Magic,5,Unconscious,2,All PCs,0,0,Power,0,0,Green,0,Physical,1,Will,1,Will,1,Unconscious,80,0,0
19,0x8c3568b4,Eternum,1,Magic,6,Unconscious + Damage A,1,Single PC,0,1,Will,250,5,Silver,1,Magical,1,Will,1,Will,1,Unconscious,0,0,0
20,0x8c3568bc,Wevli,1,Magic,0,Damage,96,PC Square S3,0,1,Will,60,3,Blue,1,Magical,0,Power,0,Power,0,Poison,0,0,0
21,0x8c3568c4,Wevles,1,Magic,0,Damage,97,PC Square S5,0,1,Will,105,3,Blue,1,Magical,0,Power,0,Power,0,Poison,0,0,0
22,0x8c3568cc,Wevlen,1,Magic,0,Damage,98,PC Square S7,0,1,Will,195,3,Blue,1,Magical,0,Power,0,Power,0,Poison,0,0,0
23,0x8c3568d4,Pyri,1,Magic,0,Damage,2,All PCs,0,1,Will,50,1,Red,1,Magical,0,Power,0,Power,0,Poison,0,0,0
24,0x8c3568dc,Pyres,1,Magic,0,Damage,2,All PCs,0,1,Will,85,1,Red,1,Magical,0,Power,0,Power,0,Poison,0,0,0
25,0x8c3568e4,Pyrum,1,Magic,0,Damage,2,All PCs,0,1,Will,120,1,Red,1,Magical,0,Power,0,Power,0,Poison,0,0,0
26,0x8c3568ec,Crystali,1,Magic,0,Damage,1,Single PC,0,1,Will,70,2,Purple,1,Magical,0,Power,0,Power,0,Poison,0,0,0
27,0x8c3568f8,Crystales,1,Magic,0,Damage,1,Single PC,0,1,Will,120,2,Purple,1,Magical,0,Power,0,Power,0,Poison,0,0,0
28,0x8c356904,Crystalum,1,Magic,0,Damage,1,Single PC,0,1,Will,170,2,Purple,1,Magical,0,Power,0,Power,0,Poison,0,0,0
29,0x8c356910,Crystalen,1,Magic,0,Damage,1,Single PC,0,1,Will,220,2,Purple,1,Magical,0,Power,0,Power,0,Poison,0,0,0
30,0x8c35691c,Pyrulen,1,Magic,0,Damage,2,All PCs,0,1,Will,155,1,Red,1,Magical,0,Power,0,Power,0,Poison,0,0,0
31,0x8c356924,Wevlum,1,Magic,0,Damage,97,PC Square S5,0,1,Will,150,3,Blue,1,Magical,0,Power,0,Power,0,Poison,0,0,0
32,0x8c35692c,Electri,1,Magic,0,Damage,100,PC Ray S1,0,1,Will,60,4,Yellow,1,Magical,0,Power,0,Power,0,Poison,0,0,0
