Entry ID,Magic EXP,PC1 ID,[PC1 Name],PC1 X,PC1 Z,PC2 ID,[PC2 Name],PC2 X,PC2 Z,PC3 ID,[PC3 Name],PC3 X,PC3 Z,PC4 ID,[PC4 Name],PC4 X,PC4 Z,EC1 ID,[JP EC1 Name],EC1 X,EC1 Z,EC2 ID,[JP EC2 Name],EC2 X,EC2 Z,EC3 ID,[JP EC3 Name],EC3 X,EC3 Z,EC4 ID,[JP EC4 Name],EC4 X,EC4 Z,EC5 ID,[JP EC5 Name],EC5 X,EC5 Z,EC6 ID,[JP EC6 Name],EC6 X,EC6 Z,EC7 ID,[JP EC7 Name],EC7 X,EC7 Z,Initiative,Defeat Cond. ID,[Defeat Cond. Name],Escape Cond. ID,[Escape Cond. Name],BGM ID
0,4,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,131,獄長,4,3,1,航行士,3,3,7,煌術処刑士,7,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
1,2,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,1,航行士,3,4,1,航行士,5,3,1,航行士,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
2,4,0,Vyse,5,6,1,Aika,3,7,2,Fina,7,7,-1,None,-1,-1,7,煌術処刑士,3,4,7,煌術処刑士,5,3,7,煌術処刑士,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
3,0,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,129,アガタウマス,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
4,8,0,Vyse,6,7,1,Aika,5,8,2,Fina,6,8,-1,None,-1,-1,72,警備士,5,4,72,警備士,6,4,133,護送将兵,5,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
5,12,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,130,イマゴタリア,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
6,16,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,131,獄長,1,2,131,獄長,4,1,131,獄長,7,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
7,0,0,Vyse,5,8,1,Aika,3,9,2,Fina,7,9,-1,None,-1,-1,134,ラァス,4,3,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
8,1,0,Vyse,4,7,1,Aika,6,7,-1,None,-1,-1,-1,None,-1,-1,0,軍艦兵,3,4,0,軍艦兵,5,3,0,軍艦兵,7,4,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,60
9,4,0,Vyse,4,8,1,Aika,6,8,-1,None,-1,-1,-1,None,-1,-1,128,アントニオ,4,2,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,None,-1,-1,255,-1,???,-1,???,-1
10,4,0,Vyse,5,6,1,Aika,2,9,2,Fina,8,9,-1,None,-1,-1,2,ミクラステル,4,3,2,ミクラステル,6,2,2,ミクラステル,1,3,2,ミクラステル,3,5,2,ミクラステル,5,4,2,ミクラステル,2,2,2,ミクラステル,4,2,2,8,???,6,???,-1
