Entry ID,JP entry name,Element ID,[Element name],Order by prio.,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[JP descr. pos.],[JP descr. size],JP descr. str.
36,カトラスダンス,6,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,8,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812096,84,敵１体に大ダメージを与えるヴァイスの技だ。\nダンスのようなリズムで敵をぶった斬るぞ!!
37,エアロスマッシュ,6,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,15,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812180,84,敵全体に大ダメージを与えるヴァイスの技だ。\n超上空から無数のカマイタチを飛ばすぞ!!
38,ジョリーロジャー,6,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,30,0,0,120,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812264,56,ヴァイス攻撃技の第３弾です。\n内容は見てのお楽しみです。
39,オメガサイクロン,6,Neutral,214,2,"",X,"",0,Damage,35,Enemy area #3,1,Aika,1,25,0,0,320,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812320,44,アイカ攻撃技の第３弾です。\n内容は未定です。
40,アルファストーム,6,Neutral,210,2,"",X,"",0,Damage,39,Enemy line #3,1,Aika,1,6,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812364,92,一直線上の敵に大ダメージを与えるアイカの技だ。\n高速回転するブーメランから炎がほとばしるぞ!!
41,ラムダバースト,6,Neutral,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812456,76,敵全体に大ダメージを与えるアイカの技だ。\n炎のブーメランが地を切り裂くぞ!!
42,月の封印,6,Neutral,220,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,8,0,0,50,0,Physical,2,Stone,20,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812532,88,敵１体にダメージを与え、さらに石化の状態にする\nファイナの技だ。ペットもがんばってるぞ!!
43,月の波動,6,Neutral,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,30,0,0,300,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812620,60,ファイナ攻撃技の第２弾です。\nＥＣ全体に対する攻撃技です。
44,噴！,6,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812680,60,ドラクマ攻撃技の第１弾です。\nＥＣ単体に対する攻撃技です。
45,滅！,6,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,100,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812740,76,全身のパワーを義手に集中して敵単体に叩き付ける。\nドラクマ船長の超大技だ。
46,ミル・エスパーダ,6,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #1,4,Enrique,1,10,0,0,50,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2812816,60,エンリック攻撃技の第１弾です。\nＥＣ単体に対する攻撃技です。
