Entry ID,[Str. pos.],[Str. size],[Str. encoding],Str. value,[Str. data]
0,0x30,17,Shift_JIS,Lib Handle Start,"""Lib Handle Start"""
1,0x4c68,5,Shift_JIS,SEGA,"""SEGA"""
2,0x2ab384,46,Shift_JIS,\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n,"""\nsyStart Ver 1.17 Build:Dec 01 1999 12:17:57\n"""
3,0x2ab3b4,19,Shift_JIS,No Memory Card !!!,"""No Memory Card !!!"""
4,0x2ab3c8,29,Shift_JIS,Memory Card Format Error !!!,"""Memory Card Format Error !!!"""
5,0x2ab3e8,10,Shift_JIS,ARES_SAVE,"""ARES_SAVE"""
6,0x2ab3f4,13,Shift_JIS,アレスセーブ,"""\x83A\x83\x8C\x83X\x83Z\x81[\x83u"""
7,0x2ab404,34,Shift_JIS,Memory Card Image Creat Error !!!,"""Memory Card Image Creat Error !!!"""
8,0x2ab428,35,Shift_JIS,Memory Card Free Size Is Small !!!,"""Memory Card Free Size Is Small !!!"""
9,0x2ab44c,27,Shift_JIS,Memory Card Save Error !!!,"""Memory Card Save Error !!!"""
10,0x2ab468,29,Shift_JIS,Memory Card SAVE 2 Error !!!,"""Memory Card SAVE 2 Error !!!"""
11,0x2ab488,34,Shift_JIS,Memory Card Load Status Error !!!,"""Memory Card Load Status Error !!!"""
12,0x2ab4ac,29,Shift_JIS,Memory Card Load 1 Error !!!,"""Memory Card Load 1 Error !!!"""
13,0x2ab4cc,29,Shift_JIS,Memory Card Load 2 Error !!!,"""Memory Card Load 2 Error !!!"""
14,0x2ab4ec,3,Shift_JIS,rb,"""rb"""
15,0x2ab504,28,Shift_JIS,CHUNK POF IS HEAP AREA OVER,"""CHUNK POF IS HEAP AREA OVER"""
16,0x2ab520,24,Shift_JIS,Sound Driver Read Error,"""Sound Driver Read Error"""
17,0x2ab538,21,Shift_JIS,Sound Lib Init Error,"""Sound Lib Init Error"""
18,0x2ab550,29,Shift_JIS,Sound Mem Block Create Error,"""Sound Mem Block Create Error"""
19,0x2ab570,28,Shift_JIS,Sound Mem Block Param Error,"""Sound Mem Block Param Error"""
20,0x2ab58c,21,Shift_JIS,Sound Drv Init Error,"""Sound Drv Init Error"""
21,0x2ab5a4,30,Shift_JIS,Sound Mem Block Destroy Error,"""Sound Mem Block Destroy Error"""
22,0x2ab5c4,26,Shift_JIS,Sound MLT Down Load Error,"""Sound MLT Down Load Error"""
23,0x2ab5e0,32,Shift_JIS,Sound Bank Data Down Load Error,"""Sound Bank Data Down Load Error"""
24,0x2ab600,19,Shift_JIS,Sound Fx Set Error,"""Sound Fx Set Error"""
25,0x2ab614,23,Shift_JIS,Sound MIDI Close Error,"""Sound MIDI Close Error"""
26,0x2ab62c,23,Shift_JIS,Sound SHOT Close Error,"""Sound SHOT Close Error"""
27,0x2ab644,22,Shift_JIS,Sound PCM Close Error,"""Sound PCM Close Error"""
28,0x2ab65c,23,Shift_JIS,Sound Get Status Error,"""Sound Get Status Error"""
29,0x2ab674,27,Shift_JIS,Sound Midi Reset Prm Error,"""Sound Midi Reset Prm Error"""
30,0x2ab690,27,Shift_JIS,Sound Shot Reset Prm Error,"""Sound Shot Reset Prm Error"""
31,0x2ab6ac,26,Shift_JIS,Sound PCM Reset Prm Error,"""Sound PCM Reset Prm Error"""
32,0x2ab6c8,17,Shift_JIS,Sound Play Error,"""Sound Play Error"""
33,0x2ab6dc,11,Shift_JIS,Bank Error,"""Bank Error"""
34,0x2ab6e8,26,Shift_JIS,Sound PCM Down Load Error,"""Sound PCM Down Load Error"""
35,0x2ab704,23,Shift_JIS,Sound Pcm Status Error,"""Sound Pcm Status Error"""
36,0x2ab71c,21,Shift_JIS,Sound Pcm Play Error,"""Sound Pcm Play Error"""
37,0x2ab734,23,Shift_JIS,Sound MIDI Pause Error,"""Sound MIDI Pause Error"""
38,0x2ab74c,22,Shift_JIS,Sound MIDI Fade Error,"""Sound MIDI Fade Error"""
39,0x2ab764,22,Shift_JIS,Sound SHOT Fade Error,"""Sound SHOT Fade Error"""
40,0x2ab77c,21,Shift_JIS,Sound PCM Fade Error,"""Sound PCM Fade Error"""
41,0x2ab794,3,Shift_JIS,%s,"""%s"""
42,0x2ab798,5,Shift_JIS,GAME,"""GAME"""
43,0x2ab7a1,7,Shift_JIS,CAMERA,"""CAMERA"""
44,0x2ab7aa,8,Shift_JIS,LIGHT 0,"""LIGHT 0"""
45,0x2ab7b3,8,Shift_JIS,LIGHT 1,"""LIGHT 1"""
46,0x2ab7bc,8,Shift_JIS,LIGHT 2,"""LIGHT 2"""
47,0x2ab7c5,9,Shift_JIS,MURABITO,"""MURABITO"""
48,0x2ab7d0,15,Shift_JIS,DEBUG MODE   -,"""DEBUG MODE   -"""
49,0x2ab7e0,15,Shift_JIS,Calc Vertex  -,"""Calc Vertex  -"""
50,0x2ab7f0,15,Shift_JIS,Calc Polygon -,"""Calc Polygon -"""
51,0x2ab800,15,Shift_JIS,Draw Polygon -,"""Draw Polygon -"""
52,0x2ab810,15,Shift_JIS,FPS          -,"""FPS          -"""
53,0x2ab820,15,Shift_JIS,TEXTURE      -,"""TEXTURE      -"""
54,0x2ab830,15,Shift_JIS,VIEW POS     -,"""VIEW POS     -"""
55,0x2ab840,15,Shift_JIS,PURSUIT POS  -,"""PURSUIT POS  -"""
56,0x2ab850,15,Shift_JIS,VIEW ANG     -,"""VIEW ANG     -"""
57,0x2ab860,15,Shift_JIS,PURSUIT ANG  -,"""PURSUIT ANG  -"""
58,0x2ab870,15,Shift_JIS,DISTANCE     -,"""DISTANCE     -"""
59,0x2ab880,15,Shift_JIS,PERS         -,"""PERS         -"""
60,0x2ab890,15,Shift_JIS,LIGHT NUM    -,"""LIGHT NUM    -"""
61,0x2ab8a0,15,Shift_JIS,LIGHT POS    -,"""LIGHT POS    -"""
62,0x2ab8b0,15,Shift_JIS,LIGHT VECTOR -,"""LIGHT VECTOR -"""
63,0x2ab8c0,15,Shift_JIS,AMBIENT      -,"""AMBIENT      -"""
64,0x2ab8d0,15,Shift_JIS,DEFFUSE      -,"""DEFFUSE      -"""
65,0x2ab8e0,15,Shift_JIS,SPECULAR     -,"""SPECULAR     -"""
66,0x2ab8f0,19,Shift_JIS,UP    - PLAYER Z +,"""UP    - PLAYER Z +"""
67,0x2ab904,19,Shift_JIS,DOWN  - PLAYER Z -,"""DOWN  - PLAYER Z -"""
68,0x2ab918,19,Shift_JIS,LEFT  - PLAYER X +,"""LEFT  - PLAYER X +"""
69,0x2ab92c,19,Shift_JIS,RIGHT - PLAYER X -,"""RIGHT - PLAYER X -"""
70,0x2ab940,27,Shift_JIS,L BTN - VIEW 45 LEFT  TURN,"""L BTN - VIEW 45 LEFT  TURN"""
71,0x2ab95c,27,Shift_JIS,R BTN - VIEW 45 RIGHT TURN,"""R BTN - VIEW 45 RIGHT TURN"""
72,0x2ab978,25,Shift_JIS,X BTN - VIEW MODE CHANGE,"""X BTN - VIEW MODE CHANGE"""
73,0x2ab994,30,Shift_JIS,Y BTN - DEBUG INDICATE SWITCH,"""Y BTN - DEBUG INDICATE SWITCH"""
74,0x2ab9b4,26,Shift_JIS,Z BTN - DEBUG MODE CHANGE,"""Z BTN - DEBUG MODE CHANGE"""
75,0x2ab9d0,23,Shift_JIS,START - DUNGEON CHANGE,"""START - DUNGEON CHANGE"""
76,0x2ab9e8,23,Shift_JIS,UP    - PLAYER ADVANCE,"""UP    - PLAYER ADVANCE"""
77,0x2aba00,25,Shift_JIS,LEFT  - PLAYER TURN LEFT,"""LEFT  - PLAYER TURN LEFT"""
78,0x2aba1c,26,Shift_JIS,RIGHT - PLAYER TURN RIGHT,"""RIGHT - PLAYER TURN RIGHT"""
79,0x2aba38,25,Shift_JIS,L BTN - VIEW MODE CHANGE,"""L BTN - VIEW MODE CHANGE"""
80,0x2aba54,17,Shift_JIS,UP    - X ROLL -,"""UP    - X ROLL -"""
81,0x2aba68,17,Shift_JIS,DOWN  - X ROLL +,"""DOWN  - X ROLL +"""
82,0x2aba7c,17,Shift_JIS,LEFT  - Y ROLL -,"""LEFT  - Y ROLL -"""
83,0x2aba90,17,Shift_JIS,RIGHT - Y ROLL +,"""RIGHT - Y ROLL +"""
84,0x2abaa4,17,Shift_JIS,L BTN - PERS FAR,"""L BTN - PERS FAR"""
85,0x2abab8,18,Shift_JIS,R BTN - PERS NEAR,"""R BTN - PERS NEAR"""
86,0x2abacc,22,Shift_JIS,A BTN - DISTANCE NEAR,"""A BTN - DISTANCE NEAR"""
87,0x2abae4,21,Shift_JIS,X BTN - DISTANCE FAR,"""X BTN - DISTANCE FAR"""
88,0x2abafc,12,Shift_JIS,Y BTN - Y +,"""Y BTN - Y +"""
89,0x2abb08,12,Shift_JIS,B BTN - Y -,"""B BTN - Y -"""
