Entry ID,[Filter],[Enemy ID],[JP enemy name],Instr. type ID,[Instr. type name],Instr. ID,[Instr. name],Instr. param. ID,[Instr. param. name]
1,*,0,軍艦兵,0,Strategy,21,???,3,???
2,*,0,軍艦兵,1,Action,550,Attack,2,Random character
3,*,0,軍艦兵,1,Action,551,Guard,-1,None
34,*,0,軍艦兵,26499,???,27267,???,18819,???
35,*,0,軍艦兵,-256,???,-1,None,-1,None
37,*,0,軍艦兵,1027,???,-1,None,4037,???
38,*,0,軍艦兵,15,???,18,???,33,???
40,*,0,軍艦兵,0,Strategy,16784,???,5,???
41,*,0,軍艦兵,10,???,10,???,20,???
42,*,0,軍艦兵,9,???,11,???,5,???
43,*,0,軍艦兵,0,Strategy,0,???,0,???
44,*,0,軍艦兵,5,???,0,???,0,???
45,*,0,軍艦兵,0,Strategy,0,???,10,???
46,*,0,軍艦兵,10,???,10,???,10,???
47,*,0,軍艦兵,10,???,10,???,10,???
48,*,0,軍艦兵,255,???,-256,???,2,???
49,*,0,軍艦兵,19,???,31,???,5,???
50,*,0,軍艦兵,19,???,56,???,52,???
51,*,0,軍艦兵,43,???,105,???,15,???
57,*,0,軍艦兵,9,???,0,???,20,???
58,*,0,軍艦兵,6,???,0,???,26,???
59,*,0,軍艦兵,11,???,0,???,28,???
60,*,0,軍艦兵,12,???,0,???,30,???
61,*,0,軍艦兵,13,???,0,???,27,???
62,*,0,軍艦兵,11,???,0,???,26,???
63,*,0,軍艦兵,12,???,0,???,30,???
64,*,0,軍艦兵,13,???,0,???,25,???
1,ECINIT000.DAT,0,軍艦兵,0,Strategy,21,???,3,???
2,ECINIT000.DAT,0,軍艦兵,1,Action,550,Attack,2,Random character
3,ECINIT000.DAT,0,軍艦兵,1,Action,551,Guard,-1,None
34,ECINIT000.DAT,0,軍艦兵,0,Strategy,0,???,0,???
35,ECINIT000.DAT,0,軍艦兵,0,Strategy,0,???,0,???
36,ECINIT000.DAT,0,軍艦兵,0,Strategy,0,???,0,???
37,ECINIT000.DAT,0,軍艦兵,0,Strategy,0,???,0,???
38,ECINIT000.DAT,0,軍艦兵,0,Strategy,0,???,0,???
