Entry ID,JP entry name,Ship flags,[Little Jack #1],[Little Jack #2],[Delphinus #1],[Delphinus #2],[Delphinus #3],[借ジャンク船],Type ID,[Type name],Element ID,[Element name],Purchase price,Pad. #0,Pad. #1,Retail price in %,Pad. #2,Attack,Hit%,Limit,Spirit,Feat. #0 ID,[Feat. #0 name],Pad. #3,Feat. #0 value,Feat. #1 ID,[Feat. #1 name],Pad. #4,Feat. #1 value,Feat. #2 ID,[Feat. #2 name],Pad. #5,Feat. #2 value,Feat. #3 ID,[Feat. #3 name],Pad. #6,Feat. #3 value,Order by prio.,JP order by ABC,Pad. #7,Pad. #8
400,主砲0,48,X,X,"","","","",0,Main cannon,6,Neutral,1000,0,0,50,0,90,60,0,18,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,0,0,0,0
401,主砲1,62,X,X,X,X,X,"",0,Main cannon,6,Neutral,1500,0,0,50,0,160,100,0,16,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,1,1,0,0
402,主砲2,62,X,X,X,X,X,"",0,Main cannon,6,Neutral,2000,0,0,50,0,210,180,0,20,2,Defense,0,10,3,MagDef,0,10,4,Quick,0,10,-1,None,0,0,2,2,0,0
403,主砲3,14,"","",X,X,X,"",0,Main cannon,1,Red,3500,0,0,70,0,210,170,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,3,3,0,0
404,主砲4,14,"","",X,X,X,"",0,Main cannon,6,Neutral,5000,0,0,50,0,250,250,0,16,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,4,4,0,0
405,主砲5,14,"","",X,X,X,"",0,Main cannon,6,Neutral,6500,0,0,50,0,300,300,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,5,5,0,0
406,主砲6,14,"","",X,X,X,"",0,Main cannon,6,Neutral,8000,0,0,50,0,330,300,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,6,6,0,0
407,主砲7,14,"","",X,X,X,"",0,Main cannon,4,Yellow,9500,0,0,70,0,360,350,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,7,7,0,0
408,主砲8,14,"","",X,X,X,"",0,Main cannon,6,Neutral,11000,0,0,50,0,500,520,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,8,8,0,0
409,主砲9,10,"","",X,"",X,"",0,Main cannon,6,Neutral,0,0,0,0,0,300,400,0,15,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,9,9,0,0
410,副砲0,48,X,X,"","","","",1,Secondary cannon,6,Neutral,200,0,0,50,0,40,70,1,10,2,Defense,0,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,10,10,0,0
411,副砲1,62,X,X,X,X,X,"",1,Secondary cannon,6,Neutral,400,0,0,50,0,100,80,1,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,11,11,0,0
412,副砲2,62,X,X,X,X,X,"",1,Secondary cannon,4,Yellow,600,0,0,50,0,120,120,1,12,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,12,12,0,0
413,副砲3,62,X,X,X,X,X,"",1,Secondary cannon,6,Neutral,800,0,0,50,0,150,150,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,13,13,0,0
414,副砲4,14,"","",X,X,X,"",1,Secondary cannon,6,Neutral,1000,0,0,50,0,180,200,2,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,14,14,0,0
415,副砲5,14,"","",X,X,X,"",1,Secondary cannon,6,Neutral,1200,0,0,50,0,180,300,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,15,15,0,0
416,副砲6,14,"","",X,X,X,"",1,Secondary cannon,6,Neutral,1400,0,0,50,0,200,350,3,8,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,16,16,0,0
417,副砲7,14,"","",X,X,X,"",1,Secondary cannon,1,Red,1600,0,0,50,0,220,380,2,12,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,17,17,0,0
418,副砲8,14,"","",X,X,X,"",1,Secondary cannon,6,Neutral,1800,0,0,50,0,270,400,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,18,18,0,0
419,副砲9,10,"","",X,"",X,"",1,Secondary cannon,6,Neutral,0,0,0,0,0,200,380,2,12,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,19,19,0,0
420,長距離砲0,48,X,X,"","","","",2,Torpedo,6,Neutral,300,0,0,50,0,60,50,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,20,20,0,0
421,長距離砲1,62,X,X,X,X,X,"",2,Torpedo,6,Neutral,400,0,0,50,0,140,80,2,10,3,MagDef,0,20,-1,None,0,0,-1,None,0,0,-1,None,0,0,21,21,0,0
422,長距離砲2,62,X,X,X,X,X,"",2,Torpedo,6,Neutral,400,0,0,50,0,150,100,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,22,22,0,0
423,長距離砲3,62,X,X,X,X,X,"",2,Torpedo,0,Green,400,0,0,50,0,180,120,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,23,23,0,0
424,長距離砲4,14,"","",X,X,X,"",2,Torpedo,6,Neutral,400,0,0,50,0,220,140,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,24,24,0,0
425,長距離砲5,14,"","",X,X,X,"",2,Torpedo,6,Neutral,400,0,0,50,0,240,180,3,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,25,25,0,0
426,長距離砲6,14,"","",X,X,X,"",2,Torpedo,6,Neutral,400,0,0,50,0,280,190,2,10,-1,None,0,0,-1,None,0,0,-1,None,0,0,-1,None,0,0,26,26,0,0
