Entry ID,Entry US Name,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Consume%,Sell%,US Order 1,US Order 2,Buy,Pad 1,Pad 2,Effect Base,Element ID,[Element Name],Type ID,[Type Name],State ID,[State Name],State Miss%,[US Descr Pos],[US Descr Size],US Descr Str
240,Sacri Crystal,0b0110,X,X,"",31,Recover HP,1,Single PC,100,50,0,30,20,0,0,500,-1,None,-1,None,0,Poison,0,0x336850,88,"An enchanted crystal created by Mages of the
Green Moon. Restores 500 HP for one ally."
241,Sacres Crystal,0b0110,X,X,"",31,Recover HP,1,Single PC,100,50,1,29,60,0,0,1000,-1,None,-1,None,0,Poison,0,0x3368a8,92,"An enchanted crystal created by Mages of the
Green Moon. Restores 1,000 HP for one ally."
242,Sacrum Crystal,0b0110,X,X,"",31,Recover HP,2,All PCs,100,50,2,31,600,0,0,1000,-1,None,-1,None,0,Poison,0,0x336904,92,"An enchanted crystal created by Mages of the
Green Moon. Restores 1,000 HP for all allies."
243,Sacrulen Crystal,0b0110,X,X,"",32,Recover HP of 100%,1,Single PC,100,50,3,32,200,0,0,10000,-1,None,-1,None,0,Poison,0,0x336960,88,"An enchanted crystal created by Mages of the
Green Moon. Restores all HP for one ally."
244,Magic Droplet,0b0111,X,X,X,48,Recover MP,1,Single PC,100,50,4,24,40,0,0,1,-1,None,-1,None,0,Poison,0,0x3369b8,80,"Created from the dew that forms on a magical
tree. Restores 1 MP for one ally."
245,Magic Dew,0b0111,X,X,X,48,Recover MP,1,Single PC,100,50,5,23,400,0,0,10,-1,None,-1,None,0,Poison,0,0x336a08,76,"A more concentrated form of the Magic Droplet.
Restores 10 MP for one ally."
246,Aura of Valor,0b0011,"",X,X,35,Recover SP,2,All PCs,100,50,6,15,2000,0,0,99,-1,None,-1,None,0,Poison,0,0x336a54,76,"A sacred stone that boosts the Spirit of the
entire party to heroic levels."
247,Soul Crystal,0b0000,"","","",-1,None,0,None,0,100,49,54,3000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336aa0,64,"A valuable treasure sought by Zivilyn Bane on
Daccat's Island."
248,Unholy Dagger,0b0000,"","","",-1,None,0,None,0,100,50,51,4000,0,0,0,0,Green,0,Physical,0,Poison,0,0x336ae0,68,"A valuable treasure sought by Zivilyn Bane in
the Grand Fortress."
249,Curia Crystal,0b0010,"",X,"",30,Rem Neg States B,1,Single PC,100,50,7,18,30,0,0,0,0,Green,0,Physical,7,Revival,0,0x336b24,92,"An ensorcelled crystal that cures all adverse
affects on one ally, except for unconscious."
