Entry ID,Entry US Name,Sell%,US Order 1,US Order 2,Buy,[US Descr Pos],[US Descr Size],US Descr Str
320,Green Crystal,0,7,2,0,0x338078,92,An ancient gem that contains the power of life.\nIt has the power to summon the Green Gigas.
321,Red Crystal,0,6,20,0,0x3380d4,92,An ancient gem that contains the power of fire.\nIt has the power to summon the Red Gigas.
322,Purple Crystal,0,9,16,0,0x338130,92,An ancient gem that contains the power of ice.\nIt has the power to summon the Purple Gigas.
323,Blue Crystal,0,8,14,0,0x33818c,92,An ancient gem with the power of wind and water.\nIt has the power to summon the Blue Gigas.
324,Yellow Crystal,0,10,27,0,0x3381e8,92,An ancient gem with the power of lightning.\nIt has the power to summon the Yellow Gigas.
325,銀月晶,0,38,38,0,0x338244,12,カット。\n
326,Green Moon Stone,0,0,31,0,0x338250,84,A Moon Stone from the Green Moon. It can infuse\nweapons with the powers of nature.
327,Red Moon Stone,0,1,1,0,0x3382a4,80,A Moon Stone from the Red Moon. It can infuse\nweapons with the powers of fire.
328,Purple MoonStone,0,2,32,0,0x3382f4,84,A Moon Stone from the Purple Moon. It can infuse\nweapons with the powers of ice.
329,Blue Moon Stone,0,3,0,0,0x338348,92,A Moon Stone from the Blue Moon. It can infuse\nweapons with the powers of wind and water.
330,Yellow MoonStone,0,4,5,0,0x3383a4,88,A Moon Stone from the Yellow Moon. It can infuse\nweapons with the powers of lightning.
331,Silver MoonStone,0,5,8,0,0x3383fc,92,A Moon Stone from the Silver Moon. It can infuse\nweapons with the powers of life and death.
332,Underwater Suit,0,26,35,0,0x338458,88,"Using a Blue Moon Stone, this water-proof suit\nallows the wearer to breathe underwater."
333,Note in a Bottle,0,12,28,0,0x3384b0,88,"A note found in a bottle that says, “Quetya…\nPlease send warriors to help us fight.”"
334,Cannon Room Key,0,24,33,0,0x338508,92,"A large, steel key to the Cannon Room of the\nGrand Fortress. It is embossed with a dragon."
335,Ship Schematics,0,28,18,0,0x338564,84,Design for a ship that can submerge under the\nGreat Cloud Sea and go into Deep Sky.
336,Gonzales' Map,0,21,13,0,0x3385b8,88,Map found on the remains of Gonzales. It appears\nthat the map has been ripped in half.
337,Pedro's Map,0,22,30,0,0x338610,92,Map received from Pedro while in Nasrad. It\nappears that the map has been ripped in half.
338,アルフォンソの鍵,0,39,39,0,0x0,0,""
339,Golden Man's Eye,0,16,26,0,0x33866c,76,"A beautiful, orange gem found set into the eye\nof the Golden Man statue."
340,Great Bird's Eye,0,17,22,0,0x3386b8,68,"A beautiful, blue gem found set into the eyes\nof the Great Bird."
341,Raw Moon Stone,0,11,34,0,0x3386fc,84,A rock containing Moon Stone ore found on Shrine\nIsland. Unusable unless refined.
342,Daccat's Coin,100,23,19,20000,0x338750,84,"A gold coin minted by the great Air Pirate\nDaccat, it bears his symbol on one side."
343,Kabal Skewer,0,35,15,0,0x3387a4,16,コンバート。\n
344,Kabal,0,32,21,0,0x3387b4,84,"The meat of a desert beast of burden, it is\nconsidered by many to be very tasty."
345,Gentum,0,33,23,500,0x338808,88,A fragrant fruit from northern Nasr.\nSecret ingredient used in making Kabal Skewers.
346,Khale,0,34,10,0,0x338860,88,"An expensive spice, grown in the East.\nSecret ingredient used in making Kabal Skewers."
347,Mom's Skewer,0,36,6,0,0x0,0,""
348,Valuan Passport,0,13,25,0,0x3388b8,92,A passport necessary to enter the Valuan Empire.\nReceived from a Nasr merchant as a gift.
349,Moon Stone Fuel,0,15,24,0,0x338914,100,A Moon Stone refined for use as fuel for a ship.\nGiven to Vyse by Hans when they met in Horteka.
350,Clara's Purse,0,19,9,0,0x338978,72,A bright pink purse containing money given to\nAika and Fina by Clara.
