Entry ID,[Filter],[ES ID],[ES Name],Turn ID,Phase ID,Cond ID,[Cond Name],Cond Param ID,[Cond Param Name],T1 Type ID,[T1 Type Name],T1 Arm ID,T1 Param ID,[T1 Param Name],T1 Arm Dur,T2 Type ID,[T2 Type Name],T2 Arm ID,T2 Param ID,[T2 Param Name],T2 Arm Dur
0,R513A.BIN,35,Roc,0,0,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
1,R513A.BIN,35,Roc,0,1,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
2,R513A.BIN,35,Roc,0,2,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
3,R513A.BIN,35,Roc,0,3,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
4,R513A.BIN,35,Roc,1,0,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
5,R513A.BIN,35,Roc,1,1,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
6,R513A.BIN,35,Roc,1,2,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
7,R513A.BIN,35,Roc,1,3,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
8,R513A.BIN,35,Roc,2,0,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
9,R513A.BIN,35,Roc,2,1,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
10,R513A.BIN,35,Roc,2,2,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
11,R513A.BIN,35,Roc,2,3,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
12,R513A.BIN,35,Roc,3,0,3,Rating,50,%,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
13,R513A.BIN,35,Roc,3,1,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
14,R513A.BIN,35,Roc,3,2,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
15,R513A.BIN,35,Roc,3,3,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
16,R513A.BIN,35,Roc,4,0,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
17,R513A.BIN,35,Roc,4,1,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
18,R513A.BIN,35,Roc,4,2,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
19,R513A.BIN,35,Roc,4,3,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
20,R513A.BIN,35,Roc,5,0,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
21,R513A.BIN,35,Roc,5,1,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
22,R513A.BIN,35,Roc,5,2,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
23,R513A.BIN,35,Roc,5,3,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
24,R513A.BIN,35,Roc,6,0,3,Rating,50,%,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
25,R513A.BIN,35,Roc,6,1,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
26,R513A.BIN,35,Roc,6,2,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
27,R513A.BIN,35,Roc,6,3,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
28,R513A.BIN,35,Roc,7,0,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
29,R513A.BIN,35,Roc,7,1,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
30,R513A.BIN,35,Roc,7,2,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,3,Guard,-1,0,Evasive Action,0
31,R513A.BIN,35,Roc,7,3,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
32,R513A.BIN,35,Roc,8,0,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
33,R513A.BIN,35,Roc,8,1,-1,None,0,None,0,Attack,3,-1,None,0,0,Attack,0,-1,None,0
34,R513A.BIN,35,Roc,8,2,3,Rating,50,%,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
35,R513A.BIN,35,Roc,8,3,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
0,R523A.BIN,32,Obispo,0,0,-1,None,0,None,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
1,R523A.BIN,32,Obispo,0,1,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
2,R523A.BIN,32,Obispo,0,2,3,Rating,50,%,0,Attack,0,-1,None,0,4,Nothing,-1,2,Assessing Damage,0
3,R523A.BIN,32,Obispo,0,3,4,ES Previous Task Type =,0,Attack,4,Nothing,-1,2,Assessing Damage,0,0,Attack,0,-1,None,0
4,R523A.BIN,32,Obispo,1,0,-1,None,0,None,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
5,R523A.BIN,32,Obispo,1,1,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
6,R523A.BIN,32,Obispo,1,2,1,ES HP ≤,30,%,3,Guard,-1,-1,None,0,4,Nothing,-1,2,Assessing Damage,0
7,R523A.BIN,32,Obispo,1,3,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
8,R523A.BIN,32,Obispo,2,0,-1,None,0,None,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
9,R523A.BIN,32,Obispo,2,1,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
10,R523A.BIN,32,Obispo,2,2,1,ES HP ≤,30,%,3,Guard,-1,-1,None,0,4,Nothing,-1,2,Assessing Damage,0
11,R523A.BIN,32,Obispo,2,3,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
12,R523A.BIN,32,Obispo,3,0,1,ES HP ≤,30,%,3,Guard,-1,-1,None,0,4,Nothing,-1,2,Assessing Damage,0
13,R523A.BIN,32,Obispo,3,1,-1,None,0,None,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
14,R523A.BIN,32,Obispo,3,2,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
15,R523A.BIN,32,Obispo,3,3,1,ES HP ≤,30,%,3,Guard,-1,-1,None,0,4,Nothing,-1,2,Assessing Damage,0
16,R523A.BIN,32,Obispo,4,0,1,ES HP ≤,30,%,3,Guard,-1,-1,None,0,4,Nothing,-1,2,Assessing Damage,0
17,R523A.BIN,32,Obispo,4,1,-1,None,0,None,2,Focus,-1,2,Preparing Attack,0,0,Attack,0,-1,None,0
18,R523A.BIN,32,Obispo,4,2,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
19,R523A.BIN,32,Obispo,4,3,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
20,R523A.BIN,32,Obispo,5,0,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
21,R523A.BIN,32,Obispo,5,1,-1,None,0,None,0,Attack,0,-1,None,0,0,Attack,0,-1,None,0
