Entry ID,Message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Pos. ID,[Pos. name],Padding #0,Feature ID,[Feature name],Padding #1,Feature value,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Padding #2,Padding #3,Padding #4,Ship effect amount,Unknown,Padding #5,Padding #6,Padding #7,Padding #8,[DE descr. pos.],[DE descr. size],DE descr. string,[ES descr. pos.],[ES descr. size],ES descr. string,[FR descr. pos.],[FR descr. size],FR descr. string,[GB descr. pos.],[GB descr. size],GB descr. string
0,2150456216,126325,9,Lawrence,125816,9,Lawrence,126353,9,Lawrence,123869,9,Lawrence,0,Helmsman,0,4,Quick,0,30,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,114821,94,"Ein Söldner, der zu einem hohen Preis die Lüfte\nbefährt. Mit ihm wird dein Schiff schneller.",113775,84,Mercenario a sueldo que navega a  precio alto.\nAumentará la Velocidad de tu navío.,114286,92,Mercenaire naviguant au service du plus offrant.\nIl accélèrera la vitesse de votre navire.,112486,97,"A mercenary-for-hire, he sails the skies for a\nsteep price. He will increase your ship's Quick."
1,2150956844,126334,4,Don,125825,4,Don,126362,4,Don,123878,4,Don,0,Helmsman,0,6,Dodge%,0,15,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,114915,78,"Hast du Don in deiner aktiven Mannschaft, kann\ndas Schiff besser ausweichen.",113859,97,"Si tienes a Don como miembro de tu tripulación,\naumentará la capacidad de Esquivar de tu navío.",114378,85,Recruter Don dans votre équipage augmentera\nles chances desquives de votre navire.,112583,66,Having Don in your active crew will increase\nyour ship's Dodge%.
2,2150956848,126338,8,Brabham,125829,8,Brabham,126366,8,Brabham,123882,8,Brabham,1,Engineer,0,2,Defense,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,114993,85,Brabham in deiner aktiven Mannschaft erhöht\ndie Verteidigungsfähigkeit des Schiffs.,113956,74,"Si tienes a Brabham en tu tripulación,\naumentará la Defensa de tu navío.",114463,86,Enrôler Brabham comme membre de votre équipage\naccroîtra la défense de votre navire.,112649,71,Having Brabham in your active crew will increase\nyour ship's Defense.
3,2150956856,126346,5,Hans,125837,5,Hans,126374,5,Hans,123890,5,Hans,1,Engineer,0,3,MagDef,0,20,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,115078,92,"Wenn Hans in deiner aktiven Mannschaft ist,\nist die magische Abwehr deines Schiffs besser.",114030,78,"Si tienes a Hans en tu tripulación,\naumentará la Defensa Mágica de tu navío.",114549,92,Enrôler Hans comme membre de votre équipage\nrenforcera la défense magique de votre navire.,112720,74,Having Hans in your active crew will increase\nyour ship's Magic Defense.
4,2150956864,126351,6,Belle,125842,6,Belle,126379,6,Belle,123895,6,Belle,2,Gunner,0,64,Attack: Secondary cannon,0,50,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,115170,90,Mit Belle in deiner aktiven Mannschaft ist\nder Schaden durch deine Zusatzkanonen größer.,114108,95,"Si tienes a Belle en tu tripulación, aumentará\nel daño infligido por tus Cañones Secundarios.",114641,90,Avoir Belle comme membre de votre équipage\naugmentera les dégâts des canons secondaires.,112794,91,Having Belle in your active crew will increase\nthe damage done by your Secondary Cannons.
5,2150956872,126357,7,Khazim,125848,7,Khazim,126385,7,Khazim,123901,7,Khazim,2,Gunner,0,48,Attack: Main cannon,0,35,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,115260,82,Khazim in deiner aktiven Mannschaft erhöht\nden Schaden durch deine Hauptkanonen.,114203,89,"Con Khazim en tu tripulación, aumentará el\ndeterioro hecho por tus Cañones Principales.",114731,81,Engager Khazim dans votre équipage\naugmentera les dégâts des canons principaux.,112885,87,Having Khazim in your active crew will increase\nthe damage done by your Main Cannons.
6,2150456228,126364,9,Tikatika,125855,9,Tikatika,126392,9,Tikatika,123908,9,Tikatika,3,Lookout,0,81,Hit%: Torpedo,0,80,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,115342,84,Mit Tikatika in deiner aktiven Mannschaft\nsteigt die Trefferquote deiner Torpedos.,114292,80,"Con Tikatika en tu tripulación, aumentará\nla tasa de Aciertos de tus torpedos.",114812,96,Avoir Tikatika dans votre équipage permet à vos\ntorpilles de toucher plus souvent votre cible.,112972,69,Having Tikatika in your active crew increases\nyour torpedoes' Hit%.
7,2150956880,126373,8,Domingo,125864,8,Domingo,126401,8,Domingo,123917,8,Domingo,3,Lookout,0,-1,None,0,0,112,Improve Critical% (Ship),6,0,0,0,0,0,0,0,0,0,0,115426,82,Domingo in deiner aktiven Mannschaft\nerhöht deine Chancen auf kritische Treffer.,114372,80,"Si tienes a Domingo en tu tripulación,\naumentará tu tasa de Aciertos Críticos.",114908,87,Avoir Domingo dans votre équipage augmente\nvos chances de donner des Coups critiques.,113041,88,Having Domingo in your active crew increases\nyour chances of delivering critical hits.
8,2150956888,126381,6,Osman,125872,6,Osman,126409,6,Osman,123925,6,Osman,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,115508,78,Mit Osman in deiner aktiven Mannschaft\nfindest du eher kostbare Gegenstände.,114452,95,"Si tienes a Osman en tu tripulación, aumentará\ntu probabilidad de encontrar objetos valiosos.",114995,91,Enroler Osman dans votre équipage augmentera\nvos chances de trouver des objets de valeur.,113129,88,Having Osman in your active crew will increase\nyour chance of finding expensive items.
9,2150956896,126387,7,Kalifa,125878,7,Kalifa,126415,7,Kalifa,123931,7,Kalifa,4,Merchant,0,-1,None,0,0,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,115586,74,Mit Kalifa in deiner aktiven Mannschaft\nfindest du eher spezielle Items.,114547,98,"Si tienes a Kalifa en tu tripulación, aumentará\ntu probabilidad de encontrar objetos especiales.",115086,69,Engager Kalifa augmente vos chances\nde trouver des objets spéciaux.,113217,87,Having Kalifa in your active crew will increase\nyour chance of finding special items.
10,2150956904,126394,7,Izmael,125885,7,Izmael,126422,7,Izmael,123938,7,Izmael,5,Builder,0,96,Attack: S-Cannon,0,100,-1,None,-1,-1,0,0,0,0,0,0,0,0,0,115660,89,Mit Izmael in deiner aktiven Mannschaft steigt\ndie Feuerkraft deiner Moon Stone-Kanone.,114645,97,"Si tienes a Izmael en tu tripulación, aumenta el\npoder destructivo de tu Cañón de Piedra lunar.",115155,93,Avoir Izmael dans votre équipage augmentera\nle pouvoir destructeur du Canon Pierre de Lune.,113304,98,Having Izmael in your active crew will increase\nthe destructive power of your Moon Stone Cannon.
11,2150956912,126401,7,Kirala,125892,7,Kirala,126429,7,Kirala,123945,7,Kirala,5,Builder,0,-1,None,0,0,101,Recover HP to 100% (Ship),7,0,0,0,0,0,1,0,0,0,0,115749,80,Mit dem Crew Command kann sie die HP deines\nSchiffs komplett wieder auffüllen.,114742,77,Kirala restaurará toda la Salud de tu navío\nal usar el Comando Tripulación.,115248,78,"À l'aide de la Commande Équipage, elle\nredonnera à votre navire tous ses PV.",113402,68,"Using the Crew Command, she will replenish your\nship's HP to full."
12,2150956920,126408,6,Polly,125899,6,Polly,126436,6,Polly,123952,6,Polly,6,Cook,0,-1,None,0,0,117,Recover MP (Ship),6,-1,0,0,0,10,130,0,0,0,0,115829,73,Mit dem Crew Command kann sie die MP einer\nSpielfigur wieder auffüllen.,114819,86,Polly restaurará los puntos de Magia de un\npersonaje al usar el Comando Tripulación.,115326,74,"À l'aide de la Commande Équipage, elle redonnera\nà un personnage ses PM.",113470,64,"Using the Crew Command, she will replenish one\ncharacter's MP."
13,2150956928,126414,6,Urala,125905,6,Urala,126442,6,Urala,123958,6,Urala,6,Cook,0,-1,None,0,0,103,Recover Spirit to 100% (Ship),15,-1,0,0,0,0,9,0,0,0,0,115902,63,Mit dem Crew Command kann sie deine\nSpirit Points maximieren.,114905,73,Urala maximizará tus puntos de Espíritu\nal usar el Comando Tripulación.,115400,85,"En utilisant la commande Équipage, elle vous\nredonnera un maximum de point d'esprit",113534,62,"Using the Crew Command, she will max out\nyour Spirit Points."
