Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Occ. flags,[Menu],[Battle],[Ship battle],Ship effect ID,[Ship effect name],Ship effect turns,Consume%,Purchase price,Retail price in %,Order by prio.,EU order by ABC,Padding #0,Padding #1,Padding #2,Ship effect amount,Element ID,[Element name],Unknown #0,Unknown #1,Hit%,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.
480,2150956820,125973,5,Bomb,125389,6,Bomba,125955,6,Bombe,123517,5,Bomb,1,"","",X,107,Damage (Ship),-1,100,100,50,0,3,0,0,0,80,6,Neutral,0,0,0,109496,71,"Allgemein gebräuchliche Bombe, dazu bestimmt,\nden Feind zu schädigen.",108530,46,Bomba común para producir daño al enemigo.\n,108952,49,Bombe classique conçue pour endommager l'ennemi.,107404,45,"A common bomb, designed to damage the enemy."
481,2150455840,125978,9,Big Bomb,125395,13,Bomba Grande,125961,13,Grosse Bombe,123522,9,Big Bomb,1,"","",X,107,Damage (Ship),-1,100,150,50,1,2,0,0,0,120,6,Neutral,0,0,0,109567,89,Größere Bombe mit mehr Sprengkraft durch\neine größere Pulverladung. Schädigt den Feind.,108576,94,Contiene más cantidad de pólvora para crear una\nmayor explosión. Provoca daño en el enemigo.,109001,89,Grosse bombe contenant plus de poudre pour une\nexplosion puissante. Endommage l'ennemi.,107449,82,"A larger bomb, packed with more gunpowder for a\nbigger blast. Damages the enemy."
482,2150455852,125987,16,Concussion Bomb,125408,17,Bomba de Impacto,125974,16,Bombe explosive,123531,16,Concussion Bomb,1,"","",X,107,Damage (Ship),-1,100,200,50,2,6,0,0,0,150,6,Neutral,0,0,0,109656,84,Bombe mit doppelt so viel Sprengkraft wie\neine Standard-Bombe. Schädigt den Feind.,108670,88,Con el doble de potencia de fogueo que una\nbomba estándar. Provoca daño en el enemigo.,109090,87,Bombe qui a 2 fois plus de puissance de feu\nqu'une bombe normale. Endommage l'ennemi.,107531,79,A bomb that packs double the firepower of a\nstandard bomb. Damages the enemy.
483,2150455868,126003,14,Shredder Bomb,125425,16,Bomba Explosiva,125990,15,Bombe mortelle,123547,14,Shredder Bomb,1,"","",X,107,Damage (Ship),-1,100,480,50,3,24,0,0,0,250,6,Neutral,0,0,0,109740,92,"Bombe, die für maximale Explosionskraft und\nGröße entwickelt wurde. Schädigt Feind massiv.",108758,90,Bomba diseñada para lograr una gran potencia\nde explosión. Produce gran daño al enemigo.,109177,93,Bombe purement conçue pour son pouvoir explosif\net sa taille. Endommage gravement l'ennemi.,107610,86,A bomb designed for pure explosive power and\nsize. Does massive damage to the enemy.
484,2150455884,126017,10,Pyro Bomb,125441,15,Bomba de Fuego,126005,11,Bombe Pyro,123561,10,Pyro Bomb,1,"","",X,107,Damage (Ship),-1,100,450,50,4,21,0,0,0,240,1,Red,1,0,0,109832,98,"Bombe, bei der Red Moon-Staub unter das Schieß-\npulver gemischt wurde. Entwickelt extreme Hitze.",108848,87,"Bomba especial, mezcla de Polvo de Luna\nRoja y pólvora. La explosión es muy abrasiva.",109270,91,Bombe spéciale avec de la Poussière de Lune\nRouge mélangée à la poudre. Explosion de feu.,107696,89,A special bomb with Red Moon Dust mixed\ninto the gunpowder. Has an extremely hot blast.
485,2150455896,126027,11,Frost Bomb,125456,15,Bomba de Hielo,126016,10,Bombe Gel,123571,11,Frost Bomb,1,"","",X,107,Damage (Ship),-1,100,600,50,5,10,0,0,0,240,2,Purple,1,0,0,109930,89,Spezielle Bombe mit Purple Moon-Staub im Schieß-\npulver. Ergibt extrem kalte Explosion.,108935,86,"Bomba especial, mezcla de Polvo de Luna\nPúrpura y pólvora. La explosión es heladora.",109361,93,Bombe spéciale avec de la Poussière de Lune\nMauve mélangée à la poudre. Explosion de glace.,107785,93,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has an extremely cold blast.
486,2150455908,126038,14,Silencer Bomb,125471,15,Bomba Silencio,126026,14,Bombe Furtive,123582,14,Silencer Bomb,1,"","",X,116,Add Silence (Ship),-1,100,600,50,6,25,0,0,0,0,0,Green,0,165,80,110019,90,Spezielle Bombe mit Purple Moon-Staub im\nSchießpulver. Hat einen Sylenis-artigen Effekt.,109021,97,"Bomba especial, mezcla de Polvo de Luna Púrpura\ny pólvora. Su efecto es parecido al de Sylenis.",109454,88,Bombe spéciale avec de la Poussière de Lune\nMauve mélangée à la poudre. Effet Sylenis.,107878,91,A special bomb with Purple Moon Dust mixed\ninto the gunpowder. Has a Sylenis-like effect.
487,2150455924,126052,13,Thunder Bomb,125486,13,Bomba Trueno,126040,15,Bombe Tonnerre,123596,13,Thunder Bomb,1,"","",X,107,Damage (Ship),-1,100,450,50,7,28,0,0,0,240,4,Yellow,1,0,0,110109,83,Spezielle Bombe mit Yellow Moon-Staub im\nSchießpulver. Hat Eletri-artigen Effekt.,109118,98,"Bomba especial, mezcla de Polvo de Luna Amarilla\ny pólvora. Su efecto es parecido al de Electri.",109542,88,Bombe spéciale avec de la Poussière de Lune\nJaune mélangée à la poudre. Effet Electri.,107969,92,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has an Electri-like effect.
488,2150455940,126065,13,Electro Bomb,125499,14,Bomba Electro,126055,15,Bombe Électro,123609,13,Electro Bomb,1,"","",X,106,Add Weak (Ship),-1,100,600,50,8,9,0,0,0,0,0,Green,0,1,80,110192,84,Spezielle Bombe mit Yellow Moon-Staub im Schieß-\npulver. Hat Driln-artigen Effekt.,109216,97,"Bomba especial, mezcla de Polvo de Luna Amarilla \ny pólvora. Su efecto es parecido al de Driln.",109630,86,Bombe spéciale avec de la Poussière de Lune\nJaune mélangée à la poudre. Effet Driln.,108061,89,A special bomb with Yellow Moon Dust mixed\ninto the gunpowder. Has a Driln-like effect.
489,2150455956,126078,10,Wave Bomb,125513,11,Bomba Ola,126070,12,Bombe Vague,123622,10,Wave Bomb,1,"","",X,107,Damage (Ship),-1,100,600,50,9,29,0,0,0,240,3,Blue,1,0,0,110276,86,Spezielle Bombe mit Blue Moon Stone-Staub im\nSchießpulver. Hat Wevli-artigen Effekt.,109313,92,"Bomba especial, mezcla de Polvo de Luna Azul\ny pólvora. Su efecto es parecido al de Wevli.",109716,86,Bombe spéciale avec de la Poussière de Lune\nBleue mélangée à la poudre. Effet Wevli.,108150,92,A special bomb with Blue Moonstone dust mixed\ninto the gunpowder. Has a Wevli-like effect.
490,2150455968,126088,11,Repair Kit,125524,15,Eq. Reparación,126082,15,Kit réparation,123632,11,Repair Kit,5,X,"",X,100,Recover HP (Ship),-1,100,30,50,10,22,0,0,0,400,0,Green,0,0,0,110362,84,Material zum Reparieren von geringen Schäden am\nSchiff. Stellt 4000 HP wieder her.,109405,84,Materiales que reparan pequeños daños en\nel navío. Restaura 4000 puntos de Salud.,109802,80,Matériel de réparation pour des dégâts mineurs\nsur le navire. Redonne 4000 PV.,108242,67,"Repair materials for minor damage to the ship.\nRestores 4,000 HP."
491,2150455980,126099,11,Deluxe Kit,125539,14,Equipo Deluxe,126097,12,Kit de luxe,123643,11,Deluxe Kit,5,X,"",X,100,Recover HP (Ship),-1,100,75,50,11,8,0,0,0,800,0,Green,0,0,0,110446,84,Material zum Reparieren von geringen Schäden am\nSchiff. Stellt 8000 HP wieder her.,109489,79,Materiales que reparan el deterioro del\nnavío. Restaura 8000 puntos de Salud.,109882,80,Matériel de réparation pour des dégâts mineurs\nsur le navire. Redonne 8000 PV.,108309,70,"Repair materials for moderate damage to the\nship. Restores 8,000 HP."
492,2150455992,126110,10,Magic Kit,125553,14,Equipo Mágico,126109,12,Kit Magique,123654,10,Magic Kit,5,X,"",X,100,Recover HP (Ship),-1,100,0,50,12,19,0,0,0,0,0,Green,0,0,0,110530,89,"Reparaturmaterial, das mit Green Moon-Staub\nvermischt wurde. Stellt alle HP wieder her.",109568,92,"Materiales de reparación con Polvo de Luna\nVerde, muy efectivos y restauran toda la Salud.",109962,96,Kit de réparation avec de la poussière de Lune\nVerte pour plus de puissance. Rend tous les PV.,108379,93,Repair materials mixed with Green Moon Dust\nfor greater restorative power. Restores all HP.
493,2150456004,126120,13,Complete Kit,125567,16,Equipo Completo,126121,12,Kit Complet,123664,13,Complete Kit,5,X,"",X,101,Recover HP to 100% (Ship),-1,100,300,50,13,5,0,0,0,0,0,Green,0,0,0,110619,95,Materialien hoher Qualität zum Reparieren mit\nreinen Moon Stones. Stellen alle HP wieder her.,109660,95,"Materiales de reparación de gran calidad, con\nPiedras Lunares puras. Restauran toda la Salud.",110058,95,Matériel de réparation de qualité qui utilise\ndes Pierres de Lune pures. Redonne tous les PV.,108472,72,High-quality repair materials using pure\nMoon Stones. Restores all HP.
494,2150456020,126133,12,Gear Grease,125583,17,Grasa de Marchas,126133,17,Huile de Vitesse,123677,12,Gear Grease,1,"","",X,102,Recover Spirit (Ship),-1,100,500,50,14,11,0,0,0,10,0,Green,0,0,0,110714,97,"Reduziert Reibung in der Gangschaltung, was die\nKraftübertragung verbessert. Stellt Spirit her.",109755,78,"Reduce la fricción de las marchas, y\nmejora la movilidad. Restaura Espíritu.",110153,95,"Réduit la friction des vitesses, améliorant le\ntransfert de puissance. Rend de l'Esprit (ES).",108544,75,"Reduces friction in the gears, improving power\ntransfer. Restores Spirit."
