Entry ID,Padding #0,Message ID,[DE descr. pos.],[DE descr. size],DE descr. string,[ES descr. pos.],[ES descr. size],ES descr. string,[FR descr. pos.],[FR descr. size],FR descr. string,[GB descr. pos.],[GB descr. size],GB descr. string,Item #0 ID,[Item #0 name],Item #1 ID,[Item #1 name],Item #2 ID,[Item #2 name],Item #3 ID,[Item #3 name],Item #4 ID,[Item #4 name],Item #5 ID,[Item #5 name],Item #6 ID,[Item #6 name],Item #7 ID,[Item #7 name],Item #8 ID,[Item #8 name],Item #9 ID,[Item #9 name],Item #10 ID,[Item #10 name],Item #11 ID,[Item #11 name],Item #12 ID,[Item #12 name],Item #13 ID,[Item #13 name],Item #14 ID,[Item #14 name],Item #15 ID,[Item #15 name],Item #16 ID,[Item #16 name],Item #17 ID,[Item #17 name],Item #18 ID,[Item #18 name],Item #19 ID,[Item #19 name],Item #20 ID,[Item #20 name],Item #21 ID,[Item #21 name],Item #22 ID,[Item #22 name],Item #23 ID,[Item #23 name],Item #24 ID,[Item #24 name],Item #25 ID,[Item #25 name],Item #26 ID,[Item #26 name],Item #27 ID,[Item #27 name],Item #28 ID,[Item #28 name],Item #29 ID,[Item #29 name],Item #30 ID,[Item #30 name],Item #31 ID,[Item #31 name],Item #32 ID,[Item #32 name],Item #33 ID,[Item #33 name],Item #34 ID,[Item #34 name],Item #35 ID,[Item #35 name],Item #36 ID,[Item #36 name],Item #37 ID,[Item #37 name],Item #38 ID,[Item #38 name],Item #39 ID,[Item #39 name],Item #40 ID,[Item #40 name],Item #41 ID,[Item #41 name],Item #42 ID,[Item #42 name],Item #43 ID,[Item #43 name],Item #44 ID,[Item #44 name],Item #45 ID,[Item #45 name],Item #46 ID,[Item #46 name],Item #47 ID,[Item #47 name]
0,0,2150343776,68732,13,Zacks Waffen,67933,14,Armas de Zack,67987,14,Armes de Zack,66944,15,Zack's Weapons,1,Pirate Cutlass,20,Leather Crescent,86,Light Robe,87,Valuan Uniform,162,Meditation Ring,170,Marocca's Shell,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
1,0,2150343792,68745,13,Erinns Laden,67947,16,Tienda de Erinn,68001,16,Magasin d'Erinn,66959,14,Erinn's Items,240,Sacri Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
2,0,2150343808,68758,16,Bonitas Objekte,67963,16,Cosas de Bonita,68017,16,Bazar de Bonita,66973,15,Bonita's Items,240,Sacri Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
3,0,2150343808,68774,16,Bonitas Objekte,67979,16,Cosas de Bonita,68033,16,Bazar de Bonita,66988,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,244,Magic Droplet,249,Curia Crystal,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
4,0,2150343808,68790,16,Bonitas Objekte,67995,16,Cosas de Bonita,68049,16,Bazar de Bonita,67003,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,290,Chom,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
5,0,2150343808,68806,16,Bonitas Objekte,68011,16,Cosas de Bonita,68065,16,Bazar de Bonita,67018,15,Bonita's Items,240,Sacri Crystal,241,Sacres Crystal,242,Sacrum Crystal,243,Sacrulen Crystal,244,Magic Droplet,245,Magic Dew,249,Curia Crystal,250,Risan Crystal,251,Riselem Crystal,252,Glyph of Might,253,Glyph of Speed,254,Healing Salve,290,Chom,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
6,0,2150343824,68822,17,Lors Schiffteile,68027,14,Repuestos Lor,68081,16,"Lor, l'armateur",67033,17,Lor's Ship Parts,401,Standard Cannon,410,"3"" Cannon",450,Engine Cover,460,Armored Deck,480,Bomb,490,Repair Kit,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
7,0,2150343824,68839,17,Lors Schiffteile,68041,14,Repuestos Lor,68097,16,"Lor, l'armateur",67050,17,Lor's Ship Parts,409,X Cannon,435,Pyril Cannon,463,Compound Deck,498,Apo Wax,499,Speed Wax,493,Complete Kit,401,Standard Cannon,410,"3"" Cannon",450,Engine Cover,460,Armored Deck,480,Bomb,490,Repair Kit,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
8,0,2150343844,68856,15,Roscoes Waffen,68055,16,Armas de Roscoe,68113,16,Armes de Roscoe,67067,17,Roscoe's Weapons,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
9,0,2150343844,68871,15,Roscoes Waffen,68071,16,Armas de Roscoe,68129,16,Armes de Roscoe,67084,17,Roscoe's Weapons,18,Scout Wing,53,Beak Hand,91,Elastamor,92,Raincoat,172,Crylhound's Claw,174,Thief's Aura,2,Sky Cutlass,49,Hook Hand,88,Sailor Uniform,89,Mystic Dress,160,Gemstone Ring,168,Throkryn's Scale,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None,-1,None
