Entry ID,US Entry Name,Pad 1,Pad 2,Pad 3,Pad 4,Category ID,[Category Name],Effect ID,[Effect Name],Scope ID,[Scope Name],Effect Param 1,Effect Param 2,Element ID,[Element Name],Type ID,[Type Name],Unk 1,Unk 2,State ID,[State Name],State Miss%,Pad 5,Pad 6
0,Volcanic Blast,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
1,Cinder Storm,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,5,1,Red,0,Physical,16,17,2,Stone,50,0,0
2,Feather Slash,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,30,0,Green,0,Physical,0,0,0,Poison,0,0,0
3,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
4,Laser,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,20,5,Silver,0,Physical,0,0,0,Poison,0,0,0
5,Thunder of Fury,0,0,0,0,0,S-Move,0,Damage,101,PC Ray S3,16,30,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
6,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
7,Circle of Panic,0,0,0,0,0,S-Move,11,Confusion,1,Single PC,0,0,0,Green,0,Physical,16,17,4,Confusion,0,0,0
8,Ring of Sleep,0,0,0,0,0,S-Move,9,Sleep,1,Single PC,0,0,0,Green,0,Physical,16,17,3,Sleep,0,0,0
9,Target Search,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
10,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
11,Tackle,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,40,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
12,Death Strike,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,5,5,Silver,0,Physical,16,17,1,Unconscious,70,0,0
13,Charge,0,0,0,0,0,S-Move,255,None,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
14,Poison Gas,0,0,0,0,0,S-Move,4,Poison + Damage,96,PC Square S3,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
15,Stone Breath,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,15,0,Green,0,Physical,16,17,2,Stone,60,0,0
16,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
17,Random Fire,0,0,0,0,0,S-Move,0,Damage,98,PC Square S7,16,25,1,Red,0,Physical,0,0,0,Poison,0,0,0
18,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
19,Counter Stance,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
20,Gather Strength,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
21,Counter Stance,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
22,Burst,0,0,0,0,0,S-Move,0,Damage,97,PC Square S5,16,40,1,Red,0,Physical,0,0,0,Poison,0,0,0
23,Terminal,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,55,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
24,Devolver,0,0,0,0,0,S-Move,38,Counter% to 100% + Guard,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
25,Poisonous Bile,0,0,0,0,0,S-Move,4,Poison + Damage,2,All PCs,16,20,0,Green,0,Physical,16,17,0,Poison,50,0,0
26,Death Blossom,0,0,0,0,0,S-Move,0,Damage,201,PCs Nearby S1,16,20,3,Blue,0,Physical,0,0,0,Poison,0,0,0
27,Cannon Fire,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,50,1,Red,0,Physical,0,0,0,Poison,0,0,0
28,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,27,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
29,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,31,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
30,Wheel Blast,0,0,0,0,0,S-Move,0,Damage,97,PC Square S5,16,35,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
31,Laser Blast,0,0,0,0,0,S-Move,8,Stone + Damage,1,Single PC,16,5,6,Neutral,0,Physical,16,17,2,Stone,20,0,0
32,Crypt Laser,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
33,Death Laser,0,0,0,0,0,S-Move,68,Unconscious + Damage B,1,Single PC,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60,0,0
34,Assess Damage,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
35,欠番,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
36,Steelskin,0,0,0,0,0,S-Move,67,Invulnerable,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
37,Focus,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
38,Eternal Freeze,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,12,2,Purple,0,Physical,0,0,0,Poison,0,0,0
39,Lightning Strike,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,20,4,Yellow,0,Physical,0,0,0,Poison,0,0,0
40,Terrible Bite,0,0,0,0,0,S-Move,72,Fatigue + Damage,1,Single PC,16,15,0,Green,0,Physical,16,17,6,Fatigue,20,0,0
41,Deep Sleep,0,0,0,0,0,S-Move,63,Regenerate + Sleep,5,The User,400,65535,0,Green,0,Physical,0,0,0,Poison,0,0,0
42,Avalauncher,0,0,0,0,0,S-Move,0,Damage,102,PC Ray S5,16,35,2,Purple,0,Physical,0,0,0,Poison,0,0,0
43,Silver Eclipse,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,25,5,Silver,0,Physical,0,0,0,Poison,0,0,0
44,Drain,0,0,0,0,0,S-Move,26,Decr All Attr,1,Single PC,0,0,0,Green,0,Physical,16,17,8,Weak,0,0,0
45,Turn Recovery,0,0,0,0,0,S-Move,33,Regenerate,5,The User,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
46,Destruction,0,0,0,0,0,S-Move,17,Rem Pos States + Damage,2,All PCs,16,10,5,Silver,0,Physical,0,0,0,Poison,0,0,0
47,Tremble,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
48,Silver Tundra,0,0,0,0,0,S-Move,0,Damage,1,Single PC,16,50,5,Silver,0,Physical,0,0,0,Poison,0,0,0
49,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,54,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
50,Call Allies,0,0,0,0,0,S-Move,43,Call EC,0,None,85,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
51,Explode,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,20,1,Red,0,Physical,0,0,0,Poison,0,0,0
52,Stone Ooze,0,0,0,0,0,S-Move,7,Stone,1,Single PC,0,0,0,Green,0,Physical,16,17,2,Stone,40,0,0
53,Tundra Blast,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,20,2,Purple,0,Physical,0,0,0,Poison,0,0,0
54,Death Waltz,0,0,0,0,0,S-Move,0,Damage,2,All PCs,16,40,6,Neutral,0,Physical,0,0,0,Poison,0,0,0
55,Engage,0,0,0,0,0,S-Move,255,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0,0,0
