Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,MAXHP,Will,Defense,MagDef,Quick,Agile,Dodge%,Green,Red,Purple,Blue,Yellow,Silver,[DE arm. #0 name pos.],[DE arm. #0 name size],DE arm. #0 name str.,[ES arm. #0 name pos.],[ES arm. #0 name size],ES arm. #0 name str.,[FR arm. #0 name pos.],[FR arm. #0 name size],FR arm. #0 name str.,[GB arm. #0 name pos.],[GB arm. #0 name size],GB arm. #0 name str.,Arm. #0 type ID,[Arm. #0 type name],Arm. #0 attack,Arm. #0 range,Arm. #0 hit%,Arm. #0 element ID,[Arm. #0 element name],[DE arm. #1 name pos.],[DE arm. #1 name size],DE arm. #1 name str.,[ES arm. #1 name pos.],[ES arm. #1 name size],ES arm. #1 name str.,[FR arm. #1 name pos.],[FR arm. #1 name size],FR arm. #1 name str.,[GB arm. #1 name pos.],[GB arm. #1 name size],GB arm. #1 name str.,Arm. #1 type ID,[Arm. #1 type name],Arm. #1 attack,Arm. #1 range,Arm. #1 hit%,Arm. #1 element ID,[Arm. #1 element name],[DE arm. #2 name pos.],[DE arm. #2 name size],DE arm. #2 name str.,[ES arm. #2 name pos.],[ES arm. #2 name size],ES arm. #2 name str.,[FR arm. #2 name pos.],[FR arm. #2 name size],FR arm. #2 name str.,[GB arm. #2 name pos.],[GB arm. #2 name size],GB arm. #2 name str.,Arm. #2 type ID,[Arm. #2 type name],Arm. #2 attack,Arm. #2 range,Arm. #2 hit%,Arm. #2 element ID,[Arm. #2 element name],[DE arm. #3 name pos.],[DE arm. #3 name size],DE arm. #3 name str.,[ES arm. #3 name pos.],[ES arm. #3 name size],ES arm. #3 name str.,[FR arm. #3 name pos.],[FR arm. #3 name size],FR arm. #3 name str.,[GB arm. #3 name pos.],[GB arm. #3 name size],GB arm. #3 name str.,Arm. #3 type ID,[Arm. #3 type name],Arm. #3 attack,Arm. #3 range,Arm. #3 hit%,Arm. #3 element ID,[Arm. #3 element name],Pad. #0,Pad. #1,Pad. #2,Pad. #3,Pad. #4,Pad. #5,EXP,Gold,Item drop #0 ID,[Item drop #0 name],Item #0 ID,[Item #0 name],Item drop #1 ID,[Item drop #1 name],Item #1 ID,[Item #1 name],Item drop #2 ID,[Item drop #2 name],Item #2 ID,[Item #2 name]
0,2352249788,111946,15,Valuan Warship,111284,15,Valuan Warship,112146,15,Valuan Warship,110031,15,Valuan Warship,12000,20,40,20,70,5,15,10,10,10,10,7,10,113946,14,Kleine Kanone,113423,14,Cañón Pequeño,114243,12,Petit Canon,112061,13,Small Cannon,0,Main cannon,120,0,85,6,Neutral,113960,16,Leichte Hilfsk.,113437,16,Subcañón Ligero,114255,15,Subcanon Léger,112074,16,Light Subcannon,1,Secondary cannon,95,1,80,6,Neutral,113976,2,-,113453,2,-,114270,2,-,112090,2,-,-1,None,-1,-1,-1,-1,None,113978,2,-,113455,2,-,114272,2,-,112092,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,401,Standard Cannon,-1,None,-1,None
1,2352249804,111961,17,Valuan Spellship,111299,17,Valuan Spellship,112161,17,Valuan Spellship,110046,17,Valuan Spellship,12000,70,40,45,70,7,10,10,9,10,10,8,10,113980,14,Kleine Kanone,113457,14,Cañón Pequeño,114274,12,Petit Canon,112094,13,Small Cannon,0,Main cannon,120,0,80,6,Neutral,113994,16,Leichte Hilfsk.,113471,16,Subcañón Ligero,114286,15,Subcanon Léger,112107,16,Light Subcannon,1,Secondary cannon,95,1,85,6,Neutral,114010,2,-,113487,2,-,114301,2,-,112123,2,-,-1,None,-1,-1,-1,-1,None,114012,2,-,113489,2,-,114303,2,-,112125,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,400,300,0,100%,480,Bomb,3,20%,489,Wave Bomb,-1,None,-1,None
2,2352249824,111978,15,Valuan Cruiser,111316,15,Valuan Cruiser,112178,15,Valuan Cruiser,110063,15,Valuan Cruiser,10000,30,35,15,30,5,10,10,10,10,10,7,10,114014,15,Standardkanone,113491,15,Cañón Estándar,114305,15,Canon Standard,112127,16,Standard Cannon,0,Main cannon,110,0,80,6,Neutral,114029,12,Hilfskanone,113506,9,Subcañón,114320,9,Subcanon,112143,10,Subcannon,1,Secondary cannon,90,2,90,6,Neutral,114041,2,-,113515,2,-,114329,2,-,112153,2,-,-1,None,-1,-1,-1,-1,None,114043,2,-,113517,2,-,114331,2,-,112155,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,690,500,0,100%,490,Repair Kit,-1,None,-1,None,-1,None,-1,None
3,2352249840,111993,15,Valuan Phantom,111331,15,Valuan Phantom,112193,15,Valuan Phantom,110078,15,Valuan Phantom,10000,120,33,130,50,8,15,10,5,10,10,5,10,114045,15,Standardkanone,113519,15,Cañón Estándar,114333,15,Canon Standard,112157,16,Standard Cannon,0,Main cannon,110,0,80,6,Neutral,114060,12,Hilfskanone,113534,9,Subcañón,114348,9,Subcanon,112173,10,Subcannon,1,Secondary cannon,90,2,90,6,Neutral,114072,2,-,113543,2,-,114357,2,-,112183,2,-,-1,None,-1,-1,-1,-1,None,114074,2,-,113545,2,-,114359,2,-,112185,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,640,400,4,50%,481,Big Bomb,3,20%,485,Frost Bomb,-1,None,-1,None
4,2352249856,112008,15,Valuan Gunboat,111346,15,Valuan Gunboat,112208,15,Valuan Gunboat,110093,15,Valuan Gunboat,15000,100,100,170,70,14,10,10,5,9,10,5,10,114076,13,Große Kanone,113547,13,Cañón Grande,114361,12,Canon lourd,112187,13,Large Cannon,0,Main cannon,150,0,70,6,Neutral,114089,14,Schw. Hilfsk.,113560,16,Subcañón Pesado,114373,15,Subcanon Lourd,112200,16,Heavy Subcannon,1,Secondary cannon,120,2,85,6,Neutral,114103,8,Torpedo,113576,8,Torpedo,114388,9,Torpille,112216,8,Torpedo,2,Torpedo,180,2,40,6,Neutral,114111,2,-,113584,2,-,114397,2,-,112224,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1220,600,3,20%,483,Shredder Bomb,3,20%,491,Deluxe Kit,-1,None,-1,None
5,2352249872,112023,17,Valuan Mage Ship,111361,17,Valuan Mage Ship,112223,17,Valuan Mage Ship,110108,17,Valuan Mage Ship,15000,150,100,250,70,14,20,10,5,5,10,3,10,114113,13,Große Kanone,113586,13,Cañón Grande,114399,12,Canon lourd,112226,13,Large Cannon,0,Main cannon,140,0,70,6,Neutral,114126,14,Schw. Hilfsk.,113599,16,Subcañón Pesado,114411,15,Subcanon lourd,112239,16,Heavy Subcannon,1,Secondary cannon,120,2,85,6,Neutral,114140,8,Torpedo,113615,8,Torpedo,114426,9,Torpille,112255,8,Torpedo,2,Torpedo,160,2,40,6,Neutral,114148,2,-,113623,2,-,114435,2,-,112263,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,1110,600,0,100%,485,Frost Bomb,0,100%,487,Thunder Bomb,-1,None,-1,None
6,2352249892,112040,17,Valuan Destroyer,111378,17,Valuan Destroyer,112240,17,Valuan Destroyer,110125,17,Valuan Destroyer,38000,120,200,250,115,30,10,8,8,8,8,4,10,114150,17,Kanonen-Prototyp,113625,16,Cañón Prototipo,114437,16,Canon Prototype,112265,17,Prototype Cannon,0,Main cannon,250,0,80,6,Neutral,114167,16,Gr. Hilfskanone,113641,14,Gran Subcañón,114453,15,Grand Subcanon,112282,17,Great Subcannon,1,Secondary cannon,300,3,90,6,Neutral,114183,15,Großes Torpedo,113655,13,Gran Torpedo,114468,16,Grande Torpille,112299,14,Great Torpedo,2,Torpedo,400,3,50,6,Neutral,114198,2,-,113668,2,-,114484,2,-,112313,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,0,100%,417,"12"" Cannon",6,Osman,470,Intercom,7,Kalifa,476,Expensive Wheel
7,2352249912,112057,15,Valuan Spectre,111395,15,Valuan Spectre,112257,15,Valuan Spectre,110142,15,Valuan Spectre,38000,200,150,370,115,30,15,6,5,4,6,3,10,114200,11,Neo-Kanone,113670,10,Cañón Neo,114486,10,Canon Neo,112315,11,Neo Cannon,0,Main cannon,250,0,80,6,Neutral,114211,16,Neo-Hilfskanone,113680,13,Subcañón Neo,114496,13,Subcanon Neo,112326,14,Neo Subcannon,1,Secondary cannon,150,3,90,6,Neutral,114227,17,Größeres Torpedo,113693,14,Torpedo Mayor,114509,16,Torpille lourde,112340,16,Greater Torpedo,2,Torpedo,350,3,50,6,Neutral,114244,2,-,113707,2,-,114525,2,-,112356,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,2380,1000,6,Osman,472,Floor Heater,0,100%,457,Triple Turbo,-1,None,-1,None
8,2352249928,112072,16,Galcian's Elite,111410,16,Galcian's Elite,112272,16,Galcian's Elite,110157,16,Galcian's Elite,50000,250,200,370,220,35,10,10,5,2,5,5,10,114246,16,Schlangenkanone,113709,16,Cañón Serpiente,114527,14,Canon Serpent,112358,15,Serpent Cannon,0,Main cannon,330,0,80,6,Neutral,114262,15,Schnellfeuerk.,113725,13,Cañón Rápido,114541,13,Canon Rapide,112373,13,Rapid Cannon,1,Secondary cannon,250,3,95,6,Neutral,114277,15,Schnelltorpedo,113738,14,Torpedo Veloz,114554,16,Torpille rapide,112386,14,Speed Torpedo,2,Torpedo,400,3,30,6,Neutral,114292,2,-,113752,2,-,114570,2,-,112400,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,5780,2400,0,100%,493,Complete Kit,6,Osman,438,Crystil Cannon,0,100%,459,Double Shaft
9,2352249944,112088,17,Gregorio Cruiser,111426,17,Gregorio Cruiser,112288,17,Gregorio Cruiser,110173,17,Gregorio Cruiser,25000,100,250,270,65,5,5,10,9,9,10,8,10,114294,12,Hauptkanone,113754,17,Cañón Principal,114572,16,Canon Principal,112402,12,Main Cannon,0,Main cannon,250,0,90,6,Neutral,114306,15,Fragmentierung,113771,14,Fragmentación,114588,15,Fragmentation,112414,15,Fragmentation,1,Secondary cannon,200,2,80,6,Neutral,114321,2,-,113785,2,-,114603,2,-,112429,2,-,2,Torpedo,250,2,60,6,Neutral,114323,2,-,113787,2,-,114605,2,-,112431,2,-,-1,None,-1,-1,-1,-1,None,0,0,0,0,0,0,3390,1700,0,100%,499,Speed Wax,-1,None,-1,None,-1,None,-1,None
